osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
306532942,-11.8551714,-77.1298204,3,,POINT (-77.1298204 -11.8551714),,,,,,,,,,972460105,1767758318,723.7650000000001,837490589,2866930451,863.853,282850955,1767758392,956.912,,,
306532946,-11.8522713,-77.1289846,3,,POINT (-77.1289846 -11.8522713),,,,,,,,,,882158617,2866680453,734.674,837490589,2866930451,936.594,212558666,1767758131,940.688,,,
306532947,-11.8520718,-77.1288556,3,,POINT (-77.12885559999999 -11.8520718),,,,,,,,,,882158617,2866680453,708.4219999999998,837490589,2866930451,910.3420000000001,212558666,1767758131,914.436,,,
306532954,-11.8499332,-77.1265345,3,,POINT (-77.12653450000001 -11.8499332),,,,,,,,,,882158617,2866680453,2437.388,837490589,2866930451,2895.175,282850957,1768569434,2128.337,,,
306533000,-11.8444339,-77.1176701,3,,POINT (-77.1176701 -11.8444339),,,,,,,,,,882158617,2866680453,1168.966,837490589,2866930451,1626.753,5567511786,1768569218,357.158,,,
1617053872,-11.8419567,-77.1152697,4,traffic_signals,POINT (-77.1152697 -11.8419567),,,,,,,,,,882158617,2866680453,1546.9219999999998,837490589,2866930451,2004.709,282850956,1768569223,723.542,,,
1759542491,-11.8417837,-77.1151097,3,,POINT (-77.1151097 -11.8417837),,,,,,,,,,882158617,2866680453,1572.4979999999998,837490589,2866930451,2030.285,282850956,1768569223,698.696,,,
1759542528,-11.8422908,-77.1145805,3,,POINT (-77.1145805 -11.8422908),,,,,,,,,,882158617,2866680453,1507.5179999999998,837490589,2866930451,1965.305,282850956,1768569223,618.096,,,
1759542550,-11.8425064,-77.1144843,3,,POINT (-77.1144843 -11.8425064),,,,,,,,,,882158617,2866680453,1481.037,837490589,2866930451,1938.8240000000003,282850956,1768569223,591.615,,,
1759542591,-11.8430621,-77.1144395,4,,POINT (-77.1144395 -11.8430621),,,,,,,,,,882158617,2866680453,1485.6889999999999,837490589,2866930451,1943.4759999999999,282850956,1768569223,529.576,,,
1759542628,-11.8435272,-77.1144218,3,,POINT (-77.1144218 -11.8435272),,,,,,,,,,882158617,2866680453,1505.589,837490589,2866930451,1963.376,282850956,1768569223,477.823,,,
1759542745,-11.8449207,-77.1144029,3,,POINT (-77.1144029 -11.8449207),,,,,,,,,,882158617,2866680453,1480.9389999999999,837490589,2866930451,1938.7259999999999,282850956,1768569223,322.81999999999994,,,
1759542811,-11.8462435,-77.1143924,4,,POINT (-77.1143924 -11.8462435),,,,,,,,,,882158617,2866680453,1384.566,837490589,2866930451,1842.3530000000003,282850956,1768569223,175.726,,,
1767758083,-11.8510176,-77.1276858,3,,POINT (-77.12768579999999 -11.8510176),,,,,,,,,,882158617,2866680453,426.802,837490589,2866930451,794.698,212558666,1767758131,796.915,,,
1767758085,-11.8514555,-77.1280216,3,,POINT (-77.1280216 -11.8514555),,,,,,,,,,882158617,2866680453,487.70400000000006,837490589,2866930451,792.5869999999999,212558666,1767758131,794.8040000000001,,,
1767758093,-11.8517513,-77.1218083,3,,POINT (-77.1218083 -11.8517513),,,,,,,,,,1846396623,2866930451,565.214,837490589,2866930451,565.214,282850957,1768569434,324.398,,,
1767758096,-11.8517783,-77.1232406,4,,POINT (-77.1232406 -11.8517783),,,,,,,,,,882158617,2866680453,301.618,837490589,2866930451,409.31100000000004,212558666,1767758131,232.742,,,
1767758100,-11.8518135,-77.1251367,3,,POINT (-77.1251367 -11.8518135),,,,,,,,,,882158617,2866680453,255.98,837490589,2866930451,436.23199999999997,212558666,1767758131,437.51099999999997,,,
1767758101,-11.8518382,-77.1262224,3,,POINT (-77.1262224 -11.8518382),,,,,,,,,,882158617,2866680453,373.81699999999995,837490589,2866930451,553.411,212558666,1767758131,555.693,,,
1767758103,-11.8518779,-77.1279673,3,,POINT (-77.12796729999999 -11.8518779),,,,,,,,,,882158617,2866680453,539.3660000000001,837490589,2866930451,741.286,212558666,1767758131,745.3799999999999,,,
