osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
263388341,-12.0816313,-77.0590893,3,,POINT (-77.0590893 -12.0816313),436270969,638346232,571.1329999999999,,,,195568056,874949943,1422.6540000000002,451469524,874949385,,319479991,660675056,1089.7800000000002,2059768589,378301200,160.57399999999998,412573932,605674253,
263389679,-12.080689,-77.058302,4,,POINT (-77.058302 -12.080689),436270969,638346232,442.97399999999993,,,,195568056,874949943,1294.4950000000003,451469524,874949385,,319479991,660675056,961.6210000000001,2059768589,378301200,32.415,436267029,799340920,1485.7330000000002
263389742,-12.0806266,-77.0582502,4,,POINT (-77.0582502 -12.0806266),436270969,638346232,434.0369999999999,,,,195568056,874949943,1285.5580000000002,451469524,874949385,,319479991,660675056,952.6840000000002,2059768589,378301200,23.478,436267029,799340920,1476.7960000000003
263389913,-12.0798359,-77.0576135,3,,POINT (-77.0576135 -12.0798359),436270969,638346232,,,,,195568056,874949943,,451469524,874949385,,319479991,660675056,,2059768589,378301200,,436267029,799340920,
263396343,-12.0721788,-77.0512858,4,traffic_signals,POINT (-77.0512858 -12.0721788),4341314193,1273716599,477.64700000000005,,,,195568056,874949943,1188.2830000000001,451469524,874949385,,319479991,660675056,2151.7779999999993,2059768603,1399076796,21.563,326855710,817654982,300.38300000000004
263400734,-12.0712002,-77.0504741,4,traffic_signals,POINT (-77.0504741 -12.0712002),4341314193,1273716599,,,,,195568056,874949943,,451469524,874949385,,319479991,660675056,,2059768595,817654996,,326855710,817654982,
301454935,-12.0846272,-77.064459,4,,POINT (-77.064459 -12.0846272),436270969,638346232,581.196,,,,195568056,874949943,1743.0690000000002,635855925,638346269,277.972,319479991,660675056,1207.3489999999997,5578591895,638351098,194.897,412573932,605674253,
301454940,-12.0837491,-77.0652125,3,,POINT (-77.0652125 -12.0837491),435713315,639061972,429.081,,,,195568056,874949943,1611.253,635855925,638346269,146.156,319479991,660675056,1075.5330000000001,5578591895,638351098,63.081,412573932,605674253,
301455182,-12.0787489,-77.0789087,3,,POINT (-77.0789087 -12.0787489),435713315,639061972,2077.053,,,,73954281,874949765,2610.178,819611568,660665147,1286.578,319479991,660675056,1997.512,242947331,649999333,179.789,73952076,874898867,2009.7520000000002
309999004,-12.0740533,-77.0530959,4,traffic_signals,POINT (-77.0530959 -12.0740533),4341314193,1273716599,648.515,,,,195568056,874949943,995.183,451469524,874949385,,319479991,660675056,1850.0449999999996,2059768480,316803289,137.431,326855710,817654982,566.6500000000001
