osmid,y,x,street_count,ref,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
273353471,-11.8287714,-77.1194946,3,,,POINT (-77.1194946 -11.8287714),435323606,863519212,6315.198000000001,,,,405698392,273353471,0.0,399069247,1756231313,1885.0770000000002,319481153,2480656130,1820.8990000000003,5567460454,1756231263,2049.876,,,
273353473,-11.8339095,-77.1131285,3,35B,motorway_junction,POINT (-77.1131285 -11.8339095),435323606,863519212,5417.077,,,,405698392,273353471,3354.008,399069247,1756231313,2260.2229999999995,319481153,2480656130,2196.045,5567485611,1756212137,1298.125,,,
273353475,-11.8390221,-77.1067638,3,,,POINT (-77.1067638 -11.8390221),435323606,863519212,4520.7429999999995,,,,405698392,273353471,3784.442,8204207342,7575681832,786.293,4553175289,8088984630,1521.372,4286397814,273353475,0.0,,,
273353476,-11.8407485,-77.1045736,3,,,POINT (-77.10457359999999 -11.8407485),435323606,863519212,4214.6759999999995,,,,405698392,273353471,3702.7199999999993,8204207342,7575681832,480.22600000000006,4553175289,8088984630,1417.5630000000003,5567498334,2502194097,1066.2669999999998,,,
273353499,-11.8741354,-77.0692678,3,,,POINT (-77.06926780000001 -11.8741354),6190518187,863427836,2061.009,,,,465561830,5056593438,3519.5789999999997,835657632,1755125303,4313.563,319483701,863427809,2155.8309999999997,435367362,1755155472,1353.5259999999998,,,
273353510,-11.9020024,-77.0677206,3,,,POINT (-77.0677206 -11.9020024),5064946785,1383676872,3663.4059999999995,,,,465561830,5056593438,7721.683000000001,835653342,1755125835,4083.616,4544813389,5589066955,1689.942,5574283729,2668094807,3937.8999999999996,,,
273353511,-11.9024958,-77.0677186,3,,,POINT (-77.06771860000001 -11.9024958),5064946785,1383676872,3608.5419999999995,,,,465561830,5056593438,7666.819000000001,835653342,1755125835,4028.7520000000004,4544813389,5589066955,1635.078,5574283729,2668094807,3883.036,,,
273353521,-11.9092301,-77.0711278,3,,,POINT (-77.0711278 -11.9092301),5064946785,1383676872,2765.614,,,,465561830,5056593438,6823.8910000000005,835653342,1755125835,3185.8240000000005,4544813389,5589066955,792.15,5574283721,2668094793,2920.63,,,
273403276,-11.8344663,-77.1122597,3,,,POINT (-77.1122597 -11.8344663),435323606,863519212,5653.376000000001,,,,405698392,273353471,2272.7780000000002,399069247,1756231313,1178.993,319481153,2480656130,1114.815,5567485611,1756212137,467.576,,,
273403284,-11.8540419,-77.0878326,3,,,POINT (-77.0878326 -11.8540419),435323606,863519212,1925.3759999999997,,,,178024165,1273736018,1558.4769999999996,564149104,1755243172,1645.288,319483701,863427809,2006.835,5567523872,2502194094,12.882,,,
273403298,-11.877827,-77.0689577,3,,,POINT (-77.0689577 -11.877827),6190518187,863427836,1914.5780000000002,,,,465561830,5056593438,1031.93,835660744,1755155594,4061.7519999999995,319483701,863427809,2086.626,5574114138,1755125233,269.77099999999996,,,
273403304,-11.9029775,-77.0676949,3,,,POINT (-77.06769490000001 -11.9029775),5064946785,1383676872,5168.634,,,,465561830,5056593438,3833.246,835653342,1755125835,195.17899999999997,4544813389,5589066955,3195.17,5574283729,2668094807,115.38699999999999,,,
273403306,-11.9070059,-77.0694529,3,,,POINT (-77.0694529 -11.9070059),5064946785,1383676872,5656.322,,,,465561830,5056593438,4320.934,835653342,1755125835,682.8670000000001,4544813389,5589066955,3682.8579999999997,5574283721,2668094793,417.673,,,
306533020,-11.8350811,-77.1099797,3,,,POINT (-77.1099797 -11.8350811),435323606,863519212,5260.741999999999,,,,405698392,273353471,2538.274,399069247,1756231313,1444.4890000000005,319481153,2480656130,1380.3110000000004,5567498341,3918957475,117.739,,,
306533068,-11.8363996,-77.1107346,3,,,POINT (-77.1107346 -11.8363996),435323606,863519212,5178.5199999999995,,,,405698392,273353471,2971.17,399069247,1756231313,1877.3850000000002,319481153,2480656130,1813.2070000000003,5567498341,3918957475,502.485,,,
306533075,-11.8374029,-77.1109279,5,,,POINT (-77.11092789999999 -11.8374029),435323606,863519212,5060.918999999999,,,,405698392,273353471,2853.569,8204207342,7575681832,1320.985,4553175289,8088984630,1635.211,5567498338,1759542337,311.312,,,
306533076,-11.8359004,-77.1104279,3,35A,motorway_junction,POINT (-77.1104279 -11.8359004),435323606,863519212,5556.356000000001,,,,405698392,273353471,2528.075,399069247,1756231313,1434.2900000000004,319481153,2480656130,1370.1120000000003,5567498341,3918957475,880.321,,,
863427746,-11.8598881,-77.0828265,3,,,POINT (-77.0828265 -11.8598881),435323606,863519212,1148.1060000000002,,,,178024165,1273736018,615.4159999999999,564149104,1755243172,838.295,319483701,863427809,1000.4920000000001,5567549942,5646006242,792.043,,,
863427771,-11.8679123,-77.0746535,4,,,POINT (-77.0746535 -11.8679123),6190518187,863427836,221.605,,,,465561830,5056593438,1680.1750000000002,468921336,1422684259,316.656,319483701,863427809,488.815,5574080676,863427771,0.0,,,
863427779,-11.8705989,-77.0719052,3,,,POINT (-77.0719052 -11.8705989),6190518187,863427836,644.4189999999999,,,,465561830,5056593438,2102.989,468921336,1422684259,739.4699999999999,319483701,863427809,911.629,5574080670,4332798031,38.622,,,
863427809,-11.8665399,-77.0777943,3,,,POINT (-77.07779429999999 -11.8665399),435323606,863519212,529.4100000000001,,,,178024165,1273736018,589.9599999999999,468921336,1422684259,597.7680000000001,319483701,863427809,0.0,864895060,2364615035,246.46699999999998,,,
863427816,-11.8647407,-77.0795525,4,,,POINT (-77.07955250000001 -11.8647407),435323606,863519212,618.19,,,,178024165,1273736018,319.12,468921336,1422684259,686.5480000000001,319483701,863427809,277.315,5597258098,1422684262,153.168,,,
863427821,-11.8640826,-77.0801818,1,,,POINT (-77.08018180000001 -11.8640826),435323606,863519212,718.412,,,,178024165,1273736018,419.342,468921336,1422684259,786.7700000000001,319483701,863427809,377.537,5567555973,863427821,0.0,,,
863427829,-11.8671199,-77.0730267,3,,,POINT (-77.0730267 -11.8671199),6190518187,863427836,599.1569999999999,,,,465561830,5056593438,2057.727,468921336,1422684259,694.208,319483701,863427809,866.3670000000001,5574080674,863427833,99.193,,,
863427833,-11.8675998,-77.0737951,1,,,POINT (-77.0737951 -11.8675998),6190518187,863427836,698.3499999999999,,,,465561830,5056593438,2156.9199999999996,468921336,1422684259,793.401,319483701,863427809,965.5600000000001,5574080674,863427833,0.0,,,
863427836,-11.8663435,-77.0735577,3,,,POINT (-77.07355769999999 -11.8663435),6190518187,863427836,0.0,,,,465561830,5056593438,1582.902,468921336,1422684259,219.383,319483701,863427809,641.923,5597259225,2364615068,215.268,,,
863427862,-11.8684534,-77.0751264,3,,,POINT (-77.0751264 -11.8684534),6190518187,863427836,301.262,,,,465561830,5056593438,1759.832,468921336,1422684259,396.313,319483701,863427809,409.15799999999996,435499680,863427862,0.0,,,
863427868,-11.8662004,-77.077463,3,,,POINT (-77.07746299999999 -11.8662004),435323606,863519212,301.492,,,,178024165,1273736018,531.928,468921336,1422684259,369.85,319483701,863427809,52.2,5597258119,2460656299,88.272,,,
863427886,-11.8577533,-77.085426,4,,,POINT (-77.085426 -11.8577533),435323606,863519212,1514.532,,,,178024165,1273736018,1021.865,564149104,1755243172,969.62,319483701,863427809,1331.1670000000001,5567549936,1755246822,158.329,,,
