osmid,y,x,street_count,ref,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
495243171,-12.3346699,-76.82033,3,,,POINT (-76.82033 -12.3346699),,,,,,,699686753,6450979493,970.634,,,,3259019072,495244831,575.78,5593359052,1832692509,727.378,,,
495243225,-12.3358603,-76.8211931,3,,,POINT (-76.8211931 -12.3358603),,,,,,,699686753,6450979493,1133.0479999999998,,,,3259019072,495244831,413.366,5593359052,1832692509,612.6260000000001,,,
495244831,-12.3369511,-76.8247989,4,,,POINT (-76.8247989 -12.3369511),,,,,,,699686753,6450979493,1092.898,,,,3259019072,495244831,0.0,5593359052,1832692509,199.26,,,
495244863,-12.3361182,-76.8252439,3,,,POINT (-76.8252439 -12.3361182),,,,,,,699686753,6450979493,988.1730000000002,,,,3259019072,495244831,104.725,5593359052,1832692509,94.535,,,
495244959,-12.3328985,-76.8248397,4,,,POINT (-76.8248397 -12.3328985),,,,,,,699686753,6450979493,626.7580000000002,,,,3259019072,495244831,469.45199999999994,172360300,1827699041,348.35900000000004,,,
495245790,-12.3390972,-76.8248042,3,,,POINT (-76.8248042 -12.3390972),,,,,,,699686753,6450979493,1333.484,,,,3259019072,495244831,240.586,5593359052,1832692509,439.846,,,
495245797,-12.3377262,-76.8249093,3,,,POINT (-76.8249093 -12.3377262),,,,,,,699686753,6450979493,1180.5899999999997,,,,3259019072,495244831,87.69200000000001,5593359052,1832692509,286.952,,,
495246174,-12.3379827,-76.8261401,3,,,POINT (-76.8261401 -12.3379827),,,,,,,699686753,6450979493,1288.1899999999996,,,,3259019072,495244831,195.29199999999997,5593359052,1832692509,394.55199999999996,,,
495246258,-12.3375502,-76.8267137,3,,,POINT (-76.8267137 -12.3375502),,,,,,,699686753,6450979493,1326.908,,,,3259019072,495244831,234.01,5593359052,1832692509,433.27,,,
495246440,-12.3372039,-76.826418,3,,,POINT (-76.826418 -12.3372039),,,,,,,699686753,6450979493,1276.763,,,,3259019072,495244831,183.865,5593359052,1832692509,383.125,,,
495246460,-12.3382311,-76.8273121,4,,,POINT (-76.8273121 -12.3382311),,,,,,,699686753,6450979493,1426.7269999999999,,,,3259019072,495244831,333.829,5593359052,1832692509,533.089,,,
495246862,-12.3378559,-76.8269847,3,,,POINT (-76.8269847 -12.3378559),,,,,,,699686753,6450979493,1371.9049999999997,,,,3259019072,495244831,279.007,5593359052,1832692509,478.267,,,
495246915,-12.338338,-76.826426,4,,,POINT (-76.826426 -12.338338),,,,,,,699686753,6450979493,1338.4429999999998,,,,3259019072,495244831,245.54500000000002,5593359052,1832692509,444.805,,,
495247272,-12.3387452,-76.8267052,3,,,POINT (-76.82670520000001 -12.3387452),,,,,,,699686753,6450979493,1392.9409999999998,,,,3259019072,495244831,300.043,5593359052,1832692509,499.303,,,
495247286,-12.3375994,-76.8258508,3,,,POINT (-76.8258508 -12.3375994),,,,,,,699686753,6450979493,1235.214,,,,3259019072,495244831,142.316,5593359052,1832692509,341.576,,,
495247303,-12.3371714,-76.8255355,3,,,POINT (-76.8255355 -12.3371714),,,,,,,699686753,6450979493,1176.5789999999997,,,,3259019072,495244831,83.681,5593359052,1832692509,282.94100000000003,,,
495247803,-12.3373,-76.8262147,3,,,POINT (-76.82621469999999 -12.3373),,,,,,,699686753,6450979493,1252.2299999999998,,,,3259019072,495244831,159.332,5593359052,1832692509,358.592,,,
495247833,-12.3370049,-76.8269716,4,,,POINT (-76.82697159999999 -12.3370049),,,,,,,699686753,6450979493,1286.1339999999998,,,,3259019072,495244831,247.962,5593359052,1832692509,392.496,,,
495247911,-12.3386016,-76.8248526,4,,,POINT (-76.8248526 -12.3386016),,,,,,,699686753,6450979493,1278.1249999999998,,,,3259019072,495244831,185.22699999999998,5593359052,1832692509,384.48699999999997,,,
495248223,-12.3386169,-76.8252338,4,,,POINT (-76.82523380000001 -12.3386169),,,,,,,699686753,6450979493,1296.205,,,,3259019072,495244831,203.30700000000002,5593359052,1832692509,402.567,,,
495248233,-12.338645,-76.8256579,4,,,POINT (-76.8256579 -12.338645),,,,,,,699686753,6450979493,1312.658,,,,3259019072,495244831,219.76,5593359052,1832692509,419.02,,,
495249195,-12.3371176,-76.8277206,3,,,POINT (-76.82772060000001 -12.3371176),,,,,,,699686753,6450979493,1386.9829999999997,,,,3259019072,495244831,348.811,5593359052,1832692509,493.34499999999997,,,
495249232,-12.3376883,-76.826846,3,,,POINT (-76.826846 -12.3376883),,,,,,,699686753,6450979493,1347.9399999999996,,,,3259019072,495244831,255.04199999999997,5593359052,1832692509,454.30199999999996,,,
495249405,-12.3392004,-76.8258203,3,,,POINT (-76.8258203 -12.3392004),,,,,,,699686753,6450979493,1376.8859999999995,,,,3259019072,495244831,283.98799999999994,5593359052,1832692509,483.24799999999993,,,
495249745,-12.3374155,-76.827264,4,,,POINT (-76.827264 -12.3374155),,,,,,,699686753,6450979493,1341.7519999999997,,,,3259019072,495244831,303.58,5593359052,1832692509,448.114,,,
495249799,-12.3379244,-76.8276935,3,,,POINT (-76.8276935 -12.3379244),,,,,,,699686753,6450979493,1415.0919999999996,,,,3259019072,495244831,376.92,5593359052,1832692509,521.454,,,
495249883,-12.3377146,-76.8259299,3,,,POINT (-76.82592990000001 -12.3377146),,,,,,,699686753,6450979493,1250.6389999999997,,,,3259019072,495244831,157.74099999999999,5593359052,1832692509,357.001,,,
495250272,-12.3380601,-76.8255055,3,,,POINT (-76.82550550000001 -12.3380601),,,,,,,699686753,6450979493,1245.5459999999998,,,,3259019072,495244831,152.64799999999997,5593359052,1832692509,351.90799999999996,,,
495250568,-12.3373363,-76.8248503,3,,,POINT (-76.82485029999999 -12.3373363),,,,,,,699686753,6450979493,1136.7639999999997,,,,3259019072,495244831,43.866,5593359052,1832692509,243.12599999999998,,,
495250592,-12.3377384,-76.8251641,3,,,POINT (-76.82516409999999 -12.3377384),,,,,,,699686753,6450979493,1192.9879999999998,,,,3259019072,495244831,100.09,5593359052,1832692509,299.35,,,
495251116,-12.3392397,-76.8251815,3,,,POINT (-76.8251815 -12.3392397),,,,,,,699686753,6450979493,1365.6899999999996,,,,3259019072,495244831,272.792,5593359052,1832692509,472.05199999999996,,,
495251141,-12.3378885,-76.8252953,3,,,POINT (-76.82529529999999 -12.3378885),,,,,,,699686753,6450979493,1214.935,,,,3259019072,495244831,122.03699999999999,5593359052,1832692509,321.297,,,
943249217,-12.3139553,-76.8340703,3,,,POINT (-76.83407029999999 -12.3139553),,,,,,,699686753,6450979493,1842.3190000000004,,,,3259019072,495244831,2888.765000000001,5593360622,4336400206,69.947,,,
1273699282,-12.336459,-76.8196526,3,,,POINT (-76.8196526 -12.336459),,,,,,,699686753,6450979493,1422.6419999999998,,,,3259019072,495244831,702.96,5593359052,1832692509,902.2200000000003,,,
1569597803,-12.3075879,-76.7988095,1,,,POINT (-76.7988095 -12.3075879),,,,,,,699686753,6450979493,7279.467,,,,3259019072,495244831,7163.252,684690218,6415349722,1690.0950000000005,,,
1569600206,-12.3195841,-76.8092313,4,,,POINT (-76.80923129999999 -12.3195841),,,,,,,699686753,6450979493,3127.490999999999,,,,3259019072,495244831,3011.275999999999,435360094,1827698592,3228.996999999999,,,
1569600706,-12.3191255,-76.8076596,3,,,POINT (-76.80765959999999 -12.3191255),,,,,,,699686753,6450979493,3308.4919999999993,,,,3259019072,495244831,3192.276999999999,435360094,1827698592,3409.997999999999,,,
1827698270,-12.3215111,-76.8367279,1,,,POINT (-76.8367279 -12.3215111),,,,,,,699686753,6450979493,2784.3810000000003,,,,3259019072,495244831,2761.976,435837023,1827770894,4420.507000000001,,,
1827698276,-12.3223038,-76.836128,1,,,POINT (-76.836128 -12.3223038),,,,,,,699686753,6450979493,2395.4320000000002,,,,3259019072,495244831,2473.7680000000005,435837023,1827770894,4031.558,,,
1827698280,-12.3224343,-76.8368195,1,,,POINT (-76.8368195 -12.3224343),,,,,,,699686753,6450979493,2450.422,,,,3259019072,495244831,2528.7580000000003,435837023,1827770894,4086.548,,,
1827698308,-12.3233152,-76.8364132,3,,,POINT (-76.8364132 -12.3233152),,,,,,,699686753,6450979493,2259.36,,,,3259019072,495244831,2337.6960000000004,435837023,1827770894,3895.486,,,
1827698321,-12.3235205,-76.8370392,4,,,POINT (-76.83703920000001 -12.3235205),,,,,,,699686753,6450979493,2323.242,,,,3259019072,495244831,2401.5780000000004,435837023,1827770894,3959.3680000000004,,,
1827698378,-12.3244148,-76.8360109,3,,,POINT (-76.83601090000001 -12.3244148),,,,,,,699686753,6450979493,2260.956,,,,3259019072,495244831,2238.5510000000004,435837023,1827770894,3897.0820000000003,,,
1827698512,-12.3267236,-76.8255908,3,,,POINT (-76.8255908 -12.3267236),,,,,,,699686753,6450979493,475.35400000000004,,,,3259019072,495244831,1190.441,435360094,1827698592,227.522,,,
1827698536,-12.3273619,-76.8257888,3,,,POINT (-76.8257888 -12.3273619),,,,,,,699686753,6450979493,452.6340000000001,,,,3259019072,495244831,1160.409,435360094,1827698592,153.359,,,
1827698549,-12.3277802,-76.8248693,3,,,POINT (-76.8248693 -12.3277802),,,,,,,699686753,6450979493,334.1210000000001,,,,3259019072,495244831,1049.208,435360094,1827698592,103.0,,,
1827698553,-12.327947,-76.8259129,3,,,POINT (-76.82591290000001 -12.327947),,,,,,,699686753,6450979493,423.70400000000006,,,,3259019072,495244831,1093.9669999999999,435360094,1827698592,124.429,,,
1827698557,-12.3281182,-76.8252234,3,,,POINT (-76.8252234 -12.3281182),,,,,,,699686753,6450979493,348.4960000000001,,,,3259019072,495244831,1063.583,435360094,1827698592,49.221000000000004,,,
1827698575,-12.3282743,-76.8280622,3,,,POINT (-76.82806220000001 -12.3282743),,,,,,,699686753,6450979493,807.1920000000001,,,,3259019072,495244831,1197.274,435360094,1827698592,507.917,,,
1827698581,-12.328385,-76.8312096,3,,,POINT (-76.83120959999999 -12.328385),,,,,,,699686753,6450979493,1251.4479999999996,,,,3259019072,495244831,1329.7839999999999,435360094,1827698592,1122.6029999999998,,,
1827698589,-12.3285201,-76.8256872,3,,,POINT (-76.8256872 -12.3285201),,,,,,,699686753,6450979493,351.7850000000001,,,,3259019072,495244831,1022.0480000000001,435360094,1827698592,52.510000000000005,,,
1827698590,-12.328521,-76.8252443,3,,,POINT (-76.82524429999999 -12.328521),,,,,,,699686753,6450979493,303.649,,,,3259019072,495244831,1018.7360000000002,435360094,1827698592,4.374,,,
1827698592,-12.3285603,-76.825246,3,,,POINT (-76.82524600000001 -12.3285603),,,,,,,699686753,6450979493,299.275,,,,3259019072,495244831,1014.3620000000002,435360094,1827698592,0.0,,,
1827698593,-12.3286225,-76.8246809,3,,,POINT (-76.8246809 -12.3286225),,,,,,,699686753,6450979493,237.49900000000002,,,,3259019072,495244831,952.5860000000001,435360094,1827698592,61.776,,,
1827698599,-12.3285956,-76.8346538,3,,,POINT (-76.8346538 -12.3285956),,,,,,,699686753,6450979493,1699.8869999999997,,,,3259019072,495244831,1677.4820000000002,435360094,1827698592,1571.042,,,
1827698607,-12.3286937,-76.827798,3,,,POINT (-76.827798 -12.3286937),,,,,,,699686753,6450979493,752.4330000000001,,,,3259019072,495244831,1142.5149999999999,435360094,1827698592,453.15799999999996,,,
1827698633,-12.3289331,-76.8292779,3,,,POINT (-76.82927789999999 -12.3289331),,,,,,,699686753,6450979493,958.2110000000001,,,,3259019072,495244831,1156.3999999999999,435360094,1827698592,658.936,,,
1827698649,-12.3290512,-76.8274804,3,,,POINT (-76.8274804 -12.3290512),,,,,,,699686753,6450979493,699.797,,,,3259019072,495244831,1089.879,435360094,1827698592,400.52199999999993,,,
1827698665,-12.3292004,-76.8252471,3,,,POINT (-76.8252471 -12.3292004),,,,,,,699686753,6450979493,370.5150000000001,,,,3259019072,495244831,947.1410000000002,435360094,1827698592,71.24000000000001,,,
1827698669,-12.3292012,-76.824704,3,,,POINT (-76.824704 -12.3292012),,,,,,,699686753,6450979493,429.51200000000006,,,,3259019072,495244831,888.1440000000001,435360094,1827698592,130.23700000000002,,,
1827698680,-12.3292716,-76.827897,3,,,POINT (-76.82789699999999 -12.3292716),,,,,,,699686753,6450979493,751.2620000000001,,,,3259019072,495244831,1123.0079999999998,435360094,1827698592,451.98699999999997,,,
1827698701,-12.3294295,-76.8292429,3,,,POINT (-76.8292429 -12.3294295),,,,,,,699686753,6450979493,929.4500000000002,,,,3259019072,495244831,1101.072,435360094,1827698592,630.1750000000001,,,
1827698706,-12.3295533,-76.8262859,3,,,POINT (-76.8262859 -12.3295533),,,,,,,699686753,6450979493,544.4870000000001,,,,3259019072,495244831,934.5690000000001,435360094,1827698592,245.212,,,
1827698718,-12.3295393,-76.8263532,3,,,POINT (-76.8263532 -12.3295393),,,,,,,699686753,6450979493,552.1990000000001,,,,3259019072,495244831,942.2810000000001,435360094,1827698592,252.92399999999998,,,
1827698724,-12.3297908,-76.8258384,4,,,POINT (-76.82583839999999 -12.3297908),,,,,,,699686753,6450979493,489.1650000000001,,,,3259019072,495244831,879.2470000000002,435360094,1827698592,189.89,,,
1827698754,-12.3299171,-76.8292261,3,,,POINT (-76.8292261 -12.3299171),,,,,,,699686753,6450979493,913.4550000000002,,,,3259019072,495244831,1046.823,435360094,1827698592,614.1800000000001,,,
1827698778,-12.3302629,-76.8260299,3,,,POINT (-76.82602989999999 -12.3302629),,,,,,,699686753,6450979493,545.6320000000001,,,,3259019072,495244831,863.7050000000002,435360094,1827698592,246.35699999999997,,,
1827698779,-12.3302577,-76.828735,3,,,POINT (-76.82873499999999 -12.3302577),,,,,,,699686753,6450979493,932.2780000000001,,,,3259019072,495244831,1016.787,435360094,1827698592,633.003,,,
1827698783,-12.330271,-76.8292129,3,,,POINT (-76.8292129 -12.330271),,,,,,,699686753,6450979493,952.8330000000002,,,,3259019072,495244831,1007.4450000000002,435360094,1827698592,653.5580000000001,,,
1827698807,-12.3305307,-76.8280657,3,,,POINT (-76.8280657 -12.3305307),,,,,,,699686753,6450979493,904.1550000000001,,,,3259019072,495244831,970.1150000000001,435360094,1827698592,604.88,,,
1827698816,-12.3306109,-76.8262958,3,,,POINT (-76.8262958 -12.3306109),,,,,,,699686753,6450979493,593.9200000000001,,,,3259019072,495244831,877.4020000000002,435360094,1827698592,294.645,,,
1827698825,-12.3306771,-76.8253742,3,,,POINT (-76.8253742 -12.3306771),,,,,,,699686753,6450979493,565.5310000000001,,,,3259019072,495244831,777.0180000000001,435360094,1827698592,333.044,,,
1827698843,-12.3307087,-76.8287017,3,,,POINT (-76.8287017 -12.3307087),,,,,,,699686753,6450979493,977.9570000000001,,,,3259019072,495244831,966.5080000000002,435360094,1827698592,678.682,,,
1827698855,-12.3308527,-76.8270211,3,,,POINT (-76.8270211 -12.3308527),,,,,,,699686753,6450979493,694.2360000000002,,,,3259019072,495244831,905.7230000000001,435360094,1827698592,411.445,,,
1827698876,-12.3310632,-76.82649,4,,,POINT (-76.82649000000001 -12.3310632),,,,,,,699686753,6450979493,631.9750000000001,,,,3259019072,495244831,843.4620000000001,435360094,1827698592,349.18399999999997,,,
1827698888,-12.3312359,-76.8253854,1,,,POINT (-76.8253854 -12.3312359),,,,,,,699686753,6450979493,874.0870000000002,,,,3259019072,495244831,707.4290000000001,435360094,1827698592,592.0520000000001,,,
1827698889,-12.3312114,-76.8247906,4,,,POINT (-76.8247906 -12.3312114),,,,,,,699686753,6450979493,445.63800000000003,,,,3259019072,495244831,657.1250000000001,435360094,1827698592,369.06600000000003,,,
1827698890,-12.3312119,-76.8283578,4,,,POINT (-76.82835780000001 -12.3312119),,,,,,,699686753,6450979493,958.5340000000001,,,,3259019072,495244831,887.9910000000001,435360094,1827698592,659.259,,,
1827698897,-12.3314334,-76.8291478,3,,,POINT (-76.8291478 -12.3314334),,,,,,,699686753,6450979493,1081.459,,,,3259019072,495244831,877.9980000000002,435360094,1827698592,782.1840000000002,,,
1827698899,-12.3314222,-76.8279018,3,,,POINT (-76.82790180000001 -12.3314222),,,,,,,699686753,6450979493,903.7570000000002,,,,3259019072,495244831,840.7010000000001,435360094,1827698592,604.4820000000001,,,
1827698905,-12.3315226,-76.826682,3,,,POINT (-76.82668200000001 -12.3315226),,,,,,,699686753,6450979493,687.1520000000002,,,,3259019072,495244831,802.7180000000001,435360094,1827698592,404.361,,,
1827698915,-12.3316443,-76.8261759,3,,,POINT (-76.8261759 -12.3316443),,,,,,,699686753,6450979493,744.1440000000001,,,,3259019072,495244831,745.7260000000001,435360094,1827698592,461.353,,,
1827698917,-12.3316512,-76.8253984,3,,,POINT (-76.8253984 -12.3316512),,,,,,,699686753,6450979493,827.8860000000002,,,,3259019072,495244831,661.2280000000002,435360094,1827698592,545.8510000000001,,,
1827698919,-12.3316549,-76.8285505,3,,,POINT (-76.82855050000001 -12.3316549),,,,,,,699686753,6450979493,1012.0570000000002,,,,3259019072,495244831,834.4680000000001,172360300,1827699041,558.066,,,
1827698938,-12.3320766,-76.8292275,3,,,POINT (-76.8292275 -12.3320766),,,,,,,699686753,6450979493,1143.1889999999999,,,,3259019072,495244831,803.9320000000001,172360300,1827699041,527.53,,,
1827698943,-12.332151,-76.8263976,3,,,POINT (-76.82639760000001 -12.332151),,,,,,,699686753,6450979493,805.4180000000001,,,,3259019072,495244831,692.5270000000002,172360300,1827699041,459.88,,,
1827698944,-12.3321738,-76.830258,3,,,POINT (-76.830258 -12.3321738),,,,,,,699686753,6450979493,1255.42,,,,3259019072,495244831,871.2080000000001,172360300,1827699041,594.8059999999999,,,
1827698946,-12.3322054,-76.8275966,3,,,POINT (-76.82759660000001 -12.3322054),,,,,,,699686753,6450979493,857.1240000000001,,,,3259019072,495244831,744.2860000000001,172360300,1827699041,467.884,,,
1827698953,-12.3323245,-76.8288402,3,,,POINT (-76.8288402 -12.3323245),,,,,,,699686753,6450979493,1092.891,,,,3259019072,495244831,753.6340000000001,172360300,1827699041,477.232,,,
1827698957,-12.3323522,-76.8254257,3,,,POINT (-76.8254257 -12.3323522),,,,,,,699686753,6450979493,749.8820000000002,,,,3259019072,495244831,583.224,172360300,1827699041,350.577,,,
1827698959,-12.3325415,-76.8271062,1,,,POINT (-76.8271062 -12.3325415),,,,,,,699686753,6450979493,1079.973,,,,3259019072,495244831,756.4840000000002,172360300,1827699041,398.106,,,
1827698962,-12.332496,-76.8294799,3,,,POINT (-76.8294799 -12.332496),,,,,,,699686753,6450979493,1163.4319999999998,,,,3259019072,495244831,779.2200000000001,172360300,1827699041,502.81800000000004,,,
1827698965,-12.3325973,-76.8284149,3,,,POINT (-76.8284149 -12.3325973),,,,,,,699686753,6450979493,1046.093,,,,3259019072,495244831,698.3650000000001,172360300,1827699041,421.963,,,
1827698967,-12.3325998,-76.8265941,4,,,POINT (-76.82659409999999 -12.3325998),,,,,,,699686753,6450979493,822.5780000000002,,,,3259019072,495244831,655.9200000000001,172360300,1827699041,423.2729999999999,,,
1827698973,-12.3327652,-76.8290689,3,,,POINT (-76.8290689 -12.3327652),,,,,,,699686753,6450979493,1109.679,,,,3259019072,495244831,725.4670000000001,172360300,1827699041,449.065,,,
1827698978,-12.3329741,-76.8259464,1,,,POINT (-76.82594640000001 -12.3329741),,,,,,,699686753,6450979493,1007.9000000000002,,,,3259019072,495244831,841.2420000000001,172360300,1827699041,545.751,,,
