osmid,y,x,street_count,ref,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
182439911,-12.3442095,-76.8125877,1,,,POINT (-76.81258769999999 -12.3442095),,,,,,,,,,171652088,1826469973,,319488480,1826469898,,5593357481,1832652904,,,,
258066779,-12.3711599,-76.784901,3,45A,motorway_junction,POINT (-76.784901 -12.3711599),,,,,,,,,,171652088,1826469973,2261.3200000000006,319488480,1826469898,2535.185000000001,5593356863,6450999546,1756.0180000000003,,,
258066780,-12.3765219,-76.7793541,2,,,POINT (-76.77935410000001 -12.3765219),,,,,,,,,,171652088,1826469973,,319488480,1826469898,,5593356863,6450999546,,,,
258066956,-12.3435387,-76.8132658,1,,,POINT (-76.8132658 -12.3435387),,,,,,,,,,171652088,1826469973,3712.0109999999995,319488480,1826469898,3607.6059999999993,5593357481,1832652904,5607.8640000000005,,,
472561534,-12.3743663,-76.781928,4,,,POINT (-76.78192799999999 -12.3743663),,,,,,,,,,171652088,1826469973,1801.3550000000002,319488480,1826469898,2075.2200000000003,5593356863,6450999546,1296.053,,,
472561535,-12.373936,-76.7815108,4,,,POINT (-76.78151080000001 -12.373936),,,,,,,,,,171652088,1826469973,1867.2540000000004,319488480,1826469898,2141.1190000000006,5593356863,6450999546,1361.9520000000002,,,
472561556,-12.3758083,-76.7833245,4,,,POINT (-76.78332450000001 -12.3758083),,,,,,,,,,171652088,1826469973,1610.0260000000003,319488480,1826469898,1883.8910000000003,5593356863,6450999546,1104.7240000000002,,,
472561566,-12.3754584,-76.7829833,3,,,POINT (-76.7829833 -12.3754584),,,,,,,,,,171652088,1826469973,1634.3700000000003,319488480,1826469898,1908.2350000000004,5593356863,6450999546,1129.0680000000002,,,
472561575,-12.3745947,-76.7821498,3,,,POINT (-76.7821498 -12.3745947),,,,,,,,,,171652088,1826469973,1766.3500000000004,319488480,1826469898,2040.2150000000004,5593356863,6450999546,1261.0480000000002,,,
472561604,-12.3737516,-76.7787796,3,,,POINT (-76.77877959999999 -12.3737516),,,,,,,,,,171652088,1826469973,2190.9770000000003,319488480,1826469898,2464.8420000000006,5593356863,6450999546,1685.6750000000002,,,
472561673,-12.3737336,-76.7813017,3,,,POINT (-76.7813017 -12.3737336),,,,,,,,,,171652088,1826469973,1899.2270000000003,319488480,1826469898,2173.0920000000006,5593356863,6450999546,1393.9250000000002,,,
472561684,-12.3746953,-76.7816058,3,,,POINT (-76.78160579999999 -12.3746953),,,,,,,,,,171652088,1826469973,,319488480,1826469898,,5593356863,6450999546,,,,
472561687,-12.374688,-76.7820784,3,,,POINT (-76.7820784 -12.374688),,,,,,,,,,171652088,1826469973,1984.4110000000003,319488480,1826469898,2258.2760000000003,5593356863,6450999546,1479.1090000000002,,,
