osmid,y,x,street_count,ref,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
31035231,-12.0379627,-77.043368,3,,,POINT (-77.043368 -12.0379627),4919198021,885831108,494.685,,,,391908588,885831088,2205.916,7878813,885831029,912.25,4422263613,4422263610,1133.367,4422263612,3952011574,226.46800000000002,12280616,1427486235,2450.398
31035236,-12.0374271,-77.0408179,3,,,POINT (-77.04081789999999 -12.0374271),4919198021,885831108,1480.5370000000003,,,,391908588,885831088,3191.768,810648838,885830997,1972.7490000000005,4422263613,4422263610,2119.2190000000005,4422263612,3952011574,880.5680000000001,12280616,1427486235,3436.2500000000005
31035237,-12.0376999,-77.0429004,3,,,POINT (-77.04290039999999 -12.0376999),4919198021,885831108,671.108,,,,391908588,885831088,2382.3389999999995,7878813,885831029,1088.673,4422263613,4422263610,1309.7899999999997,4422263612,3952011574,166.173,12280616,1427486235,2626.821
31035238,-12.0376438,-77.042301,3,,,POINT (-77.04230099999999 -12.0376438),4919198021,885831108,620.615,,,,391908588,885831088,2331.8459999999995,810648838,885830997,1112.827,4422263613,4422263610,1259.2969999999998,4422263612,3952011574,100.77600000000001,12280616,1427486235,2576.328
31035239,-12.037488,-77.0418193,3,,,POINT (-77.0418193 -12.037488),4919198021,885831108,645.5699999999999,,,,391908588,885831088,2356.8009999999995,810648838,885830997,1137.782,4422263613,4422263610,1284.2519999999997,4422263612,3952011574,45.601000000000006,12280616,1427486235,2601.283
31035244,-12.037937,-77.0396179,3,,,POINT (-77.0396179 -12.037937),4919198021,885831108,893.698,,,,391908588,885831088,2604.9289999999996,810648838,885830997,1385.91,4422263613,4422263610,1532.3799999999999,396972135,885831078,1419.874,12280616,1427486235,2849.4109999999996
31035247,-12.0331983,-77.0438133,3,,,POINT (-77.0438133 -12.0331983),4029952250,885831060,200.844,,,,391908588,885831088,1787.1809999999998,830885202,885930794,161.13099999999997,4422263613,4422263610,761.681,5592810696,885831093,422.606,12280616,1427486235,1918.3430000000003
31035256,-12.0372174,-77.0415297,3,,,POINT (-77.0415297 -12.0372174),4919198021,885831108,1561.3809999999999,,,,391908588,885831088,3272.6119999999996,810648838,885830997,2053.593,4422263613,4422263610,2200.063,4422263612,3952011574,961.4119999999999,12280616,1427486235,3517.0939999999996
31035258,-12.0369307,-77.0428828,3,10A,motorway_junction,POINT (-77.0428828 -12.0369307),4919198021,885831108,587.0450000000001,,,,391908588,885831088,2298.276,7878813,885831029,1004.6100000000001,4422263613,4422263610,1225.727,4422263612,3952011574,1112.5620000000001,12280616,1427486235,2542.758
31035266,-12.037301,-77.0434331,3,,,POINT (-77.0434331 -12.037301),4919198021,885831108,420.75100000000003,,,,391908588,885831088,2131.9819999999995,7878813,885831029,838.316,4422263613,4422263610,1059.433,4422263612,3952011574,,12280616,1427486235,2376.4640000000004
31035284,-12.0360564,-77.0435471,3,,,POINT (-77.0435471 -12.0360564),4919198021,885831108,281.803,,,,391908588,885831088,1993.0340000000003,7878813,885831029,699.3679999999999,4422263613,4422263610,920.485,4422263612,3952011574,,12280616,1427486235,2237.516
31035294,-12.0365895,-77.0427893,3,,,POINT (-77.0427893 -12.0365895),4919198021,885831108,,,,,391908588,885831088,,7878813,885831029,,4422263613,4422263610,,4422263612,3952011574,,12280616,1427486235,
31035295,-12.0371357,-77.0414365,3,,,POINT (-77.0414365 -12.0371357),4919198021,885831108,,,,,391908588,885831088,,810648838,885830997,,4422263613,4422263610,,4422263612,3952011574,,12280616,1427486235,
31035512,-12.0374138,-77.0404742,3,9B,motorway_junction,POINT (-77.04047420000001 -12.0374138),4919198021,885831108,597.3019999999999,,,,391908588,885831088,1645.0179999999998,810648838,885830997,283.181,4422263613,4422263610,136.71099999999998,4422263612,3952011574,,12280616,1427486235,2574.911
31035540,-12.0360449,-77.0421723,3,,,POINT (-77.0421723 -12.0360449),4919198021,885831108,350.577,,,,391908588,885831088,1618.2789999999998,810648838,885830997,396.477,4422263613,4422263610,542.947,4422263612,3952011574,,12280616,1427486235,2328.186
31035541,-12.0352129,-77.0436464,3,,,POINT (-77.0436464 -12.0352129),4919198021,885831108,187.38400000000001,,,,391908588,885831088,1898.615,7878813,885831029,604.9490000000001,4422263613,4422263610,826.066,4422263612,3952011574,,12280616,1427486235,2143.097
31035556,-12.0282788,-77.0442451,3,,,POINT (-77.0442451 -12.0282788),4029952250,885831060,,,,,393487901,3966771525,,830885202,885930794,,4422263613,4422263610,,396974127,5525761397,600.185,12280616,1427486235,1368.4019999999998
31035563,-12.028699,-77.0441753,4,,,POINT (-77.04417530000001 -12.028699),4029952250,885831060,669.528,,,,393487901,3966771525,1796.08,830885202,885930794,599.462,4422263613,4422263610,1122.6200000000001,396974127,5525761397,648.1789999999999,12280616,1427486235,1416.396
31035567,-12.0298186,-77.0428692,4,,,POINT (-77.0428692 -12.0298186),4029952250,885831060,497.96799999999996,,,,393487901,3966771525,1624.52,830885202,885930794,427.902,4422263613,4422263610,951.0600000000001,5592810695,885831151,443.508,12280616,1427486235,1595.937
31035570,-12.0232405,-77.0498749,3,,,POINT (-77.04987490000001 -12.0232405),4029952250,885831060,,,,,439241364,6047008469,1306.7910000000002,830885202,885930794,,319098935,1333064816,1305.5410000000002,68874769,2887169621,9.993,12280616,1427486235,725.228
31041248,-12.0179763,-77.0510126,5,,,POINT (-77.05101260000001 -12.0179763),4029952250,885831060,,,,,439241364,6047008469,710.5050000000001,835577489,1333064816,694.2460000000001,319098935,1333064816,694.2460000000001,5577150879,1333065277,948.3730000000002,12280616,1427486235,519.915
31080028,-12.0397382,-77.0157168,3,6A,motorway_junction,POINT (-77.01571680000001 -12.0397382),4207170241,885969341,,,,,393487901,3966771525,,391960120,3952351826,,319489761,4353175419,,5593299685,885819344,,12280616,1427486235,
31080098,-12.0405431,-77.0187328,4,,,POINT (-77.0187328 -12.0405431),4207170241,885969341,2570.9939999999997,,,,393487901,3966771525,2242.486,835635143,885811874,23.426,319489761,4353175419,,5593341943,1324511892,1101.1390000000001,12280616,1427486235,4651.211
31080119,-12.0426495,-77.0238728,4,,,POINT (-77.02387280000001 -12.0426495),5989511085,503697726,2315.873,,,,391950856,885831152,1795.8960000000002,373513194,1324511393,515.624,399804116,885811843,516.8480000000001,5593327706,1273949394,898.8199999999999,12280616,1427486235,4298.111000000001
301457919,-12.032718,-77.041591,4,,,POINT (-77.041591 -12.032718),463349357,885831060,279.876,,,,391908588,885831088,1497.7920000000001,830885202,885930794,428.26,4422263613,4422263610,587.287,5592810696,885831093,83.606,12280616,1427486235,2206.1800000000003
301457923,-12.0406781,-77.0339645,3,,,POINT (-77.0339645 -12.0406781),5989511085,503697726,1525.8079999999998,,,,391908588,885831088,1497.212,400443759,2400498279,240.664,319490322,885811829,1914.358,400425682,4029988993,111.85799999999999,12280616,1427486235,3259.915
301457943,-12.0319619,-77.0278398,4,,,POINT (-77.0278398 -12.0319619),4207170241,885969341,807.994,,,,393487901,3966771525,911.765,835627555,885844213,550.059,319492070,5794957723,554.0070000000001,5593307338,1754973984,483.70900000000006,12280616,1427486235,3863.238
331610229,-12.0419871,-77.0202029,3,,,POINT (-77.0202029 -12.0419871),4207170241,885969341,2783.629,,,,391950856,885831152,2361.6310000000003,373513194,1324511393,295.589,399804116,885811843,650.282,5593341943,1324511892,749.609,12280616,1427486235,4843.597000000001
331610240,-12.0422306,-77.0311067,3,8,motorway_junction,POINT (-77.0311067 -12.0422306),5989511085,503697726,1881.721,,,,391908588,885831088,963.4630000000002,440692081,885811834,1259.511,4384740078,885811867,1247.337,5593325976,885811857,756.9820000000001,12280616,1427486235,3615.828
503697724,-12.0348187,-77.0298521,4,,bus_stop,POINT (-77.0298521 -12.0348187),5989511085,503697726,846.3249999999999,,,,393487901,3966771525,525.447,835627555,885844213,163.74099999999999,4159187995,885844212,225.915,5593324052,503697724,0.0,12280616,1427486235,3479.1839999999997
503697726,-12.0299819,-77.0358232,4,,,POINT (-77.0358232 -12.0299819),5989511085,503697726,0.0,,,,393487901,3966771525,639.1370000000001,835627259,885930838,310.03,319492070,5794957723,1308.301,5593299256,885930697,178.462,12280616,1427486235,2632.8590000000004
503697727,-12.0267587,-77.0399245,4,,,POINT (-77.0399245 -12.0267587),5989511085,503697726,639.159,,,,393487901,3966771525,1231.854,469251667,885930744,362.54,319492070,5794957723,1740.484,5592798657,503697727,0.0,12280616,1427486235,2060.637
503697728,-12.0268474,-77.0400061,4,,,POINT (-77.0400061 -12.0268474),5989511085,503697726,604.141,,,,393487901,3966771525,1196.836,469251667,885930744,327.522,319492070,5794957723,1753.752,5592798657,503697727,13.268,12280616,1427486235,2073.905
503697729,-12.0300753,-77.0359122,4,,,POINT (-77.0359122 -12.0300753),5989511085,503697726,32.245,,,,393487901,3966771525,624.9399999999999,835627259,885930838,342.275,4159187995,885844212,810.116,5593299256,885930697,210.707,12280616,1427486235,2642.57
563862402,-12.0432022,-77.0245223,3,7B,motorway_junction,POINT (-77.0245223 -12.0432022),5989511085,503697726,2525.637,,,,391950856,885831152,1939.286,373513194,1324511393,725.388,4384740078,885811867,931.838,5593327706,1273949394,1108.5839999999998,12280616,1427486235,4349.566000000001
563862405,-12.0424969,-77.0248186,3,,,POINT (-77.0248186 -12.0424969),5989511085,503697726,2420.1910000000003,,,,391950856,885831152,1900.214,373513194,1324511393,619.942,399804116,885811843,621.166,5593327706,1273949394,1003.1379999999999,12280616,1427486235,4402.429
563862407,-12.042573,-77.0242632,3,,,POINT (-77.02426319999999 -12.042573),5989511085,503697726,2359.202,,,,391950856,885831152,1839.225,373513194,1324511393,558.953,399804116,885811843,560.177,5593327706,1273949394,942.149,12280616,1427486235,4341.4400000000005
563862408,-12.0428776,-77.0241563,3,,,POINT (-77.0241563 -12.0428776),5989511085,503697726,,,,,391950856,885831152,,373513194,1324511393,,399804116,885811843,,5593327706,1273949394,,12280616,1427486235,
563862409,-12.0426206,-77.023986,4,,,POINT (-77.02398599999999 -12.0426206),5989511085,503697726,2328.596,,,,391950856,885831152,1808.6190000000001,373513194,1324511393,528.347,399804116,885811843,529.571,5593327706,1273949394,911.543,12280616,1427486235,4310.834000000001
