osmid,y,x,street_count,highway,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
258066781,-12.3845526,-76.7710461,3,,,POINT (-76.77104610000001 -12.3845526),,,,,,,,,,,,,319498723,1273856455,1044.8700000000001,5593356569,1273487874,450.83500000000004,,,
258066783,-12.3857826,-76.769768,3,,,POINT (-76.769768 -12.3857826),,,,,,,,,,,,,319498723,1273856455,,5593356569,1273487874,,,,
495301294,-12.3864141,-76.771372,3,,,POINT (-76.771372 -12.3864141),,,,,,,,,,,,,319498723,1273856455,859.9100000000001,5593356569,1273487874,265.875,,,
495301299,-12.3845667,-76.7735136,3,,,POINT (-76.7735136 -12.3845667),,,,,,,,,,,,,319498723,1273856455,558.326,5593356568,1273755979,433.369,,,
495302182,-12.3861772,-76.7716393,4,,,POINT (-76.7716393 -12.3861772),,,,,,,,,,,,,319498723,1273856455,820.7090000000001,5593356569,1273487874,226.674,,,
495302188,-12.385295,-76.7705675,3,,,POINT (-76.7705675 -12.385295),,,,,,,,,,,,,319498723,1273856455,987.8940000000001,5593356569,1273487874,393.85900000000004,,,
495302399,-12.3851872,-76.7706764,3,,,POINT (-76.7706764 -12.3851872),,,,,,,,,,,,,319498723,1273856455,959.7160000000001,5593356569,1273487874,365.68100000000004,,,
495302418,-12.386094,-76.7717332,4,,,POINT (-76.7717332 -12.386094),,,,,,,,,,,,,319498723,1273856455,806.94,5593356568,1273755979,197.179,,,
495303074,-12.3865292,-76.7761975,4,,,POINT (-76.77619749999999 -12.3865292),,,,,,,,,,,,,319498723,1273856455,146.589,5593356783,1273639348,331.54100000000005,,,
495319277,-12.3884377,-76.7744187,4,,,POINT (-76.7744187 -12.3884377),,,,,,,,,,,,,319498723,1273856455,433.569,5593356783,1273639348,405.892,,,
495319504,-12.390032,-76.7769586,3,,,POINT (-76.7769586 -12.390032),,,,,,,,,,,,,319498723,1273856455,399.304,5593356779,1932466004,49.531,,,
495319539,-12.3864177,-76.7720237,4,,,POINT (-76.77202370000001 -12.3864177),,,,,,,,,,,,,319498723,1273856455,758.219,5593356568,1273755979,148.458,,,
495319674,-12.3863285,-76.7719892,3,,,POINT (-76.77198919999999 -12.3863285),,,,,,,,,,,,,319498723,1273856455,768.8220000000001,5593356568,1273755979,159.06099999999998,,,
495319770,-12.3863657,-76.7718524,3,,,POINT (-76.7718524 -12.3863657),,,,,,,,,,,,,319498723,1273856455,851.9340000000001,5593356568,1273755979,242.173,,,
