osmid,y,x,ref,highway,street_count,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
182472511,-12.0860006,-76.9879059,1A,motorway_junction,3,POINT (-76.9879059 -12.0860006),438017610,1903604974,2908.5580000000004,,,,151303103,5599156588,2842.807,437891106,2383679240,2395.0400000000004,958547254,392148896,758.153,439761775,416660438,1271.3129999999999,126865901,4274013912,3473.089000000001
263108187,-12.0879906,-77.0032601,,,3,POINT (-77.00326010000001 -12.0879906),4022683716,485617724,1079.7579999999998,,,,151303103,5599156588,1906.6409999999996,809963632,6128998296,709.225,4507439924,4261314258,,5597329767,485618187,508.59000000000003,437375014,392152684,1121.028
263108188,-12.0879069,-77.0037088,,,3,POINT (-77.0037088 -12.0879069),4022683716,485617724,842.6850000000001,,,,151303103,5599156588,1669.5679999999995,809963632,6128998296,472.152,4507439924,4261314258,,5597329767,485618187,271.517,437375014,392152684,883.9549999999999
263928959,-12.1116668,-77.0003276,,traffic_signals,4,POINT (-77.00032760000001 -12.1116668),4749878324,3630330845,376.596,,,,151303103,5599156588,4923.979,437891106,2383679240,4476.212,161399768,417252109,1798.5259999999996,5597320429,3628169187,1792.1590000000003,438435174,4361787348,3236.192
263928962,-12.1118961,-77.0034342,,,4,POINT (-77.0034342 -12.1118961),4749878324,3630330845,190.556,,,,151303103,5599156588,4731.237000000001,437891106,2383679240,4283.470000000001,161399768,417252109,1605.7839999999997,5597320429,3628169187,1599.4170000000001,438435174,4361787348,3043.45
263933832,-12.0942354,-77.0099785,,,4,POINT (-77.0099785 -12.0942354),1983115417,419483012,510.48199999999997,,,,151303103,5599156588,2715.5819999999994,809963632,6128998296,1518.1660000000004,4510821067,419483012,510.48199999999997,5597276778,4354632363,197.52,437375014,392152684,1929.969
263933836,-12.0952938,-77.0096662,,,4,POINT (-77.0096662 -12.0952938),1983115417,419483012,387.4799999999999,,,,151303103,5599156588,2839.928,809963632,6128998296,1642.5120000000004,4510821067,419483012,387.4799999999999,5597276778,4354632363,444.5400000000001,437375014,392152684,2024.6339999999998
263933848,-12.0987806,-77.0106047,,,4,POINT (-77.0106047 -12.0987806),1983115417,419483012,803.35,,,,151303103,5599156588,3330.5299999999997,809963632,6128998296,2133.1140000000005,4510821067,419483012,803.35,454531159,412528267,827.5089999999999,437375014,392152684,2515.2360000000012
263933849,-12.0989498,-77.0106179,,,3,POINT (-77.0106179 -12.0989498),1983115417,419483012,1004.547,,,,151303103,5599156588,3657.2609999999995,809963632,6128998296,2459.845,4510821067,419483012,1004.547,454531159,412528267,808.64,437375014,392152684,2841.967000000001
263933850,-12.0994497,-77.0106229,,,3,POINT (-77.0106229 -12.0994497),1983115417,419483012,948.958,,,,151303103,5599156588,3601.6719999999996,809963632,6128998296,2404.256,4510821067,419483012,948.958,454531159,412528267,753.0509999999999,437375014,392152684,2786.378
