osmid,y,x,highway,street_count,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
108009619,-12.098943,-77.0508889,traffic_signals,3,,POINT (-77.0508889 -12.098943),5690698521,262730092,632.504,,,,,,,446742869,262728029,954.3810000000001,7563891378,262727872,1324.9780000000003,5593086785,262729612,409.23199999999997,436919686,4143749867,913.4929999999999
108009621,-12.0989183,-77.0506289,,3,,POINT (-77.05062890000001 -12.0989183),5690698521,262730092,604.1020000000001,,,,,,,446742869,262728029,982.783,7563891378,262727872,1353.3800000000003,5593086785,262729612,437.634,436919686,4143749867,941.895
108009622,-12.0988786,-77.0500746,,3,,POINT (-77.0500746 -12.0988786),5690698521,262730092,664.53,,,,,,,446742869,262728029,1043.2110000000002,7563891378,262727872,1413.8080000000002,436603556,262730036,487.44700000000006,436919686,4143749867,1002.3229999999999
108009627,-12.0984762,-77.049374,,3,,POINT (-77.049374 -12.0984762),5690698521,262730092,758.9190000000001,,,,,,,446742869,262728029,1137.6,7563891378,262727872,1508.1970000000003,436603556,262730036,581.836,436919686,4143749867,1096.7119999999998
108009630,-12.0986582,-77.0484403,,3,,POINT (-77.0484403 -12.0986582),5690698521,262730092,862.433,,,,,,,446742869,262728029,1241.114,7563891378,262727872,1611.7110000000005,436603556,262730036,685.35,436919686,4143749867,1200.226
108009631,-12.098934,-77.046936,traffic_signals,3,,POINT (-77.046936 -12.098934),5690698521,262730092,762.6510000000001,,,,,,,446742869,262728029,1407.522,436927425,262729231,1785.5350000000003,436603556,262730036,518.96,436248578,4337714452,1414.4479999999999
108009632,-12.0991282,-77.0458739,,3,,POINT (-77.0458739 -12.0991282),5690698521,262730092,880.129,,,,,,,446742869,262728029,1525.0,436927425,262729231,1903.0130000000004,436603556,262730036,636.438,436248578,4337714452,1531.926
108009633,-12.0993494,-77.0447838,traffic_signals,3,,POINT (-77.0447838 -12.0993494),5690698521,262730092,1001.1750000000001,,,,,,,446742869,262728029,1646.046,435551147,262909609,1898.0230000000006,436603556,262730036,757.484,436470086,263108218,1661.3190000000002
108009634,-12.099543,-77.0437188,,3,,POINT (-77.04371879999999 -12.099543),435354093,108030823,757.252,,,,,,,446742869,262728029,1763.822,435551147,262909609,1780.2470000000003,436603556,262730036,875.26,436470086,263108218,1543.5430000000003
108009635,-12.0996737,-77.0430329,,3,,POINT (-77.0430329 -12.0996737),435354093,108030823,681.274,,,,,,,446742869,262728029,1839.8,435551147,262909609,1704.2690000000002,401490482,262732035,718.447,436470086,263108218,1467.565
108009636,-12.1001407,-77.0404726,,3,,POINT (-77.0404726 -12.1001407),435354093,108030823,398.101,,,,,,,446742869,262728029,2122.973,435551147,262909609,1424.4580000000003,401490482,262732035,438.636,436470086,263108218,1333.546
108009637,-12.1005558,-77.0382563,,3,,POINT (-77.0382563 -12.1005558),435354093,108030823,152.754,,,,,,,446742869,262728029,2324.7619999999997,435551147,262909609,1282.37,401490482,262732035,683.9830000000001,295177769,4334601940,1174.9509999999998
108009638,-12.1007336,-77.038072,traffic_signals,3,,POINT (-77.038072 -12.1007336),435354093,108030823,124.60499999999999,,,,,,,446742869,262728029,2296.6130000000003,435551147,262909609,1254.221,401490482,262732035,942.8140000000001,295177769,4334601940,1146.802
108013931,-12.0998514,-77.0377887,,4,,POINT (-77.03778869999999 -12.0998514),4336001334,134250231,638.241,,,,,,,446742869,262728029,2399.4700000000003,435551147,262909609,1357.0780000000002,401490482,262732035,531.282,7561175257,4334601930,1145.195
108013935,-12.1034834,-77.0387335,traffic_signals,3,,POINT (-77.03873350000001 -12.1034834),5633968121,134254601,547.1769999999999,,,,,,,446742869,262728029,1981.407,435551147,262909609,1907.3840000000005,291982881,4332749874,627.0099999999999,295177769,4334601940,1532.071
108013938,-12.1045786,-77.038957,,3,,POINT (-77.038957 -12.1045786),5633968121,134254601,422.851,,,,,,,446742869,262728029,1878.3859999999997,435551147,262909609,1783.0580000000004,291982881,4332749874,502.68399999999997,295177769,4334601940,1407.745
