osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
181285629,-11.9565144,-76.9974203,3,,POINT (-76.9974203 -11.9565144),4593703593,1343053566,805.1929999999999,948341142,1342138664,2110.415,187076624,4356245534,1374.2700000000002,340215071,1343053700,452.18899999999996,340223380,2922174406,169.755,376741865,5489263752,482.69599999999997,12894519,1343139786,1693.4499999999996
181285633,-11.9564277,-76.9967416,3,,POINT (-76.99674159999999 -11.9564277),4593703593,1343053566,730.7359999999999,948341142,1342138664,2068.5269999999996,187076624,4356245534,1448.6920000000005,340215071,1343053700,377.73199999999997,340223380,2922174406,244.177,376741865,5489263752,557.1179999999999,12894519,1343139786,1618.9929999999993
181285635,-11.9578311,-76.9984248,3,,POINT (-76.9984248 -11.9578311),4593703593,1343053566,1020.64,948341142,1342138664,1842.8169999999998,187076624,4356245534,1069.7,585233648,1317787924,498.30299999999994,340223380,2922174406,110.752,376741865,5489263752,178.126,12894519,1343139786,1908.8969999999997
181285636,-11.9583441,-76.9971908,4,,POINT (-76.9971908 -11.9583441),4593703593,1343053566,1013.659,948341142,1342138664,1901.9139999999998,187076624,4356245534,1215.5540000000003,585233648,1317787924,644.1569999999998,340223380,2922174406,132.837,376741865,5489263752,323.98,12894519,1343139786,1901.916
181285637,-11.9564715,-76.9970878,3,,POINT (-76.9970878 -11.9564715),4593703593,1343053566,768.7099999999999,948341142,1342138664,2106.5009999999997,187076624,4356245534,1411.7850000000003,340215071,1343053700,415.706,340223380,2922174406,207.26999999999995,376741865,5489263752,520.2109999999999,12894519,1343139786,1656.9669999999999
181285638,-11.9585125,-76.996829,3,,POINT (-76.99682900000001 -11.9585125),4593703593,1343053566,994.761,948341142,1342138664,1945.4989999999998,116948941,824306498,1804.817,340215440,1343053360,670.129,340223380,2922174406,176.422,119562323,1343053218,469.795,12894519,1343139786,1883.0179999999998
273413079,-12.0275338,-76.9999108,4,,POINT (-76.99991079999999 -12.0275338),4862900921,821402822,245.23,437868020,824299223,7255.711000000001,169309866,822494014,2722.9460000000004,466764473,821398645,341.79099999999994,183453705,821389432,220.45299999999997,1966842536,821398571,275.827,181375025,821454970,949.887
273413150,-12.027825,-77.0011546,4,,POINT (-77.00115460000001 -12.027825),4873144821,821402822,384.31999999999994,437868020,824299223,7394.801000000001,169309866,822494014,2862.0360000000005,466764473,821398645,480.881,183453705,821389432,359.54299999999995,1966842403,821389369,486.7819999999999,181375025,821454970,1088.9769999999999
492820352,-12.0252328,-77.0120043,3,,POINT (-77.0120043 -12.0252328),1863374482,821389392,653.143,437868020,824299223,7127.775,169309866,822494014,2482.984,585023891,1804902072,363.359,789725461,6030015829,900.256,1966842525,822559607,224.92800000000003,181375025,821454970,1605.9420000000002
492820358,-12.0232941,-77.0124852,3,,POINT (-77.0124852 -12.0232941),1863374482,821389392,887.3660000000001,437868020,824299223,6887.207999999999,169309866,822494014,2242.4169999999995,585023892,1754944932,890.4380000000003,319596622,6030015789,992.4670000000001,5596815692,821687921,243.194,181375025,821454970,1751.1090000000002
492820378,-12.0122309,-77.011368,4,,POINT (-77.011368 -12.0122309),438634266,821789889,745.5840000000001,437868020,824299223,5643.854000000001,169309866,822494014,1071.142,585023887,822494123,280.554,4442897896,817392947,607.6199999999999,1966842516,821789688,383.31899999999996,437352802,817385668,1418.5810000000004
492820398,-12.0092105,-77.0109656,3,,POINT (-77.01096560000001 -12.0092105),438436894,822582157,677.1059999999999,437868020,824299223,5304.415000000001,169309866,822494014,916.597,585023888,822494122,127.363,4442897896,817392947,268.181,4222406202,822493981,48.84,437352802,817385668,1760.4330000000002
492820404,-12.0039628,-77.0120842,3,,POINT (-77.0120842 -12.0039628),438436894,822582157,98.519,437868020,824299223,4706.221,169309866,822494014,1385.1309999999999,459042582,822686126,260.73400000000004,4442897896,817392947,471.964,437809856,1946304105,10.952,437352802,817385668,2366.975
493839482,-12.018053,-77.0025269,4,,POINT (-77.00252690000001 -12.018053),437360394,817385665,607.5080000000002,437868020,824299223,6154.9349999999995,169309866,822494014,1486.7770000000007,437352803,817385668,502.076,4442893991,493839482,0.0,5596872290,821455026,59.916,437352802,817385668,502.076
493839484,-12.0132584,-77.0022487,4,,POINT (-77.0022487 -12.0132584),437360394,817385665,85.437,437868020,824299223,5632.864000000001,169309866,822494014,1088.8739999999998,459041208,1804901581,465.083,4442893991,493839482,567.4499999999999,1966842393,822494056,702.583,437352802,817385668,367.78999999999996
493839494,-11.9849378,-77.0066255,4,traffic_signals,POINT (-77.0066255 -11.9849378),437497390,817340912,477.71000000000004,437868020,824299223,2052.7059999999997,437364307,817340863,308.947,437498603,817345817,78.62899999999999,831356203,4351746541,516.557,437803703,816743720,137.253,437682201,1307610103,128.355
499564329,-12.0254141,-77.0133949,3,,POINT (-77.01339489999999 -12.0254141),1863374482,821389392,1709.8360000000002,437868020,824299223,7335.683999999999,169309866,822494014,2731.9509999999996,585023892,1754944932,882.3540000000002,319596622,6030015789,665.9470000000001,1966842525,822559607,1116.991,181375025,821454970,2551.1719999999996
499564364,-12.0145317,-77.0128048,3,,POINT (-77.0128048 -12.0145317),438634266,821789889,1077.874,437868020,824299223,6036.621000000001,169309866,822494014,1432.888,459043313,821755615,772.5849999999999,4442897896,817392947,1000.387,1966842488,1941642609,163.641,437352802,817385668,1526.5919999999996
499564386,-12.0121015,-77.0133412,3,,POINT (-77.0133412 -12.0121015),438436894,822582157,1238.537,437868020,824299223,5865.846000000001,169309866,822494014,1262.1129999999998,585023887,822494123,502.54600000000005,4442897896,817392947,829.6120000000001,1966842516,821789688,197.49,437352802,817385668,1580.0960000000002
499564389,-12.0105658,-77.0145577,3,,POINT (-77.0145577 -12.0105658),438436894,822582157,1024.244,437868020,824299223,5758.754000000001,169309866,822494014,1444.158,585023887,822494123,415.466,4442897896,817392947,627.8309999999999,1966842503,822494123,415.466,437352802,817385668,1803.6480000000004
499564391,-12.0101474,-77.0156056,3,,POINT (-77.0156056 -12.0101474),438436894,822582157,1036.6580000000001,437868020,824299223,5626.852000000003,169309866,822494014,1576.0600000000002,459042592,1844542712,151.187,4442897896,817392947,759.7330000000001,833674638,1273661118,227.43400000000003,437352802,817385668,1935.5500000000004
499564394,-12.009325,-77.0164714,3,,POINT (-77.0164714 -12.009325),438436894,822582157,905.282,437868020,824299223,5495.476000000002,169309866,822494014,1645.7939999999999,459042592,1844542712,100.96199999999999,4442897896,817392947,714.243,833674638,1273661118,96.05799999999999,437352802,817385668,2066.926
499564487,-11.9922162,-77.0149855,3,,POINT (-77.01498549999999 -11.9922162),4916727121,1951268681,337.027,437868020,824299223,3522.565,437364307,817340863,1322.81,585046048,817600769,104.946,4325295697,817738480,873.0530000000001,5593263931,817301948,523.447,5502386421,7759901226,1711.4299999999996
499564495,-11.9849044,-77.0152518,3,,POINT (-77.0152518 -11.9849044),7851614685,1951268681,676.849,437868020,824299223,2710.660000000001,437364307,817340863,1086.243,539160783,1306862564,347.76,115750509,4356666734,410.18800000000005,1966842512,817111195,457.077,5502386421,7759901226,1277.494
499564501,-11.9823707,-77.0131066,4,,POINT (-77.0131066 -11.9823707),4354725823,1307610110,505.23,437868020,824299223,2340.5360000000005,437364307,817340863,928.854,115437542,816743662,59.625,115750509,4356666734,271.805,437799016,816743662,59.625,5502386421,7759901226,907.37
499564506,-11.9822034,-77.0131136,4,,POINT (-77.0131136 -11.9822034),4354725823,1307610110,486.611,437868020,824299223,2321.9170000000004,437364307,817340863,978.4850000000001,115437542,816743662,109.256,115750509,4356666734,253.18599999999998,5595325149,824102071,312.46399999999994,5502386421,7759901226,957.0010000000001
499564518,-11.9694381,-77.0050964,3,,POINT (-77.0050964 -11.9694381),4916726721,1975409970,9.529,437868020,824299223,660.251,187076624,4356245534,427.16299999999995,585233651,1975410056,338.178,4444225790,824299634,242.70000000000002,5595245133,1317143509,118.473,186174865,1317570880,1857.1710000000005
499564529,-11.965986,-77.0025408,3,,POINT (-77.00254080000001 -11.965986),4916726721,1975409970,911.1289999999998,437868020,824299223,919.355,187076624,4356245534,330.33299999999997,483836764,1317347615,766.1800000000001,4444225790,824299634,691.6939999999998,116948991,1273510910,366.0349999999999,186174865,1317570880,2611.062
499564533,-11.9643488,-77.0016941,3,,POINT (-77.00169409999999 -11.9643488),4916726721,1975409970,1097.155,437868020,824299223,851.638,187076624,4356245534,660.208,483836764,1317347615,561.951,4444225790,824299634,846.058,483836765,1317347633,446.404,12894519,1343139786,2695.8669999999997
499564538,-11.9620443,-77.00021,4,,POINT (-77.00021 -11.9620443),4916726721,1975409970,1156.08,437868020,824299223,1108.3170000000002,187076624,4356245534,575.284,585233648,1317787924,372.127,4444185291,1317787219,548.3629999999999,5595238253,7712546044,148.971,12894519,1343139786,2392.9239999999995
