osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
316624768,-12.0839673,-77.00404,4,,POINT (-77.00404 -12.0839673),4272779790,4356655354,1936.5790000000002,,,,,,,458787237,1273955578,705.034,837280796,4356680115,889.661,5597289831,4356685706,461.6,437981876,2123904936,1529.2799999999997
316624769,-12.0833302,-77.004092,3,,POINT (-77.004092 -12.0833302),4272779790,4356655354,1865.471,,,,,,,458787237,1273955578,633.926,837280796,4356680115,818.553,5597289831,4356685706,390.492,437981876,2123904936,1458.1719999999998
316624772,-12.0813161,-77.0051227,4,,POINT (-77.0051227 -12.0813161),4272779790,4356655354,1609.8780000000002,,,,,,,458787237,1273955578,378.33299999999997,837280796,4356680115,562.9599999999999,5597289836,1047203597,245.09500000000003,437981876,2123904936,1202.5789999999997
316628653,-12.071854,-76.993521,3,,POINT (-76.993521 -12.071854),4862786622,4272187792,24.041,,,,,,,833581014,1757230573,684.4550000000002,828914502,2887440424,743.225,5597285795,2887440426,219.067,437981876,2123904936,1383.6379999999997
316628657,-12.0635526,-76.9997823,4,,POINT (-76.99978230000001 -12.0635526),4862786622,4272187792,1276.741,,,,,,,836986966,1481057341,,940224805,4341204534,,837194079,1273513826,,437981876,2123904936,2636.338
316628702,-12.0705089,-76.9946672,4,,POINT (-76.99466719999999 -12.0705089),4862786622,4272187792,465.57699999999994,,,,,,,833581014,1757230573,479.67199999999997,836873261,471578633,1018.7529999999999,5597292014,1273502056,152.97899999999998,437981876,2123904936,1380.7049999999997
316628703,-12.076812,-76.989825,3,,POINT (-76.989825 -12.076812),5452456622,2123889706,1035.896,,,,,,,3063482682,5425278219,595.938,833611330,1273706862,469.542,439954991,1757230796,544.251,437981876,2123904936,1538.4849999999997
316630034,-12.0643173,-76.9884118,3,,POINT (-76.98841179999999 -12.0643173),4862786622,4272187792,1268.362,,,,,,,833581014,1757230573,1829.729,833673746,1841915493,1457.719,837186721,7813460138,1741.575,437981876,2123904936,2544.396
392152335,-12.0808782,-76.9976064,4,,POINT (-76.9976064 -12.0808782),4272779790,4356655354,551.764,,,,,,,6386452877,1641297834,1374.3409999999997,837280795,495672279,791.889,5597301927,2123914862,77.25999999999999,437981876,2123904936,262.67900000000003
392152337,-12.0783907,-76.9990176,4,,POINT (-76.9990176 -12.0783907),5452456622,2123889706,559.1270000000001,,,,,,,833581014,1757230573,887.4760000000001,837280796,4356680115,207.471,458787429,1273894632,138.833,437981876,2123904936,460.11600000000004
