osmid,y,x,ref,highway,street_count,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
471044785,-12.0580934,-76.9733876,B,motorway_junction,3,POINT (-76.9733876 -12.0580934),563421048,6129242514,5728.121999999998,437855139,1577564129,3669.0629999999996,456121389,6302438537,4800.335999999998,835427975,1746791698,4570.524999999997,563664314,5321367407,5920.928999999999,5597207407,1577564089,5305.728999999997,402752730,4051615537,5379.131999999999
471047252,-12.0581266,-76.9727738,,,3,POINT (-76.9727738 -12.0581266),563421050,1840662069,,437855139,1577564129,,456121389,6302438537,,835427975,1746791698,,563664314,5321367407,,5597207407,1577564089,,402752730,4051615537,
471048082,-12.0578126,-76.9720131,,,4,POINT (-76.9720131 -12.0578126),563421050,1840662069,1585.4140000000002,437855139,1577564129,2200.2990000000004,456121389,6302438537,2633.4939999999997,560844866,5390522496,2170.999,563664314,5321367407,1936.9069999999997,5597207406,1746791743,1349.484,402752730,4051615537,2127.5689999999995
471048154,-12.0570892,-76.9724967,,,4,POINT (-76.97249669999999 -12.0570892),563421047,6129242514,1434.1490000000001,437855139,1577564129,2102.2610000000004,456121389,6302438537,2535.4559999999997,560844866,5390522496,2072.961,563664314,5321367407,1838.8689999999997,5597207406,1746791743,1251.446,402752730,4051615537,2029.5309999999995
471048161,-12.0551938,-76.9746534,,,3,POINT (-76.97465339999999 -12.0551938),563421052,6129242514,5377.541999999998,437855139,1577564129,3318.4829999999997,456121389,6302438537,4449.7559999999985,835427975,1746791698,4219.944999999998,319647076,1746796528,3763.029999999999,5597207407,1577564089,4955.148999999998,402752730,4051615537,5028.551999999999
471048237,-12.0575047,-76.9712674,,,3,POINT (-76.9712674 -12.0575047),563421050,1840662069,1630.3770000000002,437855139,1577564129,2245.262,456121389,6302438537,2678.4569999999994,560844866,5390522496,2215.962,563664314,5321367407,1981.87,5597207406,1746791743,1394.447,402752730,4051615537,2172.5319999999992
471050831,-12.0426192,-76.9862408,,motorway_junction,3,POINT (-76.9862408 -12.0426192),6064995185,4356448438,2748.7509999999997,437855139,1577564129,1411.637,468556938,1746828492,784.1819999999999,468556921,2177219637,1133.8780000000002,319647076,1746796528,1856.1840000000002,5597170230,1273957243,1003.028,402752730,4051615537,3121.7060000000006
471051765,-12.0399335,-76.9852131,,,4,POINT (-76.9852131 -12.0399335),6064995185,4356448438,2151.489,437855139,1577564129,814.3750000000001,468556938,1746828492,186.92,468556921,2177219637,591.271,319647076,1746796528,1258.922,502197635,1746828504,554.1560000000001,402752730,4051615537,2524.4440000000004
471062094,-12.0550945,-76.9653989,,,3,POINT (-76.9653989 -12.0550945),4374853554,2886359363,,439195372,4368197142,,456121389,6302438537,,560844866,5390522496,,563664314,5321367407,,5597207326,1273504268,,402752730,4051615537,
492818282,-12.0546246,-76.9646005,,traffic_signals,3,POINT (-76.9646005 -12.0546246),4374853554,2886359363,26.172,439195372,4368197142,2052.737,456121389,6302438537,1768.549,560844866,5390522496,822.656,563664314,5321367407,588.5640000000001,5597207326,1273504268,673.3109999999999,402752730,4051615537,1262.6240000000003
492818299,-12.0497938,-76.966977,,,4,POINT (-76.966977 -12.0497938),437882403,4356601163,505.961,439195372,4368197142,1595.89,456121389,6302438537,1172.118,437882397,492818299,0.0,563664314,5321367407,472.018,5597201675,1273981434,358.544,402752730,4051615537,666.193
492818300,-12.0485222,-76.9674749,,,3,POINT (-76.9674749 -12.0485222),437882403,4356601163,708.019,439195372,4368197142,1444.479,456121389,6302438537,1020.7070000000001,437882397,492818299,262.90299999999996,563664314,5321367407,617.56,5597201675,1273981434,207.13299999999998,402752730,4051615537,514.782
492818312,-12.0463662,-76.9687456,,,3,POINT (-76.96874560000001 -12.0463662),437882403,4356601163,1134.435,439195372,4368197142,1166.1480000000001,456121389,6302438537,742.3760000000001,437882397,492818299,905.702,563664314,5321367407,1100.4919999999997,444766641,1273749329,343.128,402752730,4051615537,236.45100000000002
492818316,-12.0455172,-76.9690876,,,3,POINT (-76.96908759999999 -12.0455172),6064995185,4356448438,975.901,437855139,1577564129,1281.055,456121389,6302438537,640.741,471288523,1746796489,522.063,563664314,5321367407,998.857,560844910,1746791586,340.03999999999996,402752730,4051615537,457.06000000000006
499590042,-12.0473104,-76.9800743,,,3,POINT (-76.9800743 -12.0473104),563421052,6129242514,2105.0879999999997,437855139,1577564129,727.3420000000001,468556938,1746828492,1052.194,444766647,2177219614,768.3549999999999,319647076,1746796528,614.649,4957156321,1577564061,672.318,402752730,4051615537,1966.0189999999998
499590047,-12.0470306,-76.9791149,,,3,POINT (-76.9791149 -12.0470306),563421052,6129242514,2017.57,437855139,1577564129,639.8240000000001,468556938,1746828492,964.676,444766647,2177219614,680.837,319647076,1746796528,527.1310000000001,5597188979,1577564061,584.8,402752730,4051615537,1878.501
