osmid,y,x,street_count,ref,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
495332969,-12.3940948,-76.7634722,3,,,POINT (-76.7634722 -12.3940948),,,,,,,,,,,,,4281349671,495335838,1697.3559999999995,5593356777,6488581646,1434.0109999999997,,,
495332981,-12.3937417,-76.7638089,3,L,motorway_junction,POINT (-76.7638089 -12.3937417),,,,,,,,,,,,,4281349671,495335838,1714.4249999999997,5593356777,6488581646,1451.08,,,
495333489,-12.3952838,-76.7647711,3,,,POINT (-76.7647711 -12.3952838),,,,,,,,,,,,,4281349671,495335838,1496.9879999999996,5593356777,6488581646,1233.6429999999998,,,
495333528,-12.3948576,-76.7643121,3,,,POINT (-76.7643121 -12.3948576),,,,,,,,,,,,,4281349671,495335838,1565.7689999999996,5593356777,6488581646,1302.4239999999998,,,
495335651,-12.4054307,-76.774205,3,,,POINT (-76.77420499999999 -12.4054307),,,,,,,,,,,,,4281349671,495335838,684.1,5593356777,6488581646,943.806,,,
495335739,-12.402296,-76.7735294,3,,,POINT (-76.7735294 -12.402296),,,,,,,,,,,,,4281349671,495335838,322.218,5593356777,6488581646,581.9239999999999,,,
495335811,-12.4000274,-76.7729415,3,,,POINT (-76.7729415 -12.4000274),,,,,,,,,,,,,4281349671,495335838,53.763999999999996,5593356777,6488581646,313.46999999999997,,,
495335838,-12.3995468,-76.7728932,3,,,POINT (-76.7728932 -12.3995468),,,,,,,,,,,,,4281349671,495335838,0.0,5593356777,6488581646,259.70599999999996,,,
495336151,-12.4084013,-76.774627,3,,,POINT (-76.774627 -12.4084013),,,,,,,,,,,,,4281349671,495335838,1026.7859999999998,5593356777,6488581646,1286.492,,,
495336164,-12.4074418,-76.7747591,3,,,POINT (-76.7747591 -12.4074418),,,,,,,,,,,,,4281349671,495335838,919.1050000000001,5593356777,6488581646,1178.8110000000001,,,
495336188,-12.4067943,-76.774735,3,,,POINT (-76.77473500000001 -12.4067943),,,,,,,,,,,,,4281349671,495335838,846.8939999999999,5593356777,6488581646,1106.6,,,
495336196,-12.406407,-76.7746415,3,,,POINT (-76.7746415 -12.406407),,,,,,,,,,,,,4281349671,495335838,802.6160000000001,5593356777,6488581646,1062.3220000000001,,,
495336205,-12.4060276,-76.7744878,3,,,POINT (-76.7744878 -12.4060276),,,,,,,,,,,,,4281349671,495335838,757.234,5593356777,6488581646,1016.94,,,
495336915,-12.4009371,-76.7749021,4,,,POINT (-76.77490210000001 -12.4009371),,,,,,,,,,,,,4281349671,495335838,438.73400000000004,5593356777,6488581646,698.44,,,
495336950,-12.4017994,-76.775504,3,,,POINT (-76.775504 -12.4017994),,,,,,,,,,,,,4281349671,495335838,531.033,5593356777,6488581646,790.739,,,
799255198,-12.4002874,-76.7736126,3,,,POINT (-76.77361260000001 -12.4002874),,,,,,,,,,,,,4281349671,495335838,596.319,5593356777,6488581646,856.0249999999999,,,
799255200,-12.4010399,-76.7731424,3,,,POINT (-76.7731424 -12.4010399),,,,,,,,,,,,,4281349671,495335838,182.404,5593356777,6488581646,442.10999999999996,,,
799255201,-12.401025,-76.7752099,3,,,POINT (-76.77520989999999 -12.401025),,,,,,,,,,,,,4281349671,495335838,667.42,5593356777,6488581646,927.126,,,
799255205,-12.4022141,-76.7755421,4,,,POINT (-76.7755421 -12.4022141),,,,,,,,,,,,,4281349671,495335838,484.73199999999997,5593356777,6488581646,744.4379999999999,,,
799255218,-12.3994005,-76.7744057,4,,,POINT (-76.7744057 -12.3994005),,,,,,,,,,,,,4281349671,495335838,338.14,5593356777,6488581646,74.79499999999999,,,
799255229,-12.3988435,-76.7747113,3,,,POINT (-76.77471130000001 -12.3988435),,,,,,,,,,,,,4281349671,495335838,411.19,5593356777,6488581646,15.796,,,
799255244,-12.4009677,-76.7763568,3,,,POINT (-76.7763568 -12.4009677),,,,,,,,,,,,,4281349671,495335838,450.05799999999994,5593356777,6488581646,460.73400000000004,,,
799255245,-12.4012916,-76.7761466,3,,,POINT (-76.7761466 -12.4012916),,,,,,,,,,,,,4281349671,495335838,438.48699999999997,5593356777,6488581646,504.13700000000006,,,
799255261,-12.400107,-76.7735756,3,,,POINT (-76.7735756 -12.400107),,,,,,,,,,,,,4281349671,495335838,123.354,5593356777,6488581646,383.05999999999995,,,
799255262,-12.4000707,-76.7731999,3,,,POINT (-76.77319989999999 -12.4000707),,,,,,,,,,,,,4281349671,495335838,82.353,5593356777,6488581646,342.05899999999997,,,
799255263,-12.4004655,-76.773956,3,,,POINT (-76.773956 -12.4004655),,,,,,,,,,,,,4281349671,495335838,554.093,5593356777,6488581646,813.799,,,
799255264,-12.4006817,-76.7743809,3,,,POINT (-76.7743809 -12.4006817),,,,,,,,,,,,,4281349671,495335838,502.062,5593356777,6488581646,761.768,,,
799255265,-12.402621,-76.7755117,3,,,POINT (-76.7755117 -12.402621),,,,,,,,,,,,,4281349671,495335838,510.02700000000004,5593356777,6488581646,769.733,,,
799255267,-12.4016675,-76.7745135,4,,,POINT (-76.7745135 -12.4016675),,,,,,,,,,,,,4281349671,495335838,347.207,5593356777,6488581646,606.9129999999999,,,
799255268,-12.4013918,-76.7739635,3,,,POINT (-76.77396349999999 -12.4013918),,,,,,,,,,,,,4281349671,495335838,280.069,5593356777,6488581646,539.775,,,
799255269,-12.4011919,-76.7735648,3,,,POINT (-76.7735648 -12.4011919),,,,,,,,,,,,,4281349671,495335838,231.39800000000002,5593356777,6488581646,491.104,,,
1273453995,-12.4057369,-76.7743501,3,,,POINT (-76.77435010000001 -12.4057369),,,,,,,,,,,,,4281349671,495335838,721.618,5593356777,6488581646,981.3240000000001,,,
1273596811,-12.3942994,-76.7637738,3,,,POINT (-76.7637738 -12.3942994),,,,,,,,,,,,,4281349671,495335838,1651.1979999999996,5593356777,6488581646,1387.8529999999998,,,
1273600154,-12.4049782,-76.7742381,3,,,POINT (-76.77423810000001 -12.4049782),,,,,,,,,,,,,4281349671,495335838,685.225,5593356777,6488581646,944.931,,,
1273832867,-12.4062397,-76.7757452,3,,,POINT (-76.7757452 -12.4062397),,,,,,,,,,,,,4281349671,495335838,906.851,5593356777,6488581646,1166.557,,,
1273845713,-12.4061213,-76.7753882,3,,,POINT (-76.77538819999999 -12.4061213),,,,,,,,,,,,,4281349671,495335838,865.9040000000001,5593356777,6488581646,1125.6100000000001,,,
1273886123,-12.4122145,-76.7770282,3,,,POINT (-76.7770282 -12.4122145),,,,,,,,,,,,,4281349671,495335838,2574.958,5593356777,6488581646,2834.664,,,
1273891231,-12.4055243,-76.7749758,3,,,POINT (-76.77497580000001 -12.4055243),,,,,,,,,,,,,4281349671,495335838,793.563,5593356777,6488581646,1053.2690000000002,,,
1831352601,-12.4065445,-76.7756481,3,,,POINT (-76.7756481 -12.4065445),,,,,,,,,,,,,4281349671,495335838,942.352,5593356777,6488581646,1202.058,,,
1831352605,-12.406835,-76.7751567,3,,,POINT (-76.7751567 -12.406835),,,,,,,,,,,,,4281349671,495335838,892.9140000000001,5593356777,6488581646,1152.6200000000001,,,
1831352610,-12.4070168,-76.7755048,3,,,POINT (-76.77550479999999 -12.4070168),,,,,,,,,,,,,4281349671,495335838,939.4330000000001,5593356777,6488581646,1199.1390000000001,,,
1831352616,-12.4110986,-76.7752486,4,,,POINT (-76.7752486 -12.4110986),,,,,,,,,,,,,4281349671,495335838,1372.0359999999998,5593356777,6488581646,1631.742,,,
1831352656,-12.4130969,-76.7759641,3,,,POINT (-76.7759641 -12.4130969),,,,,,,,,,,,,4281349671,495335838,1612.072,5593356777,6488581646,1871.778,,,
