osmid,y,x,street_count,highway,ref,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
182472504,-12.0783248,-76.9650434,3,,,POINT (-76.9650434 -12.0783248),439641270,4214639819,4195.47,,,,391969601,1414370597,10494.146000000006,632669928,419483471,3820.262000000001,319715061,4353165250,4161.8640000000005,439641283,1724989798,836.206,158617358,419484715,3807.417
182472505,-12.0795463,-76.9659183,3,traffic_signals,,POINT (-76.9659183 -12.0795463),439641270,4214639819,4361.311000000001,,,,391969601,1414370597,10659.987000000005,632669928,419483471,3986.103000000001,319715061,4353165250,4327.705,439641283,1724989798,1002.047,158617358,419484715,3973.258
258069478,-12.0882615,-76.9811072,3,motorway_junction,3C,POINT (-76.9811072 -12.0882615),5836647683,1273906733,1544.349,,,,391969601,1414370597,9459.281,632669928,419483471,3228.918000000001,319715061,4353165250,2355.9440000000004,5597283921,1707072922,1509.2630000000004,158617358,419484715,1480.853
263617519,-12.1285523,-77.0039861,3,,,POINT (-77.00398610000001 -12.1285523),3749398712,3245719734,1146.42,,,,185197319,434289265,2197.306,5022333822,263626516,646.241,434800848,4354621323,5.812,149309364,440191853,1242.1670000000001,147185094,4298990494,1176.754
263624811,-12.1304236,-77.0179817,4,traffic_signals,,POINT (-77.01798170000001 -12.1304236),4343697067,387438515,1395.989,,,,185197319,434289265,2738.9150000000004,147185105,434289251,3064.119,436581955,316069719,1665.727,436616060,386146857,1051.5,147185094,4298990494,1933.5800000000002
263626515,-12.1287315,-76.9982206,3,,,POINT (-76.9982206 -12.1287315),4356685693,390998516,113.61699999999999,,,,185197319,434289265,2498.1520000000005,5022333822,263626516,16.095,561370572,1273875572,847.425,149309364,440191853,804.871,147185094,4298990494,2270.1490000000003
263626516,-12.1287249,-76.9980727,3,,,POINT (-76.99807269999999 -12.1287249),4356685693,390998516,97.52199999999999,,,,185197319,434289265,2482.0570000000007,5022333822,263626516,0.0,561370572,1273875572,831.3299999999999,149309364,440191853,788.776,147185094,4298990494,2254.0540000000005
263627079,-12.1283294,-77.0010908,3,,,POINT (-77.0010908 -12.1283294),3749398715,1273650070,518.006,,,,185197319,434289265,4281.104,5022333822,263626516,2498.907,434800848,4354621323,3931.203999999998,149309364,440191853,823.0519999999998,147185094,4298990494,4109.788999999999
263627085,-12.1285806,-77.0006076,3,,,POINT (-77.0006076 -12.1285806),434801439,316069045,3245.270999999999,,,,185197319,434289265,3786.503000000001,5022333822,263626516,2004.306,434800848,4354621323,3436.6029999999982,149309364,440191853,328.451,147185094,4298990494,3615.188
263627086,-12.1286981,-77.0005559,3,,,POINT (-77.00055589999999 -12.1286981),434801439,316069045,3259.521999999999,,,,185197319,434289265,3800.754000000001,5022333822,263626516,2018.5570000000002,434800848,4354621323,3450.8539999999985,149309364,440191853,342.702,147185094,4298990494,3629.4390000000003
263627088,-12.1289565,-77.0005491,3,,,POINT (-77.0005491 -12.1289565),434801439,316069045,2157.005,,,,185197319,434289265,2754.9250000000006,5022333822,263626516,272.86800000000005,434800848,4354621323,2348.3370000000004,149309364,440191853,371.72299999999996,147185094,4298990494,2526.9220000000005
263627090,-12.1291297,-77.0006273,3,,,POINT (-77.0006273 -12.1291297),434801439,316069045,2178.1490000000003,,,,185197319,434289265,2776.069000000001,5022333822,263626516,294.01200000000006,434800848,4354621323,2369.4809999999998,149309364,440191853,392.86699999999996,147185094,4298990494,2548.0660000000003
263627092,-12.1293411,-77.0009527,3,,,POINT (-77.0009527 -12.1293411),434801439,316069045,721.587,,,,185197319,434289265,2078.485,5022333822,263626516,337.42100000000005,434800848,4354621323,912.9190000000001,149309364,440191853,436.27599999999995,147185094,4298990494,1360.467
263627096,-12.1292208,-77.0014082,3,,,POINT (-77.0014082 -12.1292208),434801439,316069045,35.629999999999995,,,,185197319,434289265,2121.465,5022333822,263626516,390.552,434800848,4354621323,765.3510000000001,149309364,440191853,489.40700000000004,147185094,4298990494,1212.8990000000001
263627100,-12.128562,-77.001498,3,,,POINT (-77.001498 -12.128562),434801439,316069045,,,,,185197319,434289265,,5022333822,263626516,,434800848,4354621323,,149309364,440191853,,147185094,4298990494,
263628620,-12.1285942,-76.9980689,4,,,POINT (-76.99806890000001 -12.1285942),4356685693,390998516,2109.186,,,,185197319,434289265,3793.861000000001,5022333822,263626516,2011.6640000000002,561370572,1273875572,1559.7080000000003,149309364,440191853,335.80899999999997,147185094,4298990494,3622.5460000000003
263628771,-12.1286697,-76.9994107,3,,,POINT (-76.9994107 -12.1286697),4356635106,263628771,0.0,,,,185197319,434289265,3647.748000000001,5022333822,263626516,1865.551,434800848,4354621323,3297.847999999998,149309364,440191853,189.696,147185094,4298990494,3476.433
263628772,-12.1287145,-76.9999415,3,,,POINT (-76.99994150000001 -12.1287145),4356635106,263628771,310.126,,,,185197319,434289265,3724.590000000001,5022333822,263626516,1942.393,434800848,4354621323,3374.6899999999987,149309364,440191853,266.538,147185094,4298990494,3553.275
263635939,-12.1337992,-77.0178806,4,,,POINT (-77.0178806 -12.1337992),4343697067,387438515,1218.504,,,,185197319,434289265,2201.3299999999995,147185105,434289251,2526.534,436581955,316069719,1128.1419999999998,436616060,386146857,893.1419999999999,147185094,4298990494,1395.995
263635941,-12.1322206,-77.0179327,4,,,POINT (-77.0179327 -12.1322206),4343697067,387438515,1308.694,,,,185197319,434289265,2651.620000000001,147185105,434289251,2976.8240000000005,436581955,316069719,1578.432,436616060,386146857,964.2049999999999,147185094,4298990494,1846.285
263635942,-12.1312091,-77.0179591,3,,,POINT (-77.0179591 -12.1312091),4343697067,387438515,1483.367,,,,185197319,434289265,2826.2930000000006,147185105,434289251,3151.4970000000003,436581955,316069719,1753.105,436616060,386146857,1138.878,147185094,4298990494,2020.958
289315317,-12.152146,-76.9838322,3,,,POINT (-76.98383219999999 -12.152146),438672383,4335723707,1704.943,,,,391969601,1414370597,2052.761,315366566,1273622261,1423.255,446225044,1273962405,2071.1640000000007,317138030,1753136122,1788.6540000000002,127709115,1273866934,4306.515
289315319,-12.1549182,-76.9838328,3,,,POINT (-76.9838328 -12.1549182),4356168316,2761921430,1553.288,,,,391969601,1414370597,1743.8599999999997,315366566,1273622261,1114.3539999999998,446225044,1273962405,1762.2630000000001,5597259455,3214772977,263.15000000000003,127709115,1273866934,3997.6139999999996
289316757,-12.1476125,-76.986066,4,,,POINT (-76.98606599999999 -12.1476125),438672383,4335723707,235.60899999999998,,,,391969601,1414370597,285.565,437661896,1414370551,324.649,446225044,1273962405,1218.939,5597259459,442760159,1528.0369999999998,127709115,1273866934,2539.3189999999995
289317011,-12.1417145,-76.9916244,3,,,POINT (-76.99162440000001 -12.1417145),4362077172,1414370373,603.893,,,,391969601,1414370597,1728.883,437661896,1414370551,1259.2520000000002,446225044,1273962405,1725.4979999999996,5597269889,1753159009,1348.9349999999997,127709115,1273866934,2667.7189999999996
289317016,-12.1346856,-76.9968277,4,traffic_signals,,POINT (-76.9968277 -12.1346856),434900671,289317016,0.0,,,,185197319,434289265,1684.2169999999999,5321381705,440918198,706.2280000000001,436565620,440184620,498.225,5597277551,316757587,145.45,147185094,4298990494,1575.461
289317060,-12.1479012,-76.9860672,4,,,POINT (-76.98606719999999 -12.1479012),438672383,4335723707,259.07599999999996,,,,391969601,1414370597,241.998,437661896,1414370551,367.51800000000003,446225044,1273962405,1242.4060000000002,5597259459,442760159,1566.802,127709115,1273866934,2495.7519999999995
289317496,-12.1392049,-76.9937108,3,traffic_signals,,POINT (-76.9937108 -12.1392049),4334059265,3245299587,731.3610000000001,,,,391969601,1414370597,1553.79,5321381705,440918198,1066.42,544235966,440918198,1066.42,5597287361,440918208,158.487,147185094,4298990494,1953.9940000000004
289318410,-12.1311547,-76.9996785,3,,,POINT (-76.9996785 -12.1311547),434801439,316069045,821.1500000000001,,,,185197319,434289265,1833.6579999999997,5022333822,263626516,1176.0720000000001,434800848,4354621323,1012.4820000000002,149309364,440191853,1274.9270000000001,147185094,4298990494,1388.7040000000002
315561471,-12.0850316,-76.9819208,3,motorway_junction,1C,POINT (-76.9819208 -12.0850316),5836647683,1273906733,1429.649,,,,391969601,1414370597,9195.984,632669928,419483471,2965.621000000001,319715061,4353165250,2092.6470000000004,5597283921,1707072922,1394.563,158617358,419484715,1217.556
315561768,-12.0916763,-76.9807358,3,motorway_junction,3A,POINT (-76.98073580000001 -12.0916763),5836647683,1273906733,1926.3329999999996,,,,391969601,1414370597,9841.265,632669928,419483471,3610.902000000001,319715061,4353165250,2737.928,4031970875,393867114,2363.4049999999997,158617358,419484715,1862.837
315562090,-12.0843034,-76.9814911,3,motorway_junction,3D,POINT (-76.9814911 -12.0843034),5836647683,1273906733,1054.9489999999998,,,,391969601,1414370597,,632669928,419483471,,319715061,4353165250,,5597283921,1707072922,1019.8629999999998,158617358,419484715,
315562241,-12.0848505,-76.9815176,3,,,POINT (-76.9815176 -12.0848505),5836647683,1273906733,,,,,391969601,1414370597,,632669928,419483471,,319715061,4353165250,,5597283921,1707072922,,158617358,419484715,
315562242,-12.0845777,-76.9791152,3,motorway_junction,1A,POINT (-76.9791152 -12.0845777),5836647683,1273906733,1120.799,,,,391969601,1414370597,,632669928,419483471,,319715061,4353165250,,5597283921,1707072922,1085.713,158617358,419484715,
315562867,-12.0852682,-76.9821425,3,,,POINT (-76.98214249999999 -12.0852682),5836647683,1273906733,1185.2299999999998,,,,391969601,1414370597,,632669928,419483471,,319715061,4353165250,,5597283921,1707072922,1150.144,158617358,419484715,
315563734,-12.0836528,-76.9710405,3,,,POINT (-76.9710405 -12.0836528),4031854957,419484715,1760.247,,,,391969601,1414370597,8517.784,632669928,419483471,1843.8999999999999,319715061,4353165250,2114.6939999999995,5597283921,1707072922,6317.374999999999,158617358,419484715,1760.247
315563754,-12.0833441,-76.96957,3,,,POINT (-76.96957 -12.0833441),4031854957,419484715,4564.299,,,,391969601,1414370597,11251.028000000008,632669928,419483471,4577.144,319715061,4353165250,4918.745999999999,5597283921,1707072922,9050.619000000004,158617358,419484715,4564.299
315563777,-12.0836382,-76.9703272,3,,,POINT (-76.9703272 -12.0836382),4031854957,419484715,1682.131,,,,391969601,1414370597,8439.668,632669928,419483471,1765.7839999999999,319715061,4353165250,2036.5779999999995,5597283921,1707072922,6239.259,158617358,419484715,1682.131
315563781,-12.0834526,-76.9695907,3,,,POINT (-76.9695907 -12.0834526),4031854957,419484715,4576.572,,,,391969601,1414370597,11263.301000000007,632669928,419483471,4589.417,319715061,4353165250,4931.018999999999,5597283921,1707072922,9062.892000000003,158617358,419484715,4576.572
316069043,-12.1341879,-77.0036443,4,,,POINT (-77.0036443 -12.1341879),4343628127,440184181,812.549,,,,185197319,434289265,1496.698,358956284,1273485940,701.2219999999999,436460190,5476735786,453.171,5597276247,5418798676,563.825,147185094,4298990494,634.224
316069045,-12.1293489,-77.001113,3,,,POINT (-77.001113 -12.1293489),434801439,316069045,0.0,,,,185197319,434289265,2095.986,5022333822,263626516,354.922,434800848,4354621323,930.4200000000001,149309364,440191853,453.77700000000004,147185094,4298990494,1377.968
316069153,-12.1340882,-77.0038401,4,,,POINT (-77.00384010000001 -12.1340882),4343628127,440184181,836.549,,,,185197319,434289265,1518.7900000000002,358956284,1273485940,725.2219999999999,436460190,5476735786,429.171,5597276247,5418798676,587.825,147185094,4298990494,610.224
316069674,-12.129811,-76.9819077,4,traffic_signals,,POINT (-76.98190769999999 -12.129811),5175518123,316069674,0.0,,,,391969601,1414370597,2171.2709999999997,5630647431,440918147,1229.209,544235966,440918198,1639.573,5597278679,1273618980,591.2750000000001,127709115,1273866934,440.823
316069680,-12.1296991,-76.9818621,4,traffic_signals,,POINT (-76.9818621 -12.1296991),5175518123,316069674,13.394,,,,391969601,1414370597,2184.6649999999995,5630647431,440918147,1192.869,544235966,440918198,1603.233,5597278679,1273618980,604.6690000000001,127709115,1273866934,454.217
316069681,-12.1277761,-76.9872606,3,,,POINT (-76.9872606 -12.1277761),6503162256,316069682,43.361999999999995,,,,391969601,1414370597,2853.4429999999993,5630647431,440918147,567.754,544235966,440918198,978.118,5597292543,1757027023,416.663,127709115,1273866934,1169.5680000000002
