osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
289316390,-12.1704785,-76.9498878,3,,POINT (-76.9498878 -12.1704785),4586176904,4134456335,1688.543,408686631,1273464986,2915.815,437683615,1752784703,1717.8999999999999,450003157,4915732595,597.005,437802568,1273474513,653.1500000000001,5597238068,4860099539,1466.0819999999999,488970172,3759247715,8905.261999999999
289316711,-12.160686,-76.9567955,3,,POINT (-76.9567955 -12.160686),804486551,4860099537,4045.523,408686631,1273464986,4139.831,437683615,1752784703,2941.9159999999997,9921673,1715696593,4479.101000000001,437802568,1273474513,937.4939999999999,5597225856,1715696620,4078.1290000000004,488970172,3759247715,10129.277999999998
472559147,-12.1558364,-76.9607097,4,traffic_signals,POINT (-76.9607097 -12.1558364),4352901055,1273722471,559.009,408686631,1273464986,1012.499,437683615,1752784703,2896.7179999999994,437460197,1273664769,462.091,319748958,1273527959,1916.8049999999998,5597220782,1273848522,381.044,488970172,3759247715,11179.41799999999
472559149,-12.1568291,-76.9595431,4,,POINT (-76.9595431 -12.1568291),437625495,4739132419,587.229,408686631,1273464986,844.373,437683615,1752784703,2728.591999999999,437460197,1273664769,293.965,319748958,1273527959,1748.679,5597220799,1273987149,245.557,488970172,3759247715,11011.29199999999
472559157,-12.1600796,-76.955704,4,,POINT (-76.955704 -12.1600796),804486551,4860099537,99.434,408686631,1273464986,193.742,437683615,1752784703,1890.8719999999998,9921673,1715696593,533.012,437802568,1273474513,3196.4149999999995,5597225856,1715696620,132.04,488970172,3759247715,9973.176999999998
472559163,-12.1609212,-76.9549821,5,,POINT (-76.9549821 -12.1609212),7027416494,1273738963,254.65999999999997,408686631,1273464986,315.26,437683615,1752784703,1768.5929999999998,447901690,4282250436,536.993,437802568,1273474513,3074.135999999999,5597225857,4158570828,197.35999999999999,488970172,3759247715,9850.897999999997
472559165,-12.1614152,-76.9546648,4,,POINT (-76.9546648 -12.1614152),7027416494,1273738963,328.53900000000004,408686631,1273464986,389.13900000000007,437683615,1752784703,1703.7319999999997,438455733,1273970049,562.64,437802568,1273474513,3009.274999999999,5597225959,1273729876,256.613,488970172,3759247715,9786.036999999997
472559166,-12.1622351,-76.9540221,4,,POINT (-76.9540221 -12.1622351),7027416494,1273738963,447.762,408686631,1273464986,508.362,437683615,1752784703,1588.875,438455733,1273970049,451.55500000000006,437802568,1273474513,2894.418,5597225959,1273729876,145.52800000000002,488970172,3759247715,9671.179999999997
472559168,-12.1630382,-76.953332,4,,POINT (-76.953332 -12.1630382),7027404664,4444046868,405.76899999999995,408686631,1273464986,801.411,437683615,1752784703,1472.249,438455733,1273970049,418.03399999999993,437802568,1273474513,2777.792,5597225959,1273729876,455.04900000000004,488970172,3759247715,9554.553999999996
472559169,-12.1638404,-76.9526265,4,,POINT (-76.95262649999999 -12.1638404),7027404664,4444046868,288.135,408686631,1273464986,925.0400000000001,437683615,1752784703,1354.615,438455733,1273970049,300.4,437802568,1273474513,2660.158,370796979,1753050052,,488970172,3759247715,9436.919999999998
472559171,-12.1646354,-76.9519164,4,,POINT (-76.9519164 -12.1646354),7027404664,4444046868,170.779,408686631,1273464986,848.232,437683615,1752784703,1237.259,438455733,1273970049,183.04399999999998,437802568,1273474513,2542.802,370796979,1753050052,,488970172,3759247715,9319.563999999998
472559176,-12.1686675,-76.9484975,4,,POINT (-76.9484975 -12.1686675),4586176904,4134456335,475.12300000000005,408686631,1273464986,1411.5039999999997,437683615,1752784703,654.83,450003157,4915732595,842.0709999999999,319739123,4205007819,440.904,5597231435,3261988406,166.394,488970172,3759247715,8737.135000000002
