osmid,geometry,NN,NN_dist,bank_distance,bank_dist,casino_distance,casino_dist,courthouse_distance,courthouse_dist,hospital_distance,hospital_dist,marketplace_distance,marketplace_dist,police_distance,police_dist,school_distance,school_dist,university_distance,university_dist,distrito
182439939,POINT (-76.9769446 -12.2182515),182439939,0.0,,0.024117139731727348,,0.041385585892570666,,0.03025427477646752,,0.02914519578560599,,0.014644855951851268,,0.02640584761568832,,0.002642138921137658,0.0,0.002347148686278282,CHORRILLOS
258310049,POINT (-77.0257215 -12.1610552),4344532847,0.002271375039482166,,0.006665578849586675,,0.020299860566970647,,0.054779396887603714,,0.003554004945238637,,0.006770516703772325,,0.009104537641942521,0.0,0.00038176884367102805,,0.01842427930702872,CHORRILLOS
258310168,POINT (-77.0279769 -12.1657255),1813624347,0.0026290117268587252,95.648,0.0006776351309749263,,0.02667285521466844,,0.05944856716161918,,0.00575786554842006,,0.001970225453807624,361.481,0.0039449663659261855,95.648,0.0011549085375072141,,0.024763991511177558,CHORRILLOS
258310179,POINT (-77.033502 -12.1671764),347935970,0.005640732498536154,277.518,0.002427502655397266,,0.029556933680721282,,0.06088209448705013,,0.009001084168959091,358.643,0.002542394034691257,751.474,0.005124395971230157,194.72899999999998,0.0012843539894302394,,0.027626963340214524,CHORRILLOS
289311282,POINT (-76.97709930000001 -12.2179852),289311282,0.0,,0.023978335437221963,,0.04150246362080119,,0.030227844091341032,,0.02902358118601297,,0.014488857607301071,,0.026123952070838664,406.333,0.0028344155572942085,,0.002456635582787928,CHORRILLOS
289311410,POINT (-76.9750238 -12.2219338),266954463,0.0008055206018479825,,0.025969534316384702,,0.040425784996524806,,0.030917658496729013,,0.0295777367931704,,0.0167562312089826,,0.029567545242483707,,0.0026438739972226323,,0.0021504143886901363,CHORRILLOS
289311528,POINT (-76.9814113 -12.2152219),289311528,0.0,,0.024477975408518288,,0.045528728570448214,,0.03252499762737022,,0.02984023382899928,,0.014993430392842426,,0.02325025001333069,,0.006422204615083596,,0.00556414498530971,CHORRILLOS
289311770,POINT (-76.9789408 -12.2177654),289312567,0.00045267526992194416,,0.024794504130147745,,0.043599847195258695,,0.03175882234876208,,0.02998396982805425,,0.015275935261867544,,0.02545494136347884,,0.003447613190011368,,0.002627256545028478,CHORRILLOS
289311774,POINT (-76.9758647 -12.2213424),289311774,0.0,,0.026260380913075813,,0.04087538697668105,,0.031315985785063616,,0.030020534652349638,,0.017005047631478577,,0.029608406269446,0.0,0.002248266349596356,0.0,0.0018037218929152585,CHORRILLOS
289312127,POINT (-76.9787664 -12.2178426),289312567,0.0006368309822908497,,0.024794504130147745,,0.043599847195258695,,0.03175882234876208,,0.02998396982805425,,0.015275935261867544,,0.02545494136347884,,0.003447613190011368,,0.002627256545028478,CHORRILLOS
289312567,POINT (-76.9792781 -12.2174635),289312567,0.0,,0.024794504130147745,,0.043599847195258695,,0.03175882234876208,,0.02998396982805425,,0.015275935261867544,,0.02545494136347884,,0.003447613190011368,,0.002627256545028478,CHORRILLOS
289312609,POINT (-76.9779336 -12.217977),289311282,0.0008343402962759973,,0.023978335437221963,,0.04150246362080119,,0.030227844091341032,,0.02902358118601297,,0.014488857607301071,,0.026123952070838664,406.333,0.0028344155572942085,,0.002456635582787928,CHORRILLOS
304905060,POINT (-77.00766299999999 -12.1813985),306073869,0.0026283972169382887,151.563,0.0014495512857405721,,0.045246437865160284,,0.058105568088787765,,0.008936909586096909,151.563,0.0021659462427952142,,0.00171183367222835,,0.0025950595745540712,,0.012424537486009449,CHORRILLOS
