osmid,geometry,NN,NN_dist,bank_distance,bank_dist,casino_distance,casino_dist,courthouse_distance,courthouse_dist,hospital_distance,hospital_dist,marketplace_distance,marketplace_dist,police_distance,police_dist,school_distance,school_dist,university_distance,university_dist,distrito
31040287,POINT (-77.0612641 -12.0043119),31040287,0.0,370.532,0.00137764000013955,,0.008980032999938756,,0.006956352951829932,,0.013038433589492023,,0.0019035127836674187,,0.007181903048205087,,0.0015851108961690925,,0.003082497871860188,INDEPENDENCIA
31040302,POINT (-77.058111 -12.0037202),4439656976,0.00021177735950598183,0.0,0.0025012426711501657,,0.006706667904035464,,0.005347224502355662,,0.011230973825799288,,0.002024095055582045,,0.008255855377257452,98.89600000000002,0.0008312443984751305,0.0,0.0019811787400427945,INDEPENDENCIA
31040304,POINT (-77.06169079999999 -12.0041081),31040304,0.0,199.013,0.0011805398256740885,,0.008839567820316167,,0.00703721142335029,,0.01349058874751556,,0.0017668815652205829,,0.006846068963003139,,0.0011307014349455757,,0.0035551871849411444,INDEPENDENCIA
31040409,POINT (-77.058513 -11.9976071),6290549161,0.00017627348071461738,,0.0029572822878375323,261.123,0.002877624195415187,,0.0012934599674805328,,0.012849773682457549,,0.004233392613543445,,0.0039037898012363134,,0.002527162745055633,217.423,0.001993205579644532,INDEPENDENCIA
31040411,POINT (-77.057832 -12.0024254),3501081447,0.0005379321146772841,,0.0034227566609551585,,0.004926538502296452,335.14599999999996,0.003409383651432739,,0.012758355476962958,0.0,0.0004350245530677206,,0.006412688283478835,0.0,0.00078266552881877,,0.003905698975855096,INDEPENDENCIA
31040412,POINT (-77.0577203 -12.0032621),842510813,0.00017213976878630675,,0.003207037700114062,,0.006003517445455171,,0.004730000566205309,,0.011533149218740931,,0.0015270006736614113,,0.007559477195732338,0.0,0.0002275436221951012,,0.00266949659111638,INDEPENDENCIA
31040415,POINT (-77.0576867 -12.0037879),31040415,0.0,,0.002666386815516379,,0.006558596756932876,,0.005285650857652329,,0.011134567711286163,,0.0020167120852059013,,0.008121358368402009,71.85300000000001,0.0006368953760257358,,0.002107965353127382,INDEPENDENCIA
31041260,POINT (-77.0550446 -11.9977285),31041260,0.0,150.62599999999998,0.0010590768480159929,0.0,0.0002252531000287272,,0.0025082469052870857,,0.015807881663257355,,0.002201351090039421,,0.0015277794237120565,,0.0010951937545541255,,0.0025484278311757287,INDEPENDENCIA
31041263,POINT (-77.0553937 -11.9952383),1332057682,0.00043423753867835455,,0.0030601584926272106,,0.002275600988067863,,0.0036723216740386986,,0.014985072581307353,,0.002648459301172664,,0.0008085517218809238,282.724,0.0017223811663254428,0.0,0.0010941983712915526,INDEPENDENCIA
31041264,POINT (-77.05604409999999 -11.9941721),1332057682,0.0016831381761421515,,0.0030601584926272106,,0.002275600988067863,,0.0036723216740386986,,0.014985072581307353,,0.002648459301172664,,0.0008085517218809238,282.724,0.0017223811663254428,0.0,0.0010941983712915526,INDEPENDENCIA
31041390,POINT (-77.0575659 -11.9857104),31041390,0.0,,0.002452009906178235,,0.0049701348231251784,,0.003660262178188659,,0.008027925022690533,,0.004084023288986947,,0.005409617559659054,0.0,0.0015029463396976936,,0.0044814406936648605,INDEPENDENCIA
31041475,POINT (-77.0572087 -11.9890743),769214446,0.0001015524495025984,176.15699999999998,0.0012943929581065161,,0.0037547033296702072,,0.0023946422948477692,,0.01074581823781872,,0.005708948224054908,,0.006884705429734028,56.833000000000006,0.0004928998376867781,,0.002037205147060038,INDEPENDENCIA
31041481,POINT (-77.0580587 -11.9868434),5629084829,0.0008056358544708249,51.998,0.0009473516189900332,,0.004060566311496815,,0.0025186704641831435,,0.009361739144243942,,0.004562006425358433,1251.904,0.007051648725555504,188.44,0.0014606710957633215,,0.0030112029161436307,INDEPENDENCIA
273427148,POINT (-77.0611814 -11.9835799),273427148,0.0,589.797,0.0037729033813514922,,0.00571255619315869,,0.005508936970036014,,0.007382500889464228,,0.0020704918316681712,691.942,0.0039877924044706935,0.0,0.0005622266180087932,,0.005353272348452171,INDEPENDENCIA
273427149,POINT (-77.06249390000001 -11.9837911),273427148,0.0013293839513210633,589.797,0.0037729033813514922,,0.00571255619315869,,0.005508936970036014,,0.007382500889464228,,0.0020704918316681712,691.942,0.0039877924044706935,0.0,0.0005622266180087932,,0.005353272348452171,INDEPENDENCIA
273427242,POINT (-77.0598061 -11.9779814),844402496,0.00016060348688545258,,0.0036586975749608283,,0.011405660322839744,,0.01090007461363667,,0.002897906437976525,,0.00313403865962304,,0.002779080663435834,,0.002015041086429546,,0.006053088956463322,INDEPENDENCIA
273428328,POINT (-77.0587912 -11.9891732),3501099344,0.0007213126922468213,,0.0009478245460005052,,0.0028333372310936572,,0.0014348976568673735,,0.011167560236137195,,0.004979733874912531,,0.007774586642579689,,0.0005940649880356269,,0.001245403831325113,INDEPENDENCIA
273428359,POINT (-77.0572138 -11.9889355),273428359,0.0,,0.0011327603983212558,,0.0036907070452210726,,0.0022804319990239194,,0.010674655082905013,,0.005550719061976382,,0.007031713067128598,0.0,0.00034549422570719665,,0.0020050583876125615,INDEPENDENCIA
273428365,POINT (-77.05683860000001 -11.9887131),273428365,0.0,137.07299999999998,0.0013055240939908823,,0.004118087409462467,,0.0026551516726555217,,0.010323335372178132,,0.005730921624391987,,0.0067944850537633075,273.515,0.0007079152632797709,,0.0024411878293022393,INDEPENDENCIA
273948494,POINT (-77.06353660000001 -11.9939515),273948494,0.0,0.0,0.0006339861591548875,16.809,0.0006015781329132843,,0.006531634876029555,,0.0065578438487078105,,0.006607878923117554,,0.003671468377615279,,0.0009960290156348834,,0.0018045765590429933,INDEPENDENCIA
289365894,POINT (-77.0544857 -12.007425),4326163860,0.0001283263418007648,,0.004939573626324071,,0.009692995731587445,,0.009516722707379393,,0.006267221797751121,,0.0013688133922520635,,0.00809135404097487,103.18799999999999,0.0017043237251288257,,0.004454080018357984,INDEPENDENCIA
289365895,POINT (-77.06015379999999 -12.0081978),289365895,0.0,0.0,0.0004156520179124284,,0.011605555746050628,,0.010065227618108241,,0.009807613949283716,,0.002685087119322409,,0.011212991312796608,,0.003351573844652308,,0.0029638360565299505,INDEPENDENCIA
769214446,POINT (-77.0571084 -11.9890584),769214446,0.0,176.15699999999998,0.0012943929581065161,,0.0037547033296702072,,0.0023946422948477692,,0.01074581823781872,,0.005708948224054908,,0.006884705429734028,56.833000000000006,0.0004928998376867781,,0.002037205147060038,INDEPENDENCIA
817302963,POINT (-77.053524 -12.0080626),817302963,0.0,,0.0059932593611469204,,0.010284060668065809,,0.010321070566585776,,0.005430586725241573,,0.0012090816763176385,,0.007102569177944572,102.161,0.0012330788863659304,,0.005519885177250559,INDEPENDENCIA
817303007,POINT (-77.0548082 -12.0009212),817303007,0.0,,0.001929690755158459,,0.003055201473521572,,0.003561826699893072,,0.012645050351335112,,0.003419346308516077,,0.004676266796973928,0.0,0.0013811988886476485,,0.005623564004321698,INDEPENDENCIA
817305984,POINT (-77.05474580000001 -12.0033127),817305984,0.0,,0.0042453798730047645,,0.005447482864886582,,0.0055024027660081605,,0.010324757403712312,,0.003336596548477739,,0.007066162879837991,,0.0005606662554575537,,0.0044808885011723455,INDEPENDENCIA
817305986,POINT (-77.0546631 -12.0037863),817305986,0.0,1116.513,0.004725812126956465,,0.005923240245844958,,0.005958335792739508,,0.009847987359045688,646.603,0.002895238242987543,,0.00753937935905383,786.356,0.0005794822689266638,,0.004318745309693062,INDEPENDENCIA
817305988,POINT (-77.05429100000001 -12.0056742),817305988,0.0,,0.004876683037667403,,0.007828832618310915,,0.007822407594339812,,0.007938313520870642,432.80899999999997,0.0014515498335454732,,0.009434958576421364,572.5620000000001,0.001369587339309262,,0.004232677876939661,INDEPENDENCIA
825400182,POINT (-77.055424 -11.9977328),825400182,0.0,109.35799999999999,0.0009245964849607242,,0.0005732109071884976,,0.002149344299466868,,0.015508312051391002,,0.0025662052424388977,,0.0016654619413857222,,0.0014325902729038905,,0.002395057866924547,INDEPENDENCIA
