osmid,geometry,NN,NN_dist,bank_distance,bank_dist,casino_distance,casino_dist,courthouse_distance,courthouse_dist,hospital_distance,hospital_dist,marketplace_distance,marketplace_dist,police_distance,police_dist,school_distance,school_dist,university_distance,university_dist,distrito
31035109,POINT (-77.0431318 -12.0461328),31035142,5.125699952398688e-05,,0.0015848942993162381,,0.008694202793658753,,0.006222550417625532,,0.001898898328769032,,0.0023203669020234853,,0.006098307242691186,,0.001911275880140733,,0.002132394673096787,LIMA
31035110,POINT (-77.0431995 -12.0462855),31035142,0.00021704990209841528,,0.0015848942993162381,,0.008694202793658753,,0.006222550417625532,,0.001898898328769032,,0.0023203669020234853,,0.006098307242691186,,0.001911275880140733,,0.002132394673096787,LIMA
31035112,POINT (-77.0431711 -12.0465648),31035113,0.0001751622105355615,1222.7289999999998,0.0019936368902100593,893.313,0.008081642666140573,647.243,0.00586283712633124,1364.7769999999998,0.002462283175743094,,0.0029190501417421144,,0.006563764663201796,649.3009999999999,0.0019508910374516266,257.98799999999994,0.0017754691432939028,LIMA
31035113,POINT (-77.0429704 -12.046761),31035113,0.00011049692302878648,1222.7289999999998,0.0019936368902100593,893.313,0.008081642666140573,647.243,0.00586283712633124,1364.7769999999998,0.002462283175743094,,0.0029190501417421144,,0.006563764663201796,649.3009999999999,0.0019508910374516266,257.98799999999994,0.0017754691432939028,LIMA
31035116,POINT (-77.04251720000001 -12.0467498),31035116,9.756192905291612e-05,10637.419999999998,0.002462609114330129,9656.402999999998,0.008068320575354003,572.287,0.005341669167026604,10779.467999999997,0.002757829554935204,,0.0023552142030398744,,0.006208247604467296,,0.00207191650651985,183.03199999999998,0.0012452649850579068,LIMA
31035117,POINT (-77.0423388 -12.0465305),4336222044,0.00015688865478301244,10887.542,0.0024120674783204865,9906.525,0.008381497288214936,822.4090000000001,0.005419186839368351,11029.589999999998,0.002593843384077189,246.268,0.002109340389639394,648.486,0.005873699705973315,246.268,0.0019188030122955421,994.624,0.0013728046980653794,LIMA
31035121,POINT (-77.0426099 -12.0459673),31035121,1.0000000116860976e-07,11732.689999999999,0.0019746280080011197,10751.672999999999,0.008792659321725136,1667.557,0.0059054985234068364,11874.737999999998,0.0020915272537731355,,0.002292438676516722,589.265,0.005699660273082626,,0.002253313464653067,1839.7720000000002,0.0018779221326094113,LIMA
31035123,POINT (-77.0426892 -12.0457338),31035123,3.9396573448203446e-05,11709.173999999999,0.0018626758306169297,10728.157,0.008999162256938132,1644.0410000000004,0.006075828882548412,11851.221999999998,0.0019092773144558878,,0.002194747240569469,565.749,0.005567135781290027,,0.0023493283572138877,1816.2560000000005,0.0020732858725450013,LIMA
31035125,POINT (-77.0426684 -12.0437377),31035125,0.0,115.3,0.0009479202761835037,10495.534,0.01102312652804326,1411.418,0.007541239660024044,11618.598999999998,0.0015468306614656502,,0.00112158630965866,333.126,0.004162657120643067,,0.003108356268829046,1583.633,0.0039026237073546415,LIMA
31035127,POINT (-77.04246550000001 -12.0432428),31035127,1.2356779511158176e-05,50.315000000000005,0.00048657548232690633,10430.548999999997,0.011525945348529822,1346.433,0.007830617268127546,11553.613999999996,0.001987118686832352,,0.0014603290108829905,268.141,0.0037238172934427366,11177.175999999998,0.0027939636952123946,1518.648,0.00433574614751105,LIMA
