osmid,geometry,NN,NN_dist,bank_distance,bank_dist,casino_distance,casino_dist,courthouse_distance,courthouse_dist,hospital_distance,hospital_dist,marketplace_distance,marketplace_dist,police_distance,police_dist,school_distance,school_dist,university_distance,university_dist,distrito
181285629,POINT (-76.9974203 -11.9565144),3398706022,0.000269726324257139,,0.007345835738011949,,0.013558407417539166,,0.013323892644978656,0.0,0.0013079005710560788,0.0,0.004795838843396814,0.0,0.0008329820916460317,,0.0029371235871830967,,0.010514534483973187,SAN_JUAN_DE_LURIGANCHO
181285633,POINT (-76.99674159999999 -11.9564277),3398706022,0.0009539397517698564,,0.007345835738011949,,0.013558407417539166,,0.013323892644978656,0.0,0.0013079005710560788,0.0,0.004795838843396814,0.0,0.0008329820916460317,,0.0029371235871830967,,0.010514534483973187,SAN_JUAN_DE_LURIGANCHO
181285635,POINT (-76.9984248 -11.9578311),1755018130,0.0013667152483232336,,0.007803855573362606,,0.013323846940727586,,0.013325244070343979,,0.0014963521349918953,,0.004644296264890565,,0.0009416961956987754,,0.002634924833836095,,0.010985145879312621,SAN_JUAN_DE_LURIGANCHO
181285636,POINT (-76.9971908 -11.9583441),3398706022,0.0018642260404783653,,0.007345835738011949,,0.013558407417539166,,0.013323892644978656,0.0,0.0013079005710560788,0.0,0.004795838843396814,0.0,0.0008329820916460317,,0.0029371235871830967,,0.010514534483973187,SAN_JUAN_DE_LURIGANCHO
181285637,POINT (-76.9970878 -11.9564715),3398706022,0.0006049800409870433,,0.007345835738011949,,0.013558407417539166,,0.013323892644978656,0.0,0.0013079005710560788,0.0,0.004795838843396814,0.0,0.0008329820916460317,,0.0029371235871830967,,0.010514534483973187,SAN_JUAN_DE_LURIGANCHO
181285638,POINT (-76.99682900000001 -11.9585125),3398706022,0.0021446442618726982,,0.007345835738011949,,0.013558407417539166,,0.013323892644978656,0.0,0.0013079005710560788,0.0,0.004795838843396814,0.0,0.0008329820916460317,,0.0029371235871830967,,0.010514534483973187,SAN_JUAN_DE_LURIGANCHO
273413079,POINT (-76.99991079999999 -12.0275338),273413079,0.0,124.969,0.002193094783634427,,0.021221954870715026,,0.0236904835452978,553.885,0.004938115912448545,398.678,0.0025229639209276805,396.627,0.0011368694208207073,14.056,0.0013115392026137474,949.887,0.007595778635696286,SAN_JUAN_DE_LURIGANCHO
273413150,POINT (-77.00115460000001 -12.027825),273413150,0.0,384.31999999999994,0.002558580178539086,,0.02119771948232905,,0.023272254977327145,692.9749999999999,0.005138800968385403,537.7679999999999,0.0035067667805968607,,0.0009060072318398324,,0.0015947334103179642,1088.9769999999999,0.007774051642644835,SAN_JUAN_DE_LURIGANCHO
492820352,POINT (-77.0120043 -12.0252328),6030015803,0.00011372128208916049,,0.004752486650172315,,0.019113303406188185,,0.017438393335683363,,0.011293233840664977,,0.0018901938512485906,,0.0037223917919409866,10.037,0.0016038757308473935,,0.011865678124017514,SAN_JUAN_DE_LURIGANCHO
492820358,POINT (-77.0124852 -12.0232941),492820358,0.0,,0.006244122600500008,,0.01750613398554673,,0.015468506423697797,,0.011613620996480457,,0.0037016497741700328,,0.004212515604348015,43.782,0.0012597961184300005,,0.011725414756535478,SAN_JUAN_DE_LURIGANCHO
