osmid,geometry,NN,NN_dist,bank_distance,bank_dist,casino_distance,casino_dist,courthouse_distance,courthouse_dist,hospital_distance,hospital_dist,marketplace_distance,marketplace_dist,police_distance,police_dist,school_distance,school_dist,university_distance,university_dist,distrito
197681818,POINT (-77.0758455 -12.0905283),197681818,0.0,351.98199999999997,0.0028946866704407602,581.316,0.003495392946438024,,0.035686058397223594,,0.006006961969336448,351.98199999999997,0.002726112195503217,578.483,0.003792146699255461,0.0,0.0029567649136368183,1584.2379999999998,0.009528274112549138,SAN_MIGUEL
197681820,POINT (-77.07657930000001 -12.0925731),197681820,0.0,586.779,0.0041539605583198426,816.1129999999999,0.004949908307237318,,0.035115998550667465,,0.006987151377244311,586.779,0.003806044739950157,813.28,0.005834671813513798,463.942,0.0019073149294202587,,0.009331157872954516,SAN_MIGUEL
197681822,POINT (-77.0769367 -12.0935368),197681822,0.0,700.766,0.004980300678682174,930.1,0.0058024333947112134,,0.03490087923534798,,0.007616477679508142,700.766,0.004601170537210985,927.267,0.0068315342954956325,120.73500000000001,0.001929753883270704,,0.009068421319058984,SAN_MIGUEL
197681823,POINT (-77.0773215 -12.0944951),197681823,0.0,815.2429999999999,0.005887311416938322,1044.577,0.0067206371848193705,,0.03474131088847838,,0.008309695260382199,815.2429999999999,0.005491613455299242,1041.744,0.007846236013039602,235.21200000000002,0.0024157783755997184,,0.008944165493205241,SAN_MIGUEL
257943466,POINT (-77.0852434 -12.0907689),257943466,0.0,,0.009780443332487265,2425.1589999999997,0.01243606421879326,,0.04347192361536127,,0.006066997997555911,1074.804,0.006970938658912248,,0.0029204851571552827,434.126,0.001693459905037999,,0.016573417047306156,SAN_MIGUEL
257943470,POINT (-77.0874602 -12.0898009),607235626,0.001423747625108425,,0.008386120671678434,,0.010667720550694629,,0.04600944033391258,,0.006481273101335762,,0.004298305416681079,41.045,0.001406735927517882,41.045,0.0004990526906689805,,0.01379795903494288,SAN_MIGUEL
257943471,POINT (-77.0878354 -12.0897273),607235614,0.0015136757545821404,,0.008443751695185523,,0.01064691487541587,,0.046383549956527874,,0.006776073581438011,,0.00392655355827287,0.0,0.0013224988513340552,0.0,0.0001949597664193376,,0.0134952557946143,SAN_MIGUEL
257943482,POINT (-77.0935035 -12.0869617),607233018,0.0013497866498053135,146.649,0.007745453885344093,,0.008355349862571224,,0.05261961189604632,,0.012361685837713814,,0.002470229878487361,,0.006282926609897161,,0.0011527039689372574,,0.009294344731662295,SAN_MIGUEL
257943483,POINT (-77.09539460000001 -12.0860982),7792325685,0.0017645385118976716,,0.008289711814648966,,0.008404678336084982,,0.056385951951259776,,0.0164201194828627,,0.002420843880960607,,0.010014993397596452,,0.003174888761832903,,0.009373298304424543,SAN_MIGUEL
257943488,POINT (-77.0994245 -12.0763946),608319992,0.0005109148069906798,,0.003793340160198196,,0.0054675674544659185,,0.05457680707487625,,0.011668770125327708,,0.005389511457746059,,0.00962692818648238,0.0,0.0008138303570122332,,0.006249816619291103,SAN_MIGUEL
257946384,POINT (-77.0842682 -12.0897611),257946384,0.0,,0.008556454902587015,2259.803,0.0113050633006696,,0.043128223562069766,,0.004674067664247198,909.448,0.007176364093580009,,0.003612880330665929,268.77,0.000914311877855772,2776.262,0.016218923907639037,SAN_MIGUEL
257946389,POINT (-77.08859030000001 -12.0877139),257946393,0.0013146056519018911,1324.636,0.0074673807188320295,2058.664,0.009389066426694664,,0.04802079406892504,,0.007431882045456925,228.603,0.002478937329766489,,0.0029727580648771924,401.55,0.0010410968494835929,,0.011507643039571977,SAN_MIGUEL
257946393,POINT (-77.0880272 -12.086526),257946393,0.0,1324.636,0.0074673807188320295,2058.664,0.009389066426694664,,0.04802079406892504,,0.007431882045456925,228.603,0.002478937329766489,,0.0029727580648771924,401.55,0.0010410968494835929,,0.011507643039571977,SAN_MIGUEL
257946397,POINT (-77.09592739999999 -12.0829187),257946397,0.0,,0.00574256378283703,,0.005882607668039851,,0.05664671903031565,,0.015823434659917084,,0.0007012030767322243,,0.010399277762663046,,0.0013558614125363,,0.0068305461919846155,SAN_MIGUEL
257946400,POINT (-77.097742 -12.0752241),257946401,0.0005255932743103193,235.576,0.002469380461165085,,0.004310341370080782,,0.05272086689877487,,0.009891855858584998,,0.004029547886293361,,0.007604113243585724,149.151,0.0011454908205671569,,0.004807664147375668,SAN_MIGUEL
257946401,POINT (-77.0982145 -12.0749939),257946401,0.0,235.576,0.002469380461165085,,0.004310341370080782,,0.05272086689877487,,0.009891855858584998,,0.004029547886293361,,0.007604113243585724,149.151,0.0011454908205671569,,0.004807664147375668,SAN_MIGUEL
301455186,POINT (-77.082075 -12.0780973),301455186,0.0,28.512999999999998,0.0009723674716889636,,0.0005715020177466201,,0.047632179721278735,,0.008817842950150994,,0.009936165708338458,,0.010664433433667712,,0.0030929847217942025,,0.0049795637800916035,SAN_MIGUEL
301455189,POINT (-77.09035830000001 -12.0779303),607236164,0.001565100089450512,31.344,0.0010808216226579474,,0.0030592665565455602,,0.05156622355200455,,0.012104542250751284,,0.005878656786106731,,0.009224466401564331,18.883,0.0010116742037415492,,0.0050663624906012545,SAN_MIGUEL
301455974,POINT (-77.097088 -12.0625195),301455974,0.0,6.806,0.0006620917232527107,,0.0040931835887046,,0.04162923506543759,269.83799999999997,0.004157228583680057,,0.01429642438634746,,0.008310147641210363,6.806,0.0020027279819118033,1154.0970000000002,0.01354082000879008,SAN_MIGUEL
301457497,POINT (-77.1025775 -12.0729014),608442019,0.00012065836067409807,,0.003961077218318628,,0.008480244138890902,,0.05338597227842522,,0.010868961615430984,,0.008871365348601211,,0.010381369772522596,0.0,0.001380404105999385,,0.009635825634626841,SAN_MIGUEL
309580914,POINT (-77.1100232 -12.077438),309580914,0.0,,0.01232969438035575,,0.015508702818618056,,0.06133665435156365,,0.011149772144554426,,0.014451014527801391,,0.01889498880951049,0.0,0.0006688775427286098,,0.016408310195678233,SAN_MIGUEL
309580951,POINT (-77.102937 -12.0798365),608319852,0.0010640770319767824,,0.008353127479950043,,0.008045755885534644,,0.059152373531237035,,0.01625183028304273,,0.005932559834521488,,0.01401481470122821,0.0,0.0005582965385801446,,0.009135757238613963,SAN_MIGUEL
309580953,POINT (-77.1076047 -12.0772998),309580953,0.0,,0.01008699968563817,,0.013088818128889172,,0.05976652598197936,,0.01291228119290428,,0.012304194577192371,,0.016657633650442958,52.879,0.00028561087164606365,,0.0139858670376468,SAN_MIGUEL
309581255,POINT (-77.109525 -12.0794971),474872809,0.00153734482794424,,0.011488111431543895,,0.014232371091352296,,0.06114241558662381,,0.01261839621427082,,0.012957348670564792,,0.018055006580994067,165.08,0.0012128207823738565,,0.015168410148374474,SAN_MIGUEL
309581430,POINT (-77.0857508 -12.0816311),317338176,0.0007512187431166003,,0.002622781580680709,1068.9299999999998,0.0037025683192736564,,0.048324883347811716,,0.006775681204871585,973.7909999999999,0.007062224620002095,,0.008297265493070534,134.926,0.0008010059987291898,,0.009060181239908092,SAN_MIGUEL
309581432,POINT (-77.08618389999999 -12.0826194),309581432,0.0,,0.003974178063443112,,0.005115320491137423,,0.04870184292529073,,0.007009766897235552,,0.00557207246947725,,0.007079292663006839,,0.0011051746151556569,,0.009659619695815351,SAN_MIGUEL
309581436,POINT (-77.08741120000001 -12.0852468),309581436,0.0,923.086,0.006252580632026394,1657.1140000000003,0.007977542716122834,,0.04819189343915177,,0.0069970169917757214,620.4309999999999,0.0032041067212837315,,0.0042727029473324345,0.0,0.0005502932400115278,,0.010754642681335705,SAN_MIGUEL
309581490,POINT (-77.084861 -12.0907139),309581490,0.0,,0.009622922226644149,2386.3419999999996,0.012322465254948465,,0.043164656876898376,,0.005742711434791815,1035.987,0.007227872873026358,,0.003247783312278793,395.30899999999997,0.0013090984875087153,,0.016723625561438058,SAN_MIGUEL
316802214,POINT (-77.08132999999999 -12.0787986),316802453,0.0004937244980791764,,0.0016856525294388055,,0.0005681310723978838,,0.04734415463443895,,0.008183760954226273,,0.009830267043552872,,0.011189867402629346,0.0,0.002612797137170303,,0.005647723960145034,SAN_MIGUEL
316802235,POINT (-77.0777313 -12.0684224),316802235,0.0,,0.001520548535890451,,0.009936612156190641,,0.0396973188758516,,0.001993216161112278,,0.003751466599880618,0.0,0.00012779396484039087,,0.0035995451726491814,0.0,0.001006209565647047,SAN_MIGUEL
316802240,POINT (-77.0788793 -12.0612188),316802240,0.0,,0.002825263276231645,,0.01697860406305549,,0.032789877079174384,,0.006370633047196428,,0.006375545222952152,,0.006443367392872194,442.265,0.0019846255188313614,360.841,0.0036227325377384905,SAN_MIGUEL
316802428,POINT (-77.07910440000001 -12.0611001),316802428,0.0,,0.002581545738504399,,0.017079211182310983,,0.03271996789453932,,0.006152421867204281,,0.006559264929091849,,0.006647016350791154,173.79899999999998,0.0021337791942943273,,0.0033745540771999674,SAN_MIGUEL
316802429,POINT (-77.0788464 -12.062133),316802429,0.0,,0.0035392725933434148,,0.016070958204787558,,0.033679317837199976,,0.00717911981691803,,0.006433095971621329,,0.006275462411419814,55.548,0.0010723035577685518,,0.0040406421729715855,SAN_MIGUEL
316802435,POINT (-77.0780396 -12.0701703),4332507087,0.0002802349906738908,0.0,0.0017495798038315946,,0.008392904570083713,,0.04124626904394625,0.0,0.0013849234069996741,,0.0047327238774363825,172.732,0.0016484678341782712,,0.00345571792442626,0.0,0.0010987181849814746,SAN_MIGUEL
