osmid,street_count,highway,geometry,NN,NN_dist
135447648,3,,POINT (-77.09756779999999 -12.0535254),135447648,0.0
135447658,3,,POINT (-77.0979182 -12.0537097),135447658,0.0
135447689,3,,POINT (-77.09846279999999 -12.0536708),135447689,0.0
135449856,3,,POINT (-77.0980304 -12.053746),135449856,0.0
301456975,4,,POINT (-77.1323009 -12.0595297),301456975,0.0
301456976,4,,POINT (-77.1280533 -12.0590959),301456976,0.0
301457301,3,,POINT (-77.122542 -12.0630612),301457301,0.0
301457355,3,,POINT (-77.1196601 -12.0647885),301457355,0.0
301457366,3,,POINT (-77.1188164 -12.0651403),301457366,0.0
301457367,3,,POINT (-77.1192022 -12.0648027),301457367,0.0
301457530,3,,POINT (-77.09802879999999 -12.0626715),4332869889,0.00022711030358705907
301457549,3,,POINT (-77.10800589999999 -12.0632991),1175765827,0.000590118649089354
306533682,4,traffic_signals,POINT (-77.1318339 -12.0607323),306533682,0.0
306533701,4,,POINT (-77.1318723 -12.0605405),4341426500,0.00011779749572605082
306533704,3,,POINT (-77.1325665 -12.0606033),306533704,0.0
306533713,3,,POINT (-77.1326787 -12.0607531),306533713,0.0
306533716,4,,POINT (-77.1325253 -12.0609321),306533716,0.0
306533809,4,,POINT (-77.132546 -12.062643),306533809,0.0
306533811,3,,POINT (-77.1277635 -12.0642006),628088060,0.0009034132664525965
306534209,3,,POINT (-77.1320997 -12.0650674),1172961253,0.001362607430634354
306756849,3,,POINT (-77.13229939999999 -12.0605653),306756849,0.0
306763146,4,,POINT (-77.12167289999999 -12.0582229),306763146,0.0
306763147,4,,POINT (-77.12159 -12.0583326),2838560243,5.7828107353247415e-05
306763148,4,,POINT (-77.1214403 -12.0585327),4042114130,5.6667539218032595e-05
309373005,5,,POINT (-77.1303788 -12.0604094),309373005,0.0
309373193,3,,POINT (-77.13377079999999 -12.0610955),309373193,0.0
309373398,5,,POINT (-77.1325192 -12.061579),309373398,0.0
309580966,3,,POINT (-77.13155980000001 -12.0676164),629048456,0.0004941130740962009
309580982,4,,POINT (-77.1299726 -12.0648129),309580982,0.0
309580992,4,,POINT (-77.13097980000001 -12.067517),629028909,0.0001001663616198415
309581021,3,,POINT (-77.12131189999999 -12.0589848),4042114130,0.00046574596079801834
309581024,3,,POINT (-77.1212884 -12.0605297),6294714178,0.0005594911348713433
309581046,3,,POINT (-77.1077756 -12.0555255),309580870,8.910089786521784e-05
309581071,3,,POINT (-77.1076468 -12.0561939),309580870,0.0007682264835334069
309581080,4,,POINT (-77.1089197 -12.0620141),309581145,0.00015948532848621
309581145,4,,POINT (-77.10876279999999 -12.0619855),309581145,0.0
317337068,3,,POINT (-77.1074914 -12.0561529),309581128,0.0007607038911435884
317337076,3,,POINT (-77.10611040000001 -12.0553452),309580851,0.00033895576407699
317337077,3,,POINT (-77.105941 -12.0554748),317337392,0.00022499122205856776
317337091,4,,POINT (-77.1060358 -12.0551478),309580851,0.00012940637542241032
317337148,3,,POINT (-77.10520169999999 -12.0586812),5728906444,0.00019202588366878666
317337284,4,,POINT (-77.1046163 -12.0631474),317337284,0.0
317337285,4,,POINT (-77.1047816 -12.0614772),317337285,0.0
317337286,3,,POINT (-77.10506549999999 -12.0586812),5728906444,0.00012214131160104662
317337289,4,,POINT (-77.10573050000001 -12.0552801),317337289,0.0
317337392,3,traffic_signals,POINT (-77.10571659999999 -12.0554585),317337392,0.0
317337413,3,,POINT (-77.10554449999999 -12.0552129),317337289,0.00019776713580579587
317337429,3,,POINT (-77.0979454 -12.055488),1403155304,0.00044722488750071655
317337431,4,,POINT (-77.097635 -12.0558538),1403155304,7.363871264654052e-05
317337432,4,,POINT (-77.105495 -12.056694),317337432,0.0
317337457,3,,POINT (-77.10271590000001 -12.0605641),317337285,0.0022585101505091802
347928025,3,,POINT (-77.11865450000001 -12.0645718),347928025,0.0
347929887,3,,POINT (-77.11625410000001 -12.0574562),306327614,0.0014522676233981035
347929893,3,,POINT (-77.1149436 -12.0576723),4337472728,0.0003895388299040106
347929897,4,,POINT (-77.1148817 -12.058777),4337472728,0.0009271652495638867
347930093,3,,POINT (-77.1208742 -12.0640581),347930093,0.0
347930108,3,,POINT (-77.1177052 -12.0595526),306327614,0.0020558000875579804
347930383,4,,POINT (-77.1270925 -12.0596966),347930383,0.0
409486220,3,,POINT (-77.098033 -12.0596219),1273921739,0.0007803983085632749
409486222,3,,POINT (-77.09826990000001 -12.0571121),4331501993,0.0008640645404217705
409490887,3,,POINT (-77.0983695 -12.0613954),4332869889,0.0013656407909838633
437641539,3,,POINT (-77.1320855 -12.0677152),437641539,1.4132232663063968e-05
437641542,3,,POINT (-77.1319498 -12.0646598),1172961253,0.0015652941768281089
437641543,3,,POINT (-77.1274837 -12.066211),4347791470,0.0026936700261903017
437641544,3,,POINT (-77.13093689999999 -12.0646228),309580982,0.0009828593490349704
442357897,1,,POINT (-77.10066070000001 -12.0575617),4331501993,0.0031176502449863255
