osmid,highway,street_count,geometry,NN,NN_dist
107774936,traffic_signals,3,POINT (-77.04167700000001 -12.0597063),107774936,0.0
107774938,,3,POINT (-77.0417996 -12.0597496),107774938,0.0
107774940,,3,POINT (-77.0420531 -12.0600028),107774940,0.0
263401823,,4,POINT (-77.04885609999999 -12.0692561),263401823,0.0
263402345,traffic_signals,4,POINT (-77.04805709999999 -12.0682516),263402345,0.0
309998790,,3,POINT (-77.0419916 -12.0605674),1943098867,0.00010461037233834183
310953965,,4,POINT (-77.0526548 -12.0493126),310953965,0.0
310953968,,3,POINT (-77.049171 -12.0499449),310953992,8.563299597913574e-05
316803572,,3,POINT (-77.05434959999999 -12.0664576),817654860,0.0012971666431108417
316803573,,3,POINT (-77.0605127 -12.0673016),316803573,0.0
316803597,,3,POINT (-77.05407289999999 -12.0666381),1355562709,0.0012685160030439842
316803599,,4,POINT (-77.0540046 -12.0665056),1355562709,0.0011266084546044264
316803674,,3,POINT (-77.0582149 -12.0580672),1356144905,9.408772502848089e-05
316803681,traffic_signals,4,POINT (-77.0553455 -12.0525725),316803681,0.0
525863374,,3,POINT (-77.042419 -12.051938),912507969,0.00028140007106917524
525863467,,4,POINT (-77.0461986 -12.0516857),2860030626,0.0013793175305213039
525863645,,3,POINT (-77.0498213 -12.0568799),819210897,0.0009854244263193172
528023636,traffic_signals,4,POINT (-77.0474001 -12.0671615),1943098982,7.368045874070228e-05
593974674,,3,POINT (-77.0446262 -12.0564318),909271525,0.0013750427520615996
593974675,,4,POINT (-77.0445548 -12.0573833),909271525,0.0016793892818538175
593974676,,4,POINT (-77.04449200000001 -12.0583481),593974677,0.0009629475011647665
593974677,,4,POINT (-77.044443 -12.0593098),593974677,0.0
593974678,,4,POINT (-77.0445088 -12.0593876),593974678,0.0
593974679,,4,POINT (-77.04726220000001 -12.0626373),593974679,0.0
593974680,,3,POINT (-77.0480597 -12.0616268),593974680,0.0
593974681,,4,POINT (-77.0458802 -12.0589738),593974681,0.0
593974682,,4,POINT (-77.045838 -12.0588915),593974681,9.248853982936394e-05
593974683,,4,POINT (-77.0494245 -12.0578071),915282358,0.00011342847966915334
593974684,,4,POINT (-77.048328 -12.0577135),4325994663,0.0005440230601730507
593974685,,4,POINT (-77.04719660000001 -12.0576255),593974685,0.0
593974686,,4,POINT (-77.0459537 -12.0575138),593974685,0.0012479091713824668
593974687,,3,POINT (-77.0419638 -12.0571709),2053915199,0.0004285908188458848
593974688,,3,POINT (-77.0458392 -12.058497),593974681,0.00047855954697496715
593974689,,5,POINT (-77.041883 -12.0580741),2974838488,7.181148932383368e-05
593974691,,3,POINT (-77.04841740000001 -12.0567595),593974693,0.0011539288452925252
593974692,,4,POINT (-77.04828999999999 -12.0581491),4325994663,0.00010679798687278952
593974693,,3,POINT (-77.04726770000001 -12.0566608),593974693,0.0
593974694,,4,POINT (-77.04714540000001 -12.0584921),593974694,0.0
593974695,,3,POINT (-77.0460334 -12.0565594),593974693,0.0012384580937673652
690200576,,3,POINT (-77.0568506 -12.0555891),690200576,0.0
791159858,traffic_signals,4,POINT (-77.0472513 -12.0672722),1943098982,0.0001117809465008421
799341153,,3,POINT (-77.0592592 -12.0671359),316803573,0.001264404500154391
817654731,,4,POINT (-77.051237 -12.067333),817654731,0.0
817654752,,3,POINT (-77.0483942 -12.0619871),817654752,0.0
817654760,,3,POINT (-77.0480606 -12.0619529),817654760,0.0
817654788,,3,POINT (-77.0484357 -12.0616666),817654752,0.00032317564883350345
817654835,,4,POINT (-77.05222449999999 -12.0665345),817654835,0.0
817654852,,3,POINT (-77.0536578 -12.065348),817654860,8.621937137583707e-05
817654860,,4,POINT (-77.05359249999999 -12.0654043),817654860,0.0
817654861,,4,POINT (-77.0500182 -12.0683115),817654861,0.0
817654869,,4,POINT (-77.04901150000001 -12.0691298),817654869,0.0
817654903,,4,POINT (-77.0471988 -12.0585787),817654903,0.0
817654927,,3,POINT (-77.0541942 -12.066331),817654860,0.001104905326262562
817655012,,3,POINT (-77.04981600000001 -12.0701019),817655015,0.00020227688944599362
817655015,,3,POINT (-77.04966229999999 -12.0702334),817655015,0.0
