osmid,street_count,highway,geometry,NN,NN_dist
599281346,3,,POINT (-77.0306082 -11.9009865),4334542286,0.0004676457847562262
599281347,3,,POINT (-77.03104709999999 -11.8993151),599281347,0.0
599281456,3,,POINT (-77.0450998 -11.8913363),4336045832,0.00022223361581997987
599281489,4,,POINT (-77.03359 -11.8894073),599281489,0.0
599281493,4,,POINT (-77.0367463 -11.8943414),599281493,0.0
599281523,4,,POINT (-77.03681690000001 -11.8944509),599281523,0.0
599281736,3,,POINT (-77.036619 -11.895716),599284494,0.0009768154380429056
599281737,4,traffic_signals,POINT (-77.03613009999999 -11.8950292),599284494,0.00013380003736399607
599282313,3,,POINT (-77.0302671 -11.8991094),599282313,0.0
599283088,3,,POINT (-77.03157539999999 -11.8985789),4336217880,9.477763449703093e-05
599283678,3,,POINT (-77.0303115 -11.898818),599282313,0.0002947631591624275
599284494,4,traffic_signals,POINT (-77.0360548 -11.8949186),599284494,0.0
599284497,3,,POINT (-77.03576649999999 -11.8943117),599284494,0.0006718961973445409
599284503,3,,POINT (-77.03342360000001 -11.8895693),599284503,0.0
599284508,4,,POINT (-77.03282609999999 -11.8897327),599284503,0.0006194399163876494
599284520,3,,POINT (-77.0293097 -11.8930867),1755079179,0.0035298222688923864
599285488,3,,POINT (-77.03011100000001 -11.898498),599282313,0.0006310128128650512
599285497,4,,POINT (-77.0236939 -11.8874958),1814004786,0.00012722786644253227
599285509,4,traffic_signals,POINT (-77.0214572 -11.8808145),599285509,0.0
599285514,4,,POINT (-77.0181386 -11.8782634),599285514,0.0
599285516,4,,POINT (-77.0161617 -11.8746347),599285516,0.0
599286836,3,,POINT (-77.01353159999999 -11.8698719),1814819409,0.0011667541514867982
599286838,3,,POINT (-77.0153167 -11.8728979),1814195032,0.0006623559918985669
599286839,4,,POINT (-77.0162775 -11.8745742),599285516,0.00013065178912187838
599286845,4,traffic_signals,POINT (-77.02153250000001 -11.8807172),599286845,0.0
599286867,4,,POINT (-77.0283094 -11.8924467),1755079179,0.0023961625862996367
599286869,3,,POINT (-77.0287943 -11.8934426),1755079179,0.003491648481732808
838231794,4,,POINT (-77.034836 -11.9012169),4334474649,0.0001387891926603821
838231798,3,,POINT (-77.0327194 -11.9044168),5842925728,0.0015980927695327855
838231800,3,,POINT (-77.03245250000001 -11.9047226),5842925728,0.001218423674272429
838231802,4,,POINT (-77.0314042 -11.905363),838231802,0.0
838231804,4,,POINT (-77.0319137 -11.9049538),5842925728,0.0006326749007293741
838231808,4,,POINT (-77.03353370000001 -11.9029281),4334474648,0.0022818938998070393
838231809,4,,POINT (-77.0347146 -11.9011392),4334474648,0.0001383715649951308
838231811,3,,POINT (-77.0325203 -11.9012288),4334542286,0.0020522661230947836
838231821,3,,POINT (-77.032955 -11.9040863),5842925728,0.0019767360698960223
838231832,4,,POINT (-77.03366010000001 -11.9030085),4334474649,0.0022818177337318303
838231833,4,,POINT (-77.0328234 -11.9024764),4335668584,0.0023820524637303583
838231836,3,,POINT (-77.0316748 -11.9017465),4335668584,0.0012350752082354647
838231838,3,,POINT (-77.0312424 -11.9016046),4334542286,0.0007823277126584456
838231840,3,,POINT (-77.0308045 -11.9016077),4334542286,0.0003685452618073932
838231841,3,,POINT (-77.0339532 -11.9056901),4334489627,0.0017203962247164656
838231844,3,,POINT (-77.0330359 -11.9070847),4334514193,0.001737525234345989
838231845,3,,POINT (-77.0336047 -11.9054654),4334489627,0.0021306951377484656
838231851,3,,POINT (-77.0332538 -11.9052392),838231802,0.0018537385468289126
838231854,3,,POINT (-77.0325644 -11.9062565),838231802,0.0014643791483091497
838231855,3,,POINT (-77.0328971 -11.9050093),838231802,0.001534227525501635
838231858,3,,POINT (-77.0323503 -11.9058132),838231802,0.0010477524755470302
838231859,4,,POINT (-77.0318123 -11.8986698),838231900,0.00012163700094360247
838231897,3,,POINT (-77.0320621 -11.899152),1814997387,0.00042908239302020927
838231900,4,,POINT (-77.03171930000001 -11.8987482),838231900,0.0
838231912,4,,POINT (-77.0379677 -11.8988051),842837815,0.0007745393598763812
842822911,3,,POINT (-77.0370454 -11.8994446),842837815,0.001896841880598393
842822913,3,,POINT (-77.03544050000001 -11.8984119),5686497156,0.0022724233496428776
842822915,3,,POINT (-77.0347598 -11.8979732),5686497158,0.0014985811155888693
842822916,3,,POINT (-77.0344262 -11.8977168),5686497158,0.0010961468879647459
842827149,3,,POINT (-77.0348697 -11.8984443),5686497158,0.0019480747675581927
842827689,3,,POINT (-77.0351373 -11.8982145),5686497156,0.0019262518630729579
842830345,3,,POINT (-77.0384536 -11.8985243),842837815,0.00021885093099861374
842830352,3,,POINT (-77.0371513 -11.9000437),842837815,0.002219462173582652
842830361,3,,POINT (-77.0347431 -11.9036973),838231826,0.0023104757778444037
842831446,3,,POINT (-77.0370041 -11.8971783),842837815,0.001997403359356398
842831476,3,,POINT (-77.0325024 -11.8987838),1814997387,0.0007191753680351032
842833068,3,,POINT (-77.0366999 -11.9007349),4334474649,0.0018247814362355073
842833069,3,,POINT (-77.0341189 -11.899089),4334474648,0.0020480511956489436
842833599,3,,POINT (-77.03623640000001 -11.9014447),4334474649,0.001368102364604417
842833602,3,,POINT (-77.0346385 -11.9004108),4334474648,0.0006315391515963613
842834015,3,,POINT (-77.03599370000001 -11.9002845),4334474649,0.0013550465711649406
842834016,3,,POINT (-77.03552790000001 -11.9009863),4334474649,0.0006262744206928626
842835104,4,,POINT (-77.03676179999999 -11.8968015),599284494,0.002011258663123133
842835108,3,,POINT (-77.0349167 -11.8995977),4334474648,0.0014315469988795946
842835711,3,,POINT (-77.036918 -11.900401),4334474649,0.002124404304746095
842835717,3,,POINT (-77.0344544 -11.8988009),5686497158,0.00210111842836087
842836782,3,,POINT (-77.0353702 -11.8989059),4334474648,0.0021956277462271863
842837074,3,,POINT (-77.03576 -11.9006368),4334474649,0.0009665162440458674
