osmid,street_count,ref,highway,geometry,NN,NN_dist
181923671,3,,,POINT (-76.9918526 -12.0319524),181923671,0.0
273411491,3,,,POINT (-77.0070097 -12.032972),1367679672,0.0003313711665193762
273411492,3,5B,motorway_junction,POINT (-77.00509030000001 -12.0319524),1367679647,0.0007832091738407554
273411702,3,3A,motorway_junction,POINT (-76.9892249 -12.0353198),273413363,0.00036885423950121026
273412517,3,,,POINT (-76.9933466 -12.0305075),3063638280,0.00041432289340470894
273412947,4,,,POINT (-76.9979874 -12.0348737),273412947,0.0
273412958,3,,,POINT (-76.9893253 -12.0365007),273413363,0.0015445060828617884
273413061,4,,,POINT (-76.9985832 -12.0327583),1367679665,0.00015440012953741615
273413062,4,,,POINT (-76.99751000000001 -12.034801),273412947,0.0004829037688757612
273413111,3,,,POINT (-76.9974466 -12.0374597),273413111,0.0
273413230,3,,,POINT (-76.9878027 -12.0321244),5650016217,0.0002924633481307697
273413231,3,,,POINT (-76.9886429 -12.032327),3977332107,0.00036479303721151455
273413237,3,,,POINT (-76.98965269999999 -12.0336868),273413238,0.00034146358517454426
273413238,3,,,POINT (-76.989544 -12.0340105),273413238,0.0
273413317,3,,,POINT (-76.98659429999999 -12.035734),273413363,0.002618895058997528
273413338,3,,,POINT (-76.9865029 -12.0356138),273413363,0.0026751555188403876
273413359,3,,,POINT (-76.9871199 -12.0330112),5650016217,0.0014012850709292017
273413361,3,,,POINT (-76.9878052 -12.0334698),5650016217,0.001622553697108967
273413362,3,,,POINT (-76.98813010000001 -12.0338262),273413238,0.0014258610380987985
273413363,3,,,POINT (-76.9891001 -12.0349727),273413363,0.0
273413389,3,,crossing,POINT (-76.98591279999999 -12.0348764),273413363,0.0031887544559041124
273413435,1,,,POINT (-76.9854567 -12.034678),273413363,0.0036552991190887544
273413466,3,,,POINT (-76.9887033 -12.0361446),273413363,0.0012372549656403094
273413467,3,,,POINT (-76.987576 -12.0347842),273413363,0.0015357125577374034
273413494,3,,,POINT (-76.9875183 -12.0368859),273413363,0.002482423307976555
273413496,3,,,POINT (-76.9885778 -12.0360408),273413363,0.0011889637925517073
273413559,3,,,POINT (-76.98958500000001 -12.0332204),273413238,0.000791163074216144
273413590,3,,,POINT (-76.9877336 -12.0371875),5937055833,0.002482795283546237
316629758,3,,,POINT (-77.0091582 -12.0499113),316629758,0.0
316629759,4,,,POINT (-77.00822890000001 -12.0487704),316629759,0.0
316629778,3,,,POINT (-77.00863940000001 -12.048862),316629759,0.0004205957798179584
316629780,4,,,POINT (-77.0094338 -12.0497354),1369163212,0.00027279754397998527
331609324,3,4A,motorway_junction,POINT (-76.9964579 -12.0290151),5393490697,0.001560320534368392
331609329,3,,,POINT (-77.0052974 -12.031862),1367679647,0.0007246625835479563
471050874,3,,,POINT (-76.9874078 -12.0395995),5937055833,5.0446208977131353e-05
471051767,3,,,POINT (-76.9870703 -12.0396363),5937055839,4.8922898523676405e-05
471051771,4,,,POINT (-76.9898127 -12.0396674),471051771,0.0
662164651,4,,,POINT (-77.00324259999999 -12.0519545),662164651,0.0
662164662,4,,,POINT (-77.0033145 -12.0519204),662164662,0.0
1273449926,3,,,POINT (-76.99402499999999 -12.0376005),1273747193,0.0026947754359154335
1273452051,3,,,POINT (-76.99178550000001 -12.0341238),5393490704,0.0009364954938485366
1273452626,1,,,POINT (-76.9880667 -12.0320458),5650016217,0.00025389810948705084
1273453497,3,,,POINT (-76.9932467 -12.0274245),821565173,0.0009778006801009688
1273456209,3,,,POINT (-76.99454830000001 -12.0332632),5393490704,0.0026671425252578697
1273456499,3,,,POINT (-76.9974078 -12.0388501),1273456499,0.0
1273459238,4,,,POINT (-76.9983174 -12.0605574),316628657,0.0033342398009141997
1273466428,3,,,POINT (-76.9939328 -12.0274571),821565173,0.0008599329857584653
1273480298,3,,,POINT (-76.99006869999999 -12.0361829),273413363,0.0015500870943223192
1273484825,3,,,POINT (-76.9938518 -12.0343732),5393490704,0.0022965719888593376
1273486504,3,,,POINT (-77.00580770000001 -12.0549999),1368673356,0.0012208913178551437
1273489086,3,,,POINT (-76.99924900000001 -12.028935),1273523149,0.0006631876129700187
1273492309,3,,,POINT (-76.993394 -12.0280091),821565173,0.0014536601597374358
1273506158,3,,,POINT (-76.9870542 -12.0422402),1273506158,0.0
1273511216,3,,,POINT (-77.0050184 -12.0589476),1368673369,0.0019774629832160617
1273523149,4,,,POINT (-76.999746 -12.0284959),1273523149,0.0
1273534763,3,,,POINT (-76.9815286 -12.0261837),1938227922,0.0010888657814444528
1273546356,3,,,POINT (-76.9871936 -12.0451643),1273954245,0.002412554496791885
1273570353,3,,,POINT (-76.9937879 -12.0315071),3063638280,0.001157046347390956
1273575247,3,,,POINT (-76.9965304 -12.0384449),1273456499,0.0009664459633173773
1273584408,3,,,POINT (-76.9874604 -12.0417041),1273506158,0.0006726080954018207
1273591093,3,,,POINT (-76.9923945 -12.037025),1273969287,0.00286223273861536
1273592254,3,,,POINT (-76.98476460000001 -12.0445504),1746828647,0.0006653446775932402
1273598593,3,,,POINT (-76.98839340000001 -12.0401887),1486993211,0.00011457547730098885
1273603561,3,,,POINT (-77.00207829999999 -12.0490016),1368766762,0.0007748494111755808
1273605572,3,,,POINT (-76.986592 -12.0343759),273413363,0.0025781264224239288
1273606238,3,,,POINT (-76.989088 -12.0441384),1273506158,0.0027819967073968535
1273607370,3,,,POINT (-76.994951 -12.0274873),821565353,0.001298789567247188
1273612272,4,,,POINT (-76.98711160000001 -12.0338445),5650016217,0.002146122375353902
1273622819,3,,,POINT (-76.9856825 -12.0457919),1746828647,0.002193242658708768
1273628297,3,,,POINT (-76.99488839999999 -12.0353425),4557933183,0.0029099938488019723
1273632566,3,,,POINT (-76.98993969999999 -12.0399628),2174808927,0.00018810688450578405
1273632957,3,,,POINT (-76.9960957 -12.0357712),4557933183,0.0016503217443955298
1273641662,3,,,POINT (-76.9984151 -12.0415362),9501896715,0.0014268757829592968
1273643773,3,,,POINT (-76.9993473 -12.0284003),1273523149,0.00041000128049082225
1273651895,3,,,POINT (-76.98779930000001 -12.0433032),1273954245,0.0012801025349583924
