osmid,highway,street_count,ref,geometry,NN,NN_dist
182472502,traffic_signals,4,,POINT (-76.96364749999999 -12.0756833),182472502,0.0
182472504,,3,,POINT (-76.9650434 -12.0783248),182472504,0.0
315563774,,3,,POINT (-76.9703451 -12.0830157),315563774,0.0
315563775,,4,,POINT (-76.9704507 -12.0831956),315563775,0.0
315563783,,3,,POINT (-76.9698392 -12.0829151),315563783,0.0
315563784,,3,,POINT (-76.9699371 -12.0828859),315563784,0.0
392155832,,3,,POINT (-76.96373730000001 -12.0771323),1024451911,0.0008217671507177246
392155859,traffic_signals,4,,POINT (-76.96462459999999 -12.0775593),392155859,0.0
392156320,,4,,POINT (-76.95447830000001 -12.0918733),411672279,0.0013122541407812373
392156323,,3,,POINT (-76.95446250000001 -12.0919887),411672279,0.0013211010899995058
392156325,,4,,POINT (-76.95313299999999 -12.0917688),392156325,0.0
393867573,,4,,POINT (-76.97073450000001 -12.0801863),315563784,0.0028149044246695985
393867577,,3,,POINT (-76.97107560000001 -12.0778903),2887449500,0.004563068056686081
393867584,,3,,POINT (-76.9724805 -12.0744473),471061771,0.0019257573393357168
393867586,,4,,POINT (-76.9736162 -12.0730912),471061771,0.0001632801580200382
393867967,,4,,POINT (-76.9735666 -12.0729745),471061778,0.00016438555289476105
393867968,traffic_signals,4,,POINT (-76.9730567 -12.073562),471061771,0.0008935682178816728
393867970,,4,,POINT (-76.9718587 -12.0750029),1707756142,0.0026523389300737725
393867973,,3,,POINT (-76.97140760000001 -12.0757398),1707756142,0.003246951348562694
393867976,,4,,POINT (-76.9709412 -12.0778665),2887449500,0.004681824658187787
393867980,,3,,POINT (-76.9706032 -12.0801802),315563784,0.002786485546349393
393867981,,3,,POINT (-76.9705814 -12.0808283),315563784,0.0021561169379252874
393867984,,3,,POINT (-76.970417 -12.0818593),315563784,0.0011332305899526278
411672096,,4,,POINT (-76.95807619999999 -12.0757402),411672095,0.00027552097923777124
411672103,,3,,POINT (-76.9564833 -12.0742299),4354354748,0.0004639582955400858
411672111,,3,,POINT (-76.95544289999999 -12.0736098),411672111,0.0
411672131,,3,,POINT (-76.95051429999999 -12.0735029),9490435743,0.004740334260377706
411672133,traffic_signals,3,,POINT (-76.94877030000001 -12.0732011),2105879834,0.0063139300479160936
411672134,,3,,POINT (-76.94863479999999 -12.0731789),2105879834,0.0063631777737238205
411672135,,3,,POINT (-76.9478561 -12.0730576),1727346836,0.006466456962663357
411672138,,3,,POINT (-76.9449939 -12.0727235),411672173,0.003687714767984858
411672140,,3,,POINT (-76.9415357 -12.0728243),411672141,0.0004943524350094151
411672141,,3,,POINT (-76.9410414 -12.0728171),411672141,0.0
411672142,,3,,POINT (-76.9408352 -12.0728141),411672142,0.0
411672152,,3,,POINT (-76.9552304 -12.07354),3738262358,0.00017502128441709082
411672155,,3,,POINT (-76.95431670000001 -12.0735353),9490435743,0.0009955644127829296
411672157,,3,,POINT (-76.952584 -12.073539),9490435743,0.0026792565685325818
411672161,,4,,POINT (-76.950529 -12.073377),9490435743,0.004738356124230266
411672162,,3,,POINT (-76.9496578 -12.0732288),9490435743,0.005620965511378134
411672163,traffic_signals,4,,POINT (-76.9487884 -12.0730866),2105879834,0.006422903811361697
411672164,traffic_signals,4,,POINT (-76.9486589 -12.0730614),2105879834,0.006473035408523594
411672165,,3,,POINT (-76.9478613 -12.0729264),471055692,0.006451460821400358
411672168,,3,,POINT (-76.9440141 -12.0726298),411672173,0.0027034456532415534
411672169,,3,,POINT (-76.942837 -12.0726669),411672173,0.0015419961932498607
411672173,,3,,POINT (-76.9413225 -12.072377),411672173,0.0
411672179,,3,,POINT (-76.95509319999999 -12.0750724),5468322688,0.00025961544638596805
411672180,,3,,POINT (-76.9547316 -12.0758469),5468322688,0.0011143696559048383
411672182,,4,,POINT (-76.95411350000001 -12.0770434),411672182,0.0
411672192,,3,,POINT (-76.9540733 -12.0768697),411672192,0.0
411672219,,3,,POINT (-76.94125390000001 -12.0722263),411672219,0.0
411672223,,3,,POINT (-76.9406273 -12.0722348),411672142,0.0006154761571311278
411672233,,4,,POINT (-76.9395481 -12.0737847),411672233,0.0
411672248,,4,,POINT (-76.9544053 -12.0787291),411672433,0.00012824683232605545
411672269,,4,,POINT (-76.9573236 -12.085923),411672273,0.0017556922993532495
411672273,,3,,POINT (-76.95615479999999 -12.0872331),411672273,0.0
411672274,,4,,POINT (-76.9547827 -12.088521),411672274,0.0
411672278,,3,,POINT (-76.95372639999999 -12.0905126),411672278,0.0
411672279,,4,,POINT (-76.95318450000001 -12.091654),411672279,0.0
411672285,,3,,POINT (-76.9528026 -12.0936479),430552991,0.000687397388705804
411672289,,3,,POINT (-76.9524079 -12.0950825),411672289,0.0
411672290,,3,,POINT (-76.95236629999999 -12.095182),411672290,0.0
411672291,,3,,POINT (-76.9520575 -12.0959042),4365119189,0.00046214015189774394
411672293,,4,,POINT (-76.9517634 -12.0965095),3407175353,0.00011487319096063988
411672295,,4,,POINT (-76.9511548 -12.0979245),4365118888,0.0001324584840565801
411672296,,3,,POINT (-76.95095259999999 -12.0983732),4365118888,0.0005102828431380256
411672297,,3,,POINT (-76.95052870000001 -12.0993202),411672375,0.00013208853092548442
411672298,,4,,POINT (-76.9504809 -12.0994269),411672374,0.00012370485034714985
411672299,,3,,POINT (-76.9502708 -12.0998985),411672374,0.0005296831128151396
411672301,,4,,POINT (-76.9495221 -12.1015498),411672372,0.00012026923961605437
411672302,,4,,POINT (-76.9493291 -12.1020165),411672370,0.00011997670607850888
411672306,,3,,POINT (-76.9483407 -12.1036419),411672364,0.0003485573984354689
411672307,,4,,POINT (-76.9481407 -12.1038938),411672364,0.00012740192306156313
411672308,,4,,POINT (-76.9480698 -12.1039951),411672363,0.00012533235814738376
411672310,,3,,POINT (-76.947288 -12.1053716),4365101467,0.001347228770477002
411672311,,3,,POINT (-76.9468368 -12.1061665),4365101467,0.0022588039600651153
411672316,,3,,POINT (-76.94525609999999 -12.1076392),5718485030,0.0004967950583428653
411672320,,3,,POINT (-76.9438281 -12.1087449),4365101456,0.00013796974306045528
411672322,,3,,POINT (-76.94328729999999 -12.1094834),411672347,0.0003512328145260225
411672323,,3,,POINT (-76.9428734 -12.1103101),4365093218,0.0005815367658191763
411672324,,4,,POINT (-76.94247230000001 -12.1111554),429551518,0.0012983749728042657
411672325,,3,,POINT (-76.9422745 -12.111615),429551518,0.0008086649800704422
411672326,,3,,POINT (-76.94192990000001 -12.1125085),429551518,0.0003030406573393359
411672327,,3,,POINT (-76.94173379999999 -12.1129661),411672338,0.00025290334121443964
411672328,,4,,POINT (-76.9416415 -12.1131925),411672338,0.00013419064796163483
411672331,,4,,POINT (-76.94055590000001 -12.1146702),411672335,0.00013053405686032634
411672332,,5,,POINT (-76.9394562 -12.1159501),411672332,0.0
411672333,,3,,POINT (-76.9393649 -12.1158708),411672332,0.00012093047588933451
411672334,,4,,POINT (-76.9394676 -12.11575),411672332,0.00020042447455261453
411672335,,4,,POINT (-76.9404554 -12.1145869),411672335,0.0
411672337,,3,,POINT (-76.941293 -12.1135397),411672337,0.0
411672338,,4,,POINT (-76.9415307 -12.1131168),411672338,0.0
411672343,,3,,POINT (-76.9423358 -12.1110954),429551518,0.00128387757204139
411672344,,3,,POINT (-76.9424679 -12.1108251),4365093218,0.0012047038474249923
411672345,,3,,POINT (-76.94282509999999 -12.1100661),4365093218,0.0003660376483385751
411672347,,3,,POINT (-76.94335049999999 -12.1091379),411672347,0.0
411672353,,3,,POINT (-76.9451747 -12.1075301),5718485030,0.00046943372268675566
411672358,,3,,POINT (-76.9467246 -12.10611),4365101467,0.0022614429464414584
