osmid,street_count,highway,geometry,NN,NN_dist
306533880,3,,POINT (-77.15818849999999 -12.0673843),306533658,0.00025814284804195415
306533894,1,,POINT (-77.1655714 -12.073128),632179474,0.0009332370545655909
306533909,1,,POINT (-77.16616879999999 -12.0709985),632179474,0.00203414612306945
306533910,3,,POINT (-77.1633691 -12.0743222),306533936,0.0013781635352874636
306533915,1,,POINT (-77.16541599999999 -12.070603),632179390,0.001877510173071252
306533936,4,,POINT (-77.1642519 -12.0732639),306533936,0.0
306533941,1,,POINT (-77.1621177 -12.0690345),632177909,0.001038040485720365
306533954,1,,POINT (-77.164602 -12.0702071),632178969,0.0016752382994700446
306533955,3,,POINT (-77.1620843 -12.073283),632178979,0.001371424259659613
306533962,3,crossing,POINT (-77.1607092 -12.0721733),632178139,0.0013709008753398032
306533979,3,,POINT (-77.1636579 -12.0739818),306533936,0.0009317813101745514
306534005,3,crossing,POINT (-77.1587581 -12.0676567),306534005,0.0
306534010,3,,POINT (-77.1581618 -12.0683607),632136931,0.00031097604409749234
632136931,3,,POINT (-77.1579211 -12.0681638),632136931,0.0
632155676,4,crossing,POINT (-77.1594501 -12.0682114),632155676,0.0
632155694,4,,POINT (-77.15885059999999 -12.0689121),632155694,0.0
632157921,4,crossing,POINT (-77.16010540000001 -12.068738),632157921,0.0
632157941,4,crossing,POINT (-77.159507 -12.0694428),632157941,0.0
632158954,4,crossing,POINT (-77.1607887 -12.0692875),632158954,0.0
632158964,4,crossing,POINT (-77.16020039999999 -12.070002),632158964,0.0
632167236,1,,POINT (-77.1596614 -12.0679451),632155676,0.00033994614279539746
632167239,1,,POINT (-77.1604158 -12.0683723),632157921,0.00047967139793110965
632167243,1,,POINT (-77.1612341 -12.0687402),632158954,0.0007056333679769241
632167246,1,,POINT (-77.1629798 -12.0694153),632178130,0.001274194431792809
632177034,1,,POINT (-77.1585158 -12.0692777),632155694,0.0004957362201753367
632177037,1,,POINT (-77.1590645 -12.0699722),632157941,0.0006899787025743983
632177908,4,,POINT (-77.1603198 -12.0712737),632177919,0.0009165616727750372
632177909,4,crossing,POINT (-77.1614699 -12.0698456),632177909,0.0
632177919,4,crossing,POINT (-77.1608871 -12.0705538),632177919,0.0
632178130,4,crossing,POINT (-77.1621737 -12.0704021),632178130,0.0
632178139,4,crossing,POINT (-77.16158280000001 -12.0711168),632178139,0.0
632178232,4,crossing,POINT (-77.1609984 -12.0718236),632178139,0.0009171093718903213
632178963,4,,POINT (-77.16236929999999 -12.0729346),632178979,0.0009213047812743616
632178969,4,,POINT (-77.16354 -12.0715027),632178969,0.0
632178979,4,crossing,POINT (-77.16295239999999 -12.0722213),632178979,0.0
632179384,4,,POINT (-77.1630511 -12.0734872),632179398,0.0009235685410361405
632179390,4,,POINT (-77.1642363 -12.0720636),632179390,0.0
632179398,4,crossing,POINT (-77.163642 -12.0727774),632179398,0.0
632179474,4,,POINT (-77.1648446 -12.0725426),632179474,0.0
2728252148,3,crossing,POINT (-77.162752 -12.0697028),632178130,0.0009074422185473404
2728252149,4,crossing,POINT (-77.1616647 -12.0723625),3042136183,0.0009136716313835958
2728252150,4,crossing,POINT (-77.1634193 -12.0702333),3042136180,0.0009186357058121803
3021463053,1,turning_circle,POINT (-77.16658030000001 -12.0728792),632179474,0.0017680367784749678
3021475228,3,crossing,POINT (-77.16276430000001 -12.0738317),632179398,0.0013718257104972603
3042136180,4,,POINT (-77.16282630000001 -12.0709349),3042136180,0.0
3042136181,4,crossing,POINT (-77.16482240000001 -12.0713596),632179390,0.0009160399609235611
3042136182,4,,POINT (-77.1654401 -12.071852),632179474,0.0009118928719997744
3042136183,4,crossing,POINT (-77.1622443 -12.0716562),3042136183,0.0
3042136184,4,,POINT (-77.1641249 -12.0707874),632178969,0.000923992478328357
3962362761,3,,POINT (-77.1613759 -12.0727106),3042136183,0.0013659714199078278
3962362764,1,,POINT (-77.1637619 -12.0698101),3042136180,0.0014630524255754755
