osmid,street_count,ref,highway,geometry,NN,NN_dist
108154281,3,,,POINT (-77.0350861 -12.0599213),108154281,0.0
108154712,3,,,POINT (-77.03460800000001 -12.0595462),108154712,0.0
108161118,4,,,POINT (-77.03499100000001 -12.0608459),108161118,0.0
257946454,4,,,POINT (-77.0276061 -12.076227),257946454,0.0
263106951,3,7,motorway_junction,POINT (-77.02273820000001 -12.0905292),263105814,0.0032339702936151895
263360959,3,,,POINT (-77.0264758 -12.0760471),263360959,0.0
316624781,3,,,POINT (-77.01028239999999 -12.077586),316624781,0.0
316624796,3,,,POINT (-77.0104948 -12.0768144),316624796,0.0
316624803,3,,,POINT (-77.0107659 -12.0781154),316624803,0.0
316625006,3,,,POINT (-77.0100192 -12.0792485),316625006,0.0
316625017,3,,,POINT (-77.0043907 -12.0834413),316625017,0.0
316626840,3,,,POINT (-77.0302939 -12.0729267),316626840,0.0
316628698,4,,,POINT (-76.99991110000001 -12.0635273),316628698,0.0
316628701,3,,,POINT (-76.9967256 -12.0678327),316628701,0.0
316629267,3,,,POINT (-77.0224147 -12.0784213),316629267,0.0
316629275,3,,,POINT (-77.0213332 -12.0771257),316629275,0.0
316629276,3,,,POINT (-77.0213751 -12.077021),316629275,0.00011277278040320206
316629278,3,,,POINT (-77.0217328 -12.0766099),316629278,0.0
316629281,3,,,POINT (-77.0227527 -12.0765338),316629281,0.0
316629287,3,,,POINT (-77.0232869 -12.0776966),316629287,0.0
316629288,3,,,POINT (-77.02319919999999 -12.0779007),316629288,0.0
316629414,3,,,POINT (-77.02083519999999 -12.0786844),411941649,0.0009898160031083616
316629416,3,,,POINT (-77.0205807 -12.0783094),412189107,0.0009386265125160653
316629417,3,,,POINT (-77.0204768 -12.0780761),412189107,0.0009200850449803205
316629418,3,,,POINT (-77.0203928 -12.0777586),412189107,0.0009472005278702894
316629422,3,,,POINT (-77.02078059999999 -12.0762678),5874072761,0.0006011469371062258
316629427,3,,,POINT (-77.02171060000001 -12.0756346),4172468621,0.0009097653818418116
316629435,3,,,POINT (-77.0241049 -12.0767528),316629287,0.0012489525371255036
316629436,3,,,POINT (-77.02422009999999 -12.0772367),316629287,0.001040370246586972
316629438,4,,,POINT (-77.0241405 -12.0780291),316629287,0.0009160727099958709
316629439,4,,,POINT (-77.02405690000001 -12.0782358),316629288,0.0009208372820533262
316629519,4,,,POINT (-77.0255829 -12.075719),316629519,0.0
316629520,5,,traffic_signals,POINT (-77.0246461 -12.0753751),316629520,0.0
316629521,4,,,POINT (-77.0232558 -12.0748539),316629521,0.0
316629522,4,,,POINT (-77.02254240000001 -12.0746183),316629522,0.0
316629524,3,,,POINT (-77.02127470000001 -12.0743665),316629524,0.0
316629527,4,,,POINT (-77.01634319999999 -12.0734295),316629527,0.0
316629528,3,,,POINT (-77.0140178 -12.0728124),4411745640,0.00016033455647475081
316629529,4,,,POINT (-77.01159 -12.0721102),4053998977,0.00010232717136866496
316629530,4,,,POINT (-77.01134709999999 -12.0719278),316629530,0.0
316629535,4,,,POINT (-77.0024208 -12.0629341),316629535,0.0
316629580,5,,,POINT (-77.0025318 -12.0628884),316629580,0.0
316629581,3,,,POINT (-77.0042342 -12.0653693),1752455996,0.0006907436934164145
316629584,4,,,POINT (-77.0113652 -12.0717706),316629584,0.0
316629587,4,,,POINT (-77.0212992 -12.0741954),316629587,0.0
316629607,3,,,POINT (-77.0274682 -12.0761778),257946454,0.0001464139679113682
316634995,3,,,POINT (-77.0169882 -12.089903),392153085,0.0025821316349065333
316635148,3,,,POINT (-77.0161536 -12.0878347),392153270,0.0016157410714529661
316635154,3,,,POINT (-77.01123149999999 -12.0781995),316635154,0.0
316635156,3,,,POINT (-77.01082289999999 -12.0780946),316635156,0.0
316635222,3,,,POINT (-77.0109702 -12.0774725),316635222,0.0
316635554,3,,,POINT (-77.0162765 -12.0877452),392153681,0.0016706132107716153
316635555,3,,,POINT (-77.0169887 -12.0886875),392153270,0.0024402522902326807
316635792,3,,,POINT (-77.0091752 -12.0756724),316635792,0.0
316635794,3,,,POINT (-77.00955740000001 -12.0760168),316635792,0.0005144785709850872
316635801,3,,,POINT (-77.0107953 -12.0761695),316635801,0.0
316635807,3,,,POINT (-77.01090790000001 -12.07721),316635807,0.0
392152399,4,,,POINT (-77.0041411 -12.0699718),4356139160,0.00013308230536288775
392152402,4,,,POINT (-77.0061017 -12.0680299),392152402,0.0
392152405,4,,,POINT (-77.00620790000001 -12.0681306),392152405,0.0
392153085,3,,,POINT (-77.0144609 -12.0893737),392153085,0.0
392153270,3,,,POINT (-77.0145897 -12.0882407),392153270,0.0
392153272,3,,,POINT (-77.01508750000001 -12.0864782),392153681,0.0003418983767084424
392153275,3,,,POINT (-77.0147297 -12.088645),392153270,0.0004278533510446843
392153681,4,,,POINT (-77.015394 -12.0863267),392153681,0.0
392153682,5,,,POINT (-77.0153136 -12.0861512),411852350,0.00019162570286333558
392153683,3,,,POINT (-77.0151439 -12.0858134),411852351,0.0003716779923592567
392153861,3,,,POINT (-77.0141716 -12.0895305),392153861,0.0
392154179,4,,,POINT (-77.00815679999999 -12.0845417),392154179,0.0
392154184,3,,,POINT (-77.0081263 -12.0830935),392154184,0.0
392154185,4,,,POINT (-77.008043 -12.0829418),392154185,0.0
392154191,4,,,POINT (-77.0055247 -12.0813332),392154191,0.0
392154192,4,,,POINT (-77.0054193 -12.081432),392154192,0.0
392154334,2,,,POINT (-77.02186159999999 -12.0905263),316625303,0.0033974222654781314
408629729,4,,,POINT (-77.02547060000001 -12.0785474),316629287,0.0023435883448282976
408629733,4,,,POINT (-77.02677629999999 -12.0790561),263116953,0.0019567567784550895
408629740,3,,,POINT (-77.0274823 -12.0793311),263116953,0.0012006516938738636
408629750,4,,,POINT (-77.0266948 -12.0792664),263116953,0.0019580267439458852
408629755,3,,,POINT (-77.0260959 -12.0812624),408630066,0.0010409302089963714
408629760,3,,,POINT (-77.0262032 -12.0804126),408630066,0.0018450755783958818
408629765,3,,,POINT (-77.0263973 -12.0799596),263116934,0.0021449286281879512
408629773,3,,,POINT (-77.0269741 -12.0785614),263116931,0.0017499434733734746
408629782,3,,,POINT (-77.0270517 -12.0783671),263116931,0.0017064923234552812
408629788,4,,,POINT (-77.0272882 -12.0777753),1658531423,0.0014377607624367747
408629812,3,,,POINT (-77.0273995 -12.0795417),263116953,0.0012041401787185836
408629820,4,,,POINT (-77.0253922 -12.0787575),316629288,0.0023544331037476315
408629865,3,,,POINT (-77.0277528 -12.0786489),263116931,0.0009663428480645406
408629889,4,,,POINT (-77.0260218 -12.0771802),263360959,0.0012206685094675162
408629898,4,,,POINT (-77.0259228 -12.0774282),263360959,0.0014876982926639547
408629906,4,,,POINT (-77.0257553 -12.0778477),263360959,0.001939402126944592
408629913,4,,,POINT (-77.0251122 -12.0794878),316629288,0.0024856498969097
408629921,3,,,POINT (-77.0247998 -12.0802413),408629961,0.0019810848795542503
408629946,4,,,POINT (-77.02419690000001 -12.080764),408629961,0.0012487198244699334
408629951,4,,,POINT (-77.02317840000001 -12.080958),408629961,0.00021199540090237955
408629961,3,,,POINT (-77.0229715 -12.0810042),408629961,0.0
408630017,4,,,POINT (-77.0192902 -12.0811377),411934904,0.000121516500940994
408630042,3,,,POINT (-77.02098119999999 -12.0811818),408630164,0.0015779656333364807
408630052,4,,,POINT (-77.0230992 -12.0815968),408630052,0.0
408630056,4,,,POINT (-77.0233269 -12.0816414),4442989683,0.00011825654315496844
408630061,3,,,POINT (-77.0242231 -12.0818365),4442989683,0.001008548283420777
408630066,4,,,POINT (-77.025509 -12.0821221),408630066,0.0
408630072,4,,traffic_signals,POINT (-77.026332 -12.0823125),408630072,0.0
408630106,4,,traffic_signals,POINT (-77.02628489999999 -12.0824211),408630106,0.0
408630121,3,,,POINT (-77.02306419999999 -12.0817897),4442989683,0.00018341245869319076
408630130,3,,,POINT (-77.0224138 -12.0816517),408630052,0.000687595207961987
408630134,4,,,POINT (-77.0214955 -12.0814801),408629961,0.001550824558094797
408630139,3,,,POINT (-77.0209165 -12.0813714),408630164,0.0015075297177847594
408630159,3,,,POINT (-77.0196645 -12.0813043),408630164,0.00025559945227609355
408630164,3,,crossing,POINT (-77.0194097 -12.0813245),408630164,0.0
408630227,3,,,POINT (-77.02261799999999 -12.0783787),408630227,0.0
408630262,3,,,POINT (-77.0244062 -12.0810185),4442989683,0.001364402539571558
408630274,3,,,POINT (-77.0250443 -12.0811334),408630066,0.0010924622556376727
408630279,3,,,POINT (-77.0256722 -12.0812257),408630066,0.0009111351162156932
408630283,4,,,POINT (-77.0266834 -12.0813364),408630072,0.0010374262238835468
408630294,3,,,POINT (-77.0251492 -12.0830066),408630066,0.0009548802490355868
408630311,3,,,POINT (-77.02480850000001 -12.0838327),408630066,0.0018484730482195377
408630324,3,,,POINT (-77.02357550000001 -12.0788643),316629288,0.0010344692600592102
