osmid,street_count,highway,ref,geometry,NN,NN_dist
31035109,3,,,POINT (-77.0431318 -12.0461328),31035142,5.125699952398688e-05
31035110,3,,,POINT (-77.0431995 -12.0462855),31035142,0.00021704990209841526
31035112,3,,,POINT (-77.0431711 -12.0465648),31035113,0.0001751622105355615
31035113,3,,,POINT (-77.0429704 -12.046761),31035113,0.00011049692302878648
31035116,3,,,POINT (-77.04251720000001 -12.0467498),31035116,9.756192905291612e-05
31035117,3,,,POINT (-77.0423388 -12.0465305),4336222044,0.00015688865478301244
31035121,3,,,POINT (-77.0426099 -12.0459673),31035121,1.0000000116860974e-07
31035123,3,crossing,,POINT (-77.0426892 -12.0457338),31035123,3.9396573448203446e-05
31035125,3,,,POINT (-77.0426684 -12.0437377),31035125,0.0
31035127,4,,,POINT (-77.04246550000001 -12.0432428),31035127,1.2356779511158176e-05
31035129,3,,,POINT (-77.04264809999999 -12.0429982),31035129,0.0
31035131,3,,,POINT (-77.04278189999999 -12.0429454),31035131,1.5591343753615024e-05
31035133,3,,,POINT (-77.04334559999999 -12.0430397),31035133,0.0
31035134,3,,,POINT (-77.04345069999999 -12.0431226),31035134,0.0
31035137,3,,,POINT (-77.0434077 -12.0437103),3725509621,9.458900571088025e-05
31035141,3,,,POINT (-77.0429855 -12.0457059),31035141,7.577189452575302e-05
31035142,3,,,POINT (-77.0430353 -12.046033),31035142,8.796732347569067e-05
31035148,4,traffic_signals,,POINT (-77.0419326 -12.0544607),31035148,0.0
31035151,3,,,POINT (-77.0431093 -12.0408145),31035152,0.00021095677282267138
31035152,4,,,POINT (-77.0431967 -12.0406225),31035152,0.0
31035172,4,,,POINT (-77.0423182 -12.050152),31035172,2.433105011933726e-06
31036574,4,,,POINT (-77.05095780000001 -12.0439302),31036574,0.0
31036580,4,,,POINT (-77.0648719 -12.0454216),31036580,0.0
31036582,5,,,POINT (-77.0509814 -12.0443636),3417654682,6.558086611351768e-05
31036608,4,,,POINT (-77.0375344 -12.0462803),888357917,0.0010263800514436804
31036638,3,,,POINT (-77.0591333 -12.0363996),1038173045,0.00036527534819748834
31036639,3,,,POINT (-77.0607614 -12.0360214),31036639,0.0
31070013,4,,,POINT (-77.07746400000001 -12.0385364),4436905511,0.0023175425023074458
31080114,3,,,POINT (-77.0252552 -12.0449139),31080125,0.0002186718546116675
31080115,3,traffic_signals,,POINT (-77.0261539 -12.046595),885797822,0.00016586515607706372
31080125,4,,,POINT (-77.02505650000001 -12.0448226),31080125,0.0
31080126,4,,,POINT (-77.0283354 -12.0507533),316632494,0.00016950799391575688
31080129,3,,,POINT (-77.0304459 -12.0548963),316632164,0.00039822840180336243
107772857,4,,,POINT (-77.0416156 -12.0580662),107772857,0.0
107772858,4,,,POINT (-77.0417786 -12.0561969),107772858,0.0
107774945,3,,,POINT (-77.0418045 -12.0607199),107774945,0.0
107774948,3,,,POINT (-77.04133109999999 -12.0607356),107774948,0.0
107774949,3,traffic_signals,,POINT (-77.04120109999999 -12.0606589),107774949,0.0
107774952,3,,,POINT (-77.04100579999999 -12.0603449),1856633207,0.00026700220973027277
107774957,3,,,POINT (-77.04122889999999 -12.0597924),107774957,0.0
107774958,3,,,POINT (-77.0414126 -12.0597091),107774958,0.0
108064631,4,traffic_signals,,POINT (-77.0350988 -12.0796536),108064631,0.0
108064633,3,,,POINT (-77.03526909999999 -12.0785838),263361038,0.0008862994584241089
108064638,4,traffic_signals,,POINT (-77.03556519999999 -12.0766389),263404835,0.0010699692145013586
108064642,4,traffic_signals,,POINT (-77.03573 -12.0755602),108064642,0.0
