osmid,street_count,highway,geometry,NN,NN_dist
318813749,3,,POINT (-76.7928465 -12.4918872),495332969,0.1021087802211459
318813750,3,,POINT (-76.7960183 -12.484059),495332969,0.09567029793436642
318813751,4,,POINT (-76.7965789 -12.4826429),495332969,0.09453475338995926
318813753,3,,POINT (-76.78995399999999 -12.4803142),495332969,0.09019462660048055
1273453996,1,,POINT (-76.79733160000001 -12.4850817),495332969,0.09708282515445721
1273508243,1,,POINT (-76.7958287 -12.4837175),495332969,0.09528468632230633
1273736499,3,,POINT (-76.7980531 -12.482038),495332969,0.09449785749449861
1273789388,1,,POINT (-76.798806 -12.4824783),495332969,0.09518466522865122
1273805453,1,,POINT (-76.78961959999999 -12.4776359),495332969,0.08753743151343836
1273889270,3,,POINT (-76.7948396 -12.4848939),495332969,0.09606451136382502
1273895729,3,,POINT (-76.7895669 -12.4778336),495332969,0.08771043263791493
1273897618,1,,POINT (-76.7950142 -12.4848365),495332969,0.09606744444862796
1570805190,1,,POINT (-76.78938580000001 -12.469986),495332969,0.08019344675471086
1845508764,1,,POINT (-76.7907225 -12.4779752),495332969,0.088195806897212
1845508791,3,,POINT (-76.79045960000001 -12.4781522),495332969,0.08828344269182453
1845508853,3,,POINT (-76.79085689999999 -12.4785129),495332969,0.08874873183150306
1845508856,3,,POINT (-76.7906196 -12.4784622),495332969,0.0886275324575843
1845508972,3,,POINT (-76.7915174 -12.479058),495332969,0.08947222248989112
1845508981,4,,POINT (-76.7914366 -12.4791574),495332969,0.08954135126364912
1845508993,3,,POINT (-76.79231129999999 -12.479243),495332969,0.08989944188953608
1845509093,3,,POINT (-76.79217010000001 -12.4795097),495332969,0.09010701752039438
1845509098,3,,POINT (-76.79110900000001 -12.4795256),495332969,0.08978983407313298
1845509120,3,,POINT (-76.7921018 -12.4795815),495332969,0.09015336861731912
1845509209,1,,POINT (-76.7906036 -12.4798274),495332969,0.0899232537707578
1845509250,3,,POINT (-76.7901631 -12.4800228),495332969,0.08997791577276308
