osmid,street_count,highway,geometry,NN,NN_dist
263388341,3,,POINT (-77.0590893 -12.0816313),263389679,0.0012279130995305212
263389679,4,,POINT (-77.058302 -12.080689),263389679,0.0
263389742,4,,POINT (-77.0582502 -12.0806266),263389679,8.109870528743412e-05
263389913,3,,POINT (-77.0576135 -12.0798359),1943098993,0.0010240037939356714
263396343,4,traffic_signals,POINT (-77.0512858 -12.0721788),263396343,0.0
263400734,4,traffic_signals,POINT (-77.0504741 -12.0712002),263400734,0.0
301454935,4,,POINT (-77.064459 -12.0846272),301454935,0.0
301454940,3,,POINT (-77.0652125 -12.0837491),331597605,0.0001798677569795757
301455182,3,,POINT (-77.0792273 -12.0786302),301455182,0.0
309999004,4,traffic_signals,POINT (-77.0530959 -12.0740533),309999004,0.0
316802006,3,,POINT (-77.06114340000001 -12.0682095),316802006,0.0
316802009,3,,POINT (-77.06065460000001 -12.0679561),316802009,0.0
316802011,3,,POINT (-77.06048850000001 -12.0674868),316802011,0.0
316802024,3,,POINT (-77.0618127 -12.0678915),316802024,0.0
316802224,3,,POINT (-77.0793527 -12.0745774),589642608,0.0003574581374098401
316802232,4,,POINT (-77.0779232 -12.070418),4332507087,0.0004545314070560734
316802849,3,,POINT (-77.08092190000001 -12.0775223),316802849,0.0
316803089,4,,POINT (-77.0757414 -12.0709119),316803089,0.0
316803090,3,,POINT (-77.0722837 -12.0716789),670349075,0.0012214923863919243
316803092,3,,POINT (-77.0694503 -12.0722013),316803092,0.0
316803097,4,traffic_signals,POINT (-77.0617022 -12.0716287),316803097,0.0
316803100,3,,POINT (-77.0595802 -12.0717605),674944534,0.0005504785645280639
316803102,4,,POINT (-77.0579809 -12.0722105),316803102,0.0
316803105,4,,POINT (-77.0539605 -12.0751034),316803105,0.0
316803289,3,traffic_signals,POINT (-77.0538909 -12.0750139),316803289,0.0
316803291,3,,POINT (-77.0568329 -12.0726703),1273900542,0.00027438718993455974
316803293,4,,POINT (-77.0579386 -12.0721061),316803102,0.00011264390796063811
316803295,4,traffic_signals,POINT (-77.05903000000001 -12.0717462),674944534,0.00012314844700535646
316803299,4,,POINT (-77.060365 -12.0715002),316803299,0.0
316803303,4,,POINT (-77.0625117 -12.0717014),670402129,0.000109691795499459
316803305,3,,POINT (-77.0653025 -12.0722091),874903661,0.0006271818316886885
316803307,4,,POINT (-77.06737579999999 -12.0723411),660671994,9.806487648687386e-05
316803311,3,,POINT (-77.0742699 -12.071142),2054187127,0.0014474932158655075
316803405,3,,POINT (-77.06191889999999 -12.0676541),316803405,0.0
316803518,3,,POINT (-77.0613961 -12.0681866),316803518,0.0
316803526,4,traffic_signals,POINT (-77.0616895 -12.0715299),316803097,9.961290077078707e-05
316803527,4,traffic_signals,POINT (-77.06149449999999 -12.0715125),316803527,0.0
316803559,4,,POINT (-77.05432810000001 -12.0665945),817654860,0.0013991723982479216
316809590,4,,POINT (-77.06639749999999 -12.0812171),316809590,0.0
316809593,3,,POINT (-77.0619856 -12.0728343),674939563,0.0010064244879745654
316809596,4,traffic_signals,POINT (-77.0615154 -12.0716186),316809596,0.0
316809680,4,,POINT (-77.0656389 -12.0792483),638350279,5.678344829327931e-05
316809683,4,,POINT (-77.06722550000001 -12.082995),316810075,7.330184172589151e-05
316809684,4,,POINT (-77.0672981 -12.0831394),316809684,0.0
316810074,4,,POINT (-77.0672217 -12.0831671),316810074,0.0
316810075,4,,POINT (-77.0671559 -12.083018),316810075,0.0
331597605,3,,POINT (-77.06530290000001 -12.0839046),331597605,0.0
378301200,4,,POINT (-77.0584181 -12.080494),2055741710,7.600342097453737e-05
378301236,4,,POINT (-77.0607205 -12.0786695),2055741699,7.22281108682823e-05
378301302,4,traffic_signals,POINT (-77.0644987 -12.0772594),378301302,0.0
494493544,4,,POINT (-77.0741111 -12.0761731),1832795859,0.00010873936729670927
494493560,3,,POINT (-77.079223 -12.0749324),589642608,0.00037158036816098986
503687605,4,traffic_signals,POINT (-77.0616124 -12.0843929),1943098881,8.932838295011606e-05
503691309,4,,POINT (-77.0645888 -12.0819973),316809590,0.001969798905977944
503693060,3,,POINT (-77.0655314 -12.0815819),316809590,0.000939791599235231
503693070,3,,POINT (-77.0653372 -12.0811022),638346165,0.0010578433957797815
503693084,3,,POINT (-77.06556089999999 -12.0803973),638346165,0.00045841929497202614
