osmid,street_count,ref,highway,geometry,NN,NN_dist
182439911,1,,,POINT (-76.81258769999999 -12.3442095),1832652746,0.0027792977602270987
258066779,3,45A,motorway_junction,POINT (-76.784901 -12.3711599),472561534,0.0043726113433584434
258066780,3,,,POINT (-76.77935410000001 -12.3765219),1826470137,0.0026271954342860543
258066956,1,,,POINT (-76.8132658 -12.3435387),1832652746,0.0033922596554502764
472561534,4,,,POINT (-76.78192799999999 -12.3743663),472561534,0.0
472561535,4,,,POINT (-76.78151080000001 -12.373936),472561535,0.0
472561556,4,,,POINT (-76.78332450000001 -12.3758083),472561556,0.0
472561566,3,,,POINT (-76.7829833 -12.3754584),472561566,0.0
472561575,3,,,POINT (-76.7821498 -12.3745947),472561534,0.0003183736798200151
472561604,3,,,POINT (-76.77877959999999 -12.3737516),472563105,0.0026532894923175163
472561673,3,,,POINT (-76.7813017 -12.3737336),472561535,0.00029101300658743005
472561684,3,,,POINT (-76.78160579999999 -12.3746953),472561534,0.0004604930401211912
472561687,3,,,POINT (-76.7820784 -12.374688),472561534,0.00035512117650644245
472562546,4,,,POINT (-76.78183199999999 -12.3744656),472561534,0.0001381176672259597
472562901,3,,,POINT (-76.7829807 -12.3756069),472561566,0.00014852275919863595
472563084,2,45B,motorway_junction,POINT (-76.7791575 -12.3765224),1826470137,0.0028196010072314447
472563103,4,,,POINT (-76.781177 -12.3742491),472563105,0.00031932770002163175
472563105,4,,,POINT (-76.7814173 -12.3740388),472563105,0.0
472563136,3,,,POINT (-76.7816207 -12.3737798),472561535,0.0001909880886336546
472563141,3,,,POINT (-76.7838208 -12.3720317),472561535,0.002993736543180128
472563248,3,,,POINT (-76.7821974 -12.3741387),472561534,0.00035267282288881335
495241573,3,,,POINT (-76.7976464 -12.3609189),1832653054,0.0017154469563359282
495284663,4,,,POINT (-76.7832351 -12.3758885),495284663,0.0
495284701,3,,,POINT (-76.7838631 -12.3753513),472561556,0.0007063561141504679
495285658,3,,,POINT (-76.78287640000001 -12.3762171),495284663,0.0004864603272563267
1273492994,4,,,POINT (-76.7864287 -12.375105),472561556,0.0031828742560730556
1273504411,3,,,POINT (-76.7928905 -12.3674282),1832653114,0.0017118334410853562
1273506491,5,,,POINT (-76.78765660000001 -12.3748108),472561556,0.004445457980904796
1273563923,4,,,POINT (-76.7853964 -12.3750696),472561556,0.0021996470853202364
1273682145,4,,,POINT (-76.78574879999999 -12.3753286),472561556,0.0024713038218594037
1273688948,3,,,POINT (-76.7850148 -12.374819),472561556,0.001958527145579872
1273699719,3,,,POINT (-76.7882274 -12.3751757),472561556,0.004943542370598848
1273783324,3,,,POINT (-76.78568110000001 -12.3746737),472561556,0.002615507736557308
1273795547,3,,,POINT (-76.7886517 -12.3754678),472561556,0.005338070820995348
1273801757,3,,,POINT (-76.7887764 -12.3748861),472561556,0.005529345933287914
1273847029,4,,,POINT (-76.7939169 -12.3682257),1832653114,0.0023342201867004603
1273865134,3,,,POINT (-76.7975625 -12.3595896),1832653054,0.0006535029609679178
1273876607,3,,,POINT (-76.8042086 -12.3551456),7059096560,0.0013801522560895336
1273963532,4,,,POINT (-76.7934485 -12.3678672),1832653114,0.0019752377401225664
1273969673,3,,,POINT (-76.79681220000001 -12.3609657),1832653060,0.0015016852033679687
1273971664,3,,,POINT (-76.7977879 -12.3598092),1832653054,0.0009516685557487843
1273986413,3,,,POINT (-76.79775669999999 -12.3638124),1826469870,0.001901351637650844
1817713691,4,,,POINT (-76.7871835 -12.3744423),472561556,0.004093633715897297
1817713693,3,,,POINT (-76.7853751 -12.3744612),472561556,0.0024534952149849612
1817713701,3,,,POINT (-76.78738490000001 -12.3752169),472561556,0.004103242878504848
1817713705,3,,,POINT (-76.7884552 -12.375317),472561556,0.005154169009641493
1817713706,3,,,POINT (-76.78679289999999 -12.3753687),472561556,0.003496147411068383
1817713710,4,,,POINT (-76.7860924 -12.3755592),472561556,0.0027790864002351133
1817713719,4,,,POINT (-76.78713430000001 -12.3756264),472561556,0.0038141399620350612
1817713721,3,,,POINT (-76.7879236 -12.3755877),472561556,0.00460438759988066
1817713723,3,,,POINT (-76.79022399999999 -12.3756312),472561556,0.006901772573755525
