osmid,street_count,ref,highway,geometry,NN,NN_dist
31035231,3,,,POINT (-77.043368 -12.0379627),31035231,0.0
31035236,3,,,POINT (-77.04081789999999 -12.0374271),31035512,0.00034395723570175416
31035237,3,,,POINT (-77.04290039999999 -12.0376999),1379446780,0.00020235278598877525
31035238,3,,,POINT (-77.04230099999999 -12.0376438),1379446780,0.0005082500959272936
31035239,3,,,POINT (-77.0418193 -12.037488),31035256,0.00039634898763767247
31035244,3,,,POINT (-77.0396179 -12.037937),885831137,0.0008712063934572775
31035247,3,,,POINT (-77.0438133 -12.0331983),31035247,0.0
31035256,3,,,POINT (-77.0415297 -12.0372174),31035256,0.0
31035258,3,10A,motorway_junction,POINT (-77.0428828 -12.0369307),31035258,0.0
31035266,3,,,POINT (-77.0434331 -12.037301),2832742981,0.00013975872065985232
31035284,3,,,POINT (-77.0435471 -12.0360624),31035284,0.0
31035294,3,,,POINT (-77.04283820000001 -12.0365847),31035294,0.0
31035295,3,,,POINT (-77.0414365 -12.0371357),31035295,0.0
31035512,3,9B,motorway_junction,POINT (-77.04047420000001 -12.0374138),31035512,0.0
31035540,3,,,POINT (-77.0421723 -12.0360449),31035540,0.0
31035541,3,,,POINT (-77.0436464 -12.0352129),31035541,0.0
31035556,3,,,POINT (-77.0442451 -12.0282788),31035556,0.0
31035563,4,,,POINT (-77.04417530000001 -12.028699),31035563,0.0
31035567,4,,,POINT (-77.0428692 -12.0298186),31035567,0.0
31035570,3,,,POINT (-77.04987490000001 -12.0232405),31035570,0.0
31080028,3,6A,motorway_junction,POINT (-77.01571680000001 -12.0397382),31080028,0.0
31080098,4,,,POINT (-77.0187328 -12.0405431),31080098,0.0
31080119,4,,,POINT (-77.0238714 -12.0426427),31080119,0.0
31080123,4,,,POINT (-77.0220396 -12.0423551),31080123,0.0
301457919,4,,,POINT (-77.041591 -12.032718),301457919,0.0
301457923,3,,,POINT (-77.0339645 -12.0406781),3854579860,0.000180772232379654
301457943,4,,,POINT (-77.0278789 -12.0319448),301457943,0.0
331610229,3,,,POINT (-77.0202029 -12.0419871),331610229,0.0
331610240,3,8,motorway_junction,POINT (-77.0311067 -12.0422306),331610240,0.0
503697726,4,,,POINT (-77.0358232 -12.0299819),3736716062,0.00010397754564851133
503697727,4,,,POINT (-77.0399245 -12.0267587),503697727,0.0
503697728,4,,,POINT (-77.0400061 -12.0268474),503697728,0.0
503697729,4,,,POINT (-77.0359122 -12.0300753),503697729,0.0
563862402,3,7B,motorway_junction,POINT (-77.0245223 -12.0432022),563862402,0.0
563862405,3,,,POINT (-77.0248186 -12.0424969),563862405,0.0
563862407,3,,,POINT (-77.02426319999999 -12.042573),563862407,0.0
563862408,3,,,POINT (-77.0241563 -12.0428776),1324511885,0.00011195606281431863
563862409,4,,,POINT (-77.02398599999999 -12.0426206),563862409,0.0
563862419,3,,,POINT (-77.0200892 -12.0417343),563862419,0.0
563862424,4,,,POINT (-77.0202602 -12.0413746),563862424,0.0
563862426,3,,,POINT (-77.01983060000001 -12.0422782),563862426,0.0
563862430,3,,,POINT (-77.0195796 -12.0418361),563862430,0.0
563862440,3,,,POINT (-77.0194383 -12.0416271),563862440,0.0
582805017,4,,,POINT (-77.0329019 -12.0398017),582805017,0.0
816553081,4,,,POINT (-77.0483766 -12.0210305),2887169621,0.002662809075015796
816553090,4,,,POINT (-77.0483605 -12.0198883),9442780702,0.0029517561095056795
816553128,3,,,POINT (-77.048011 -12.018822),9442780702,0.0031873650638098426
816553138,3,,,POINT (-77.0484615 -12.0175418),3340739367,0.002890342609446199
816553175,3,,,POINT (-77.04954650000001 -12.0164047),3672844140,0.002072410743544916
816553218,4,,,POINT (-77.0481328 -12.0220452),817329290,0.0020053416915772507
816553256,3,,,POINT (-77.0477642 -12.023687),1870228398,0.0013676373386211614
816553430,4,,,POINT (-77.0495773 -12.0177274),3340739367,0.0017612538828940285
817139924,3,,,POINT (-77.04937750000001 -12.0198932),9442780702,0.0019998982474084036
817139940,1,,,POINT (-77.0502542 -12.0198804),9442780702,0.0012522677229762544
817140020,4,,,POINT (-77.0518411 -12.015056),3672842946,0.0001178579653672139
817316384,1,,,POINT (-77.050417 -12.021016),9442780702,0.002113919499415349
817316388,4,,,POINT (-77.0492577 -12.022505),31035570,0.0009601542011617687
817316402,3,,,POINT (-77.0477696 -12.0240458),1870228398,0.0010300711286117873
817329290,3,,,POINT (-77.0492977 -12.0236775),817329290,0.0
818634139,5,,,POINT (-77.05102840000001 -12.0180015),3340739369,0.00028777034245614495
827192141,1,,,POINT (-77.0477538 -12.0198914),9442780702,0.0035383391711431866
827236374,1,,,POINT (-77.0503425 -12.0220576),2887169621,0.0011929716216252217
885811823,4,,,POINT (-77.0290119 -12.0383213),885811823,0.0
885811829,3,,,POINT (-77.02779649999999 -12.0391228),885811829,0.0
885811832,4,,traffic_signals,POINT (-77.0256662 -12.0421175),885811832,0.0
885811834,4,,,POINT (-77.0303871 -12.0416687),885811834,0.0
885811835,3,,,POINT (-77.03141189999999 -12.0413913),885811904,0.0007253942376396217
885811838,4,,traffic_signals,POINT (-77.0284468 -12.0409734),885811838,0.0
885811839,3,,,POINT (-77.0326532 -12.0384915),885811905,0.0003958680209327679
885811843,3,,,POINT (-77.0226309 -12.0403908),885811843,0.0
885811844,4,,,POINT (-77.02709729999999 -12.0379328),885811844,0.0
885811845,3,,,POINT (-77.02723279999999 -12.0381622),885811844,0.00026642937150366913
885811846,4,,,POINT (-77.0402598 -12.0339024),885811846,0.0
885811847,3,,,POINT (-77.03037140000001 -12.0414899),885811847,0.0
885811848,3,,traffic_signals,POINT (-77.0291512 -12.0400152),885811896,0.0007964618007110102
885811851,4,,,POINT (-77.0298993 -12.0369529),885811875,0.001020724938455548
885811853,4,,,POINT (-77.02852970000001 -12.0418829),885811853,0.0
885811855,3,,,POINT (-77.0252521 -12.0403043),885811855,0.0
885811857,3,,,POINT (-77.03112419999999 -12.0396666),885811857,0.0
885811860,3,,,POINT (-77.02726730000001 -12.0325184),885811860,0.0
885811864,3,,,POINT (-77.0226028 -12.0419228),885811864,0.0
885811865,1,,,POINT (-77.02394630000001 -12.0415404),885811865,0.0
885811867,3,,,POINT (-77.0277081 -12.0425422),885811878,0.000581850599379986
885811872,3,,,POINT (-77.0299996 -12.0377087),885811823,0.0011622521456174655
885811874,3,,,POINT (-77.0188234 -12.0403673),31080098,0.000197772596690315
885811875,4,,,POINT (-77.0289259 -12.0372601),885811875,0.0
885811878,4,,,POINT (-77.0276217 -12.0419668),885811878,0.0
885811879,3,,,POINT (-77.02726029999999 -12.0401767),885811879,0.0
885811880,4,,,POINT (-77.0254762 -12.0413265),885811880,0.0
885811881,3,,,POINT (-77.0307351 -12.0365434),6131453650,0.0008028340114864886
885811882,4,,,POINT (-77.0271637 -12.0377036),885811882,0.0
885811885,4,,,POINT (-77.03030889999999 -12.040779),885811885,0.0
885811888,4,,,POINT (-77.0302112 -12.039906),885811888,0.0
885811894,4,,traffic_signals,POINT (-77.025699 -12.0422729),885811894,0.0
885811896,4,,traffic_signals,POINT (-77.02836000000001 -12.0401066),885811896,0.0
885811897,4,,,POINT (-77.0274548 -12.0410764),885811897,0.0
885811898,3,,,POINT (-77.02520800000001 -12.0424723),885811898,0.0
885811899,4,,,POINT (-77.03336880000001 -12.0395166),885811899,0.0
885811900,4,,,POINT (-77.0268701 -12.0378751),885811900,0.0
885811904,4,,,POINT (-77.0312931 -12.0406757),885811904,0.0
885811905,4,,,POINT (-77.032335 -12.038727),885811905,0.0
885811909,4,,,POINT (-77.0379317 -12.0359443),885811909,0.0
885819334,3,,,POINT (-77.01699929999999 -12.0379603),31080028,0.0021921985904498806
885819338,4,,,POINT (-77.0158941 -12.0384543),31080028,0.0012960842950974275
885819339,3,,,POINT (-77.01671210000001 -12.0391377),31080028,0.0011624208962334821
885819342,3,,,POINT (-77.0161718 -12.0386593),31080028,0.001170918532600882
885819343,3,,,POINT (-77.0242978 -12.0394247),885819343,0.0
885819344,3,,,POINT (-77.0170495 -12.03931),1324511527,0.0012767408076819376
885819346,4,,,POINT (-77.0168659 -12.0383065),31080028,0.0018358092765822693
885819353,4,,,POINT (-77.0267388 -12.036611),4406378995,0.001052150958757788
885819359,3,,,POINT (-77.0272725 -12.0376142),885811882,0.00014081832266578224
885819360,3,,,POINT (-77.01619820000001 -12.0379602),1273677828,0.0015236430848523347
885819363,3,,,POINT (-77.0226521 -12.0373658),885819366,0.0016689092246132014
885819365,3,,,POINT (-77.0173447 -12.0380701),31080028,0.0023307972927651944
885819366,4,,,POINT (-77.0229167 -12.0390136),885819366,0.0
885819368,4,,,POINT (-77.01652780000001 -12.0381336),31080028,0.0017979049363075227
885819369,4,,,POINT (-77.02876310000001 -12.0368733),885819369,0.0
885819370,4,,,POINT (-77.01667430000001 -12.0386009),31080028,0.00148669349228302
