osmid,ref,highway,street_count,geometry,NN,NN_dist
471044785,B,motorway_junction,3,POINT (-76.9733876 -12.0580934),471044785,0.0
471047252,,,3,POINT (-76.9727738 -12.0581266),471047252,0.0
471048082,,,4,POINT (-76.9720131 -12.0578126),471048082,0.0
471048154,,,4,POINT (-76.97249669999999 -12.0570892),471048154,0.0
471048161,,,3,POINT (-76.97465339999999 -12.0551938),471048161,0.0
471048237,,,3,POINT (-76.9712674 -12.0575047),471048237,0.0
471050831,,motorway_junction,3,POINT (-76.9862408 -12.0426192),1273954245,0.00042402387904322844
471051765,,,4,POINT (-76.9852131 -12.0399335),5937055831,0.0004866345035074036
471062094,,,3,POINT (-76.9653989 -12.0550945),4276985978,0.000768206254850839
492818282,,traffic_signals,3,POINT (-76.9646005 -12.0546246),471062031,0.00012867882498830384
492818299,,,4,POINT (-76.966977 -12.0497938),492818299,0.0
492818300,,,3,POINT (-76.9674749 -12.0485222),1273769963,0.0008690670687579688
492818312,,,3,POINT (-76.96874560000001 -12.0463662),492818312,0.0
492818316,,,3,POINT (-76.96908759999999 -12.0455172),492818316,0.0
499590042,,,3,POINT (-76.9800743 -12.0473104),1746796594,0.0004783193284835989
499590047,,,3,POINT (-76.9791149 -12.0470306),499590047,0.0
499590056,,,4,POINT (-76.9716315 -12.0438359),499590056,0.0
499590061,,,4,POINT (-76.9702896 -12.0433713),4272328375,0.0001268905827867915
499590066,,,5,POINT (-76.9701254 -12.0434092),499590066,0.0
1024451878,,,4,POINT (-76.9681982 -12.0563041),5711943183,0.0004036838614574752
1024462939,,,3,POINT (-76.9674966 -12.0560014),5711943183,0.0007911064719724195
1273449952,,,4,POINT (-76.9567126 -12.0410591),1577492065,0.0018582744038474718
1273455151,,,3,POINT (-76.9645519 -12.0327089),1273455151,0.0
1273455793,,,4,POINT (-76.9509522 -12.0449078),1273455793,0.0
1273456069,,,4,POINT (-76.9540204 -12.0398806),1575375199,0.0019238129456878102
1273456876,,,3,POINT (-76.9742533 -12.0424856),3342111058,0.0007823084366166725
1273458418,,,3,POINT (-76.9467537 -12.0321073),1273458418,0.0
1273464181,,,4,POINT (-76.95244630000001 -12.0412561),1273464181,0.0
1273464497,,,3,POINT (-76.9600009 -12.0366293),4271907484,0.0005886364582629379
1273466509,,,4,POINT (-76.96776 -12.049517),1273769963,0.0006253515011575943
1273467334,,,3,POINT (-76.98041619999999 -12.0411362),1273467334,0.0
1273468966,,,3,POINT (-76.9770255 -12.0406314),4356338009,0.0007465039852532454
1273469967,,,3,POINT (-76.97839860000001 -12.0462106),1273984598,0.0004930692547746281
1273471055,,,3,POINT (-76.97805459999999 -12.0457462),1273471055,0.0
