osmid,street_count,ref,highway,geometry,NN,NN_dist
495332969,3,,,POINT (-76.7634722 -12.3940948),495332969,0.0
495332981,3,L,motorway_junction,POINT (-76.7638089 -12.3937417),495332981,0.0
495333489,3,,,POINT (-76.7647711 -12.3952838),1932466258,0.0017607076446768696
495333528,3,,,POINT (-76.7643121 -12.3948576),495332969,0.0011345906089885028
495335651,3,,,POINT (-76.77420499999999 -12.4054307),495332969,0.015610753493986261
495335739,3,,,POINT (-76.7735528 -12.4023985),495332981,0.013033946963605608
495335811,3,,,POINT (-76.7729415 -12.4000274),495332981,0.011086677015681109
495335838,3,,,POINT (-76.7728932 -12.3995468),495332981,0.010780709276293434
495336151,3,,,POINT (-76.7746344 -12.4083986),495332969,0.01814368769793057
495336164,3,,,POINT (-76.7747591 -12.4074418),495332969,0.017479602987770498
495336188,3,,,POINT (-76.77473500000001 -12.4067943),495332969,0.016974332507944462
495336196,3,,,POINT (-76.7746415 -12.406407),495332969,0.01662358358868923
495336205,3,,,POINT (-76.7744878 -12.4060276),495332969,0.016239924852048157
495336915,4,,,POINT (-76.7749692 -12.4009633),1831352570,0.012192113676060915
495336950,3,,,POINT (-76.775504 -12.4017994),1831352570,0.012901837193205836
799255198,3,,,POINT (-76.773618 -12.4002874),495332981,0.01179256678166243
799255200,3,,,POINT (-76.7731302 -12.4011264),495332981,0.011892032113139788
799255201,3,,,POINT (-76.7752065 -12.4010481),1831352570,0.012222382727603318
799255205,4,,,POINT (-76.7755252 -12.4022191),1831352570,0.013311517228699568
799255218,4,,,POINT (-76.77439219999999 -12.3993922),1831352570,0.010836235776320058
799255229,3,,,POINT (-76.77471130000001 -12.3988435),1831352570,0.0102160577024569
799255244,3,,,POINT (-76.7763906 -12.4009809),1831352570,0.011961652367879893
799255245,3,,,POINT (-76.7761804 -12.4013048),1831352570,0.012309035590166741
799255261,3,,,POINT (-76.7735756 -12.400107),495332981,0.011657850272670764
799255262,3,,,POINT (-76.7732113 -12.4001002),495332981,0.011350579192710613
799255263,3,,,POINT (-76.77402309999999 -12.4004917),1831352570,0.011996019940797534
799255264,3,,,POINT (-76.77444800000001 -12.4007079),1831352570,0.012077265394531089
799255265,3,,,POINT (-76.77548880000001 -12.4026117),1831352570,0.013704632547060527
799255266,3,,,POINT (-76.775266 -12.4021907),1831352570,0.013330072880895242
799255267,4,,,POINT (-76.7745292 -12.4017785),1831352570,0.013089091295042961
799255268,3,,,POINT (-76.774013 -12.4015045),495332981,0.012821260493801447
799255269,3,,,POINT (-76.77361430000001 -12.4013046),495332981,0.012383187213722153
1273453995,3,,,POINT (-76.77435010000001 -12.4057369),495332969,0.015933210624989386
1273596811,3,,,POINT (-76.7637738 -12.3942994),1932466258,0.0003594389238803648
1273600154,3,,,POINT (-76.77421699999999 -12.404984),495332969,0.01529788886349927
1273832867,3,,,POINT (-76.7758027 -12.4062875),1831352570,0.017300640744780944
1273845713,3,,,POINT (-76.77538819999999 -12.4061213),495332969,0.016930084413552413
1273886123,3,,,POINT (-76.7770282 -12.4122145),495332969,0.022629376131263906
1273891231,3,,,POINT (-76.77500259999999 -12.4055518),495332969,0.016254629283990338
1831352601,3,,,POINT (-76.77570559999999 -12.4065923),495332969,0.01748838419666021
1831352605,3,,,POINT (-76.77521350000001 -12.4068592),495332969,0.017343241711118052
1831352610,3,,,POINT (-76.7755623 -12.4070646),495332969,0.01773093990882116
1831352616,4,,,POINT (-76.7752486 -12.4110986),495332969,0.020683636319566604
1831352656,3,,,POINT (-76.7759641 -12.4130969),495332969,0.022740434692855065
1932466258,4,,,POINT (-76.76351409999999 -12.3940509),1932466258,0.0
1932466360,3,,,POINT (-76.7744761 -12.3989847),1831352570,0.010423065692010144
1932466378,2,,,POINT (-76.77410709999999 -12.3992594),1831352570,0.010803892926626318
1932466393,3,,,POINT (-76.7775439 -12.3995408),1831352570,0.010442783594905003
1932466425,3,,,POINT (-76.77416220000001 -12.3996789),1831352570,0.011181273605896339
1932466436,4,,,POINT (-76.77458059999999 -12.3997965),1831352570,0.011165400926524497
1932466444,3,,,POINT (-76.7748689 -12.3999798),1831352570,0.011263049329998553
1932466445,3,,,POINT (-76.7746023 -12.4001127),1831352570,0.011462614051775954
1932466462,3,,,POINT (-76.7745431 -12.4002286),1831352570,0.011590420546725662
1932466465,3,,,POINT (-76.77425959999999 -12.4003345),1831352570,0.01177388894333587
1932466471,3,,,POINT (-76.7746401 -12.4004708),1831352570,0.01179691892020953
1932466489,3,,,POINT (-76.77599170000001 -12.4010727),1831352570,0.01210546630658959
1932466529,3,,,POINT (-76.7751133 -12.4011549),1831352570,0.012346631431284068
1932466597,3,,,POINT (-76.7757311 -12.4018078),1831352570,0.012871921154590254
1932466793,3,,,POINT (-76.7740886 -12.4051682),495332969,0.015340408616464303
1932466797,3,,,POINT (-76.7750147 -12.4052911),495332969,0.016080623120392486
