osmid,highway,street_count,ref,geometry,NN,NN_dist
182472505,crossing,3,,POINT (-76.9656861 -12.0792179),9775993588,0.0001613548883670937
258069478,motorway_junction,3,3C,POINT (-76.9811072 -12.0882615),258069478,0.0
263617513,traffic_signals,4,,POINT (-77.00947410000001 -12.1276724),263617513,0.0
263617519,,3,,POINT (-77.00398610000001 -12.1285523),4354621323,5.342967341515833e-05
263624811,traffic_signals,4,,POINT (-77.01798170000001 -12.1304236),4266807080,4.22170581595026e-05
263626515,,3,,POINT (-76.9982206 -12.1287315),263626515,0.0
263626516,,3,,POINT (-76.99807269999999 -12.1287249),263626515,0.00014804718842493752
263627079,,3,,POINT (-77.0010908 -12.1283294),263627079,0.0
263627085,,3,,POINT (-77.0006076 -12.1285806),263627085,0.0
263627086,,3,,POINT (-77.00055589999999 -12.1286981),263627086,0.0
263627088,,3,,POINT (-77.0005491 -12.1289565),263627088,0.0
263627090,,3,,POINT (-77.0006273 -12.1291297),263627090,0.0
263627092,,3,,POINT (-77.0009527 -12.1293411),263627092,0.0
263627096,,3,,POINT (-77.0014082 -12.1292208),263627096,0.0
263627098,,3,,POINT (-77.0015401 -12.1290406),263627098,0.0
263628620,,4,,POINT (-76.99806890000001 -12.1285942),263626515,0.00020460738011343366
263628771,,3,,POINT (-76.9994107 -12.1286697),263627086,0.0011455520939667014
263628772,,3,,POINT (-76.99994150000001 -12.1287145),263627086,0.0006146188412233869
263635939,,4,,POINT (-77.0178806 -12.1337992),4266807086,9.340021412975994e-05
263635941,,4,,POINT (-77.0179327 -12.1322206),4266807082,5.630319706442864e-05
263635942,,3,,POINT (-77.0179591 -12.1312091),4266807081,5.221618522922441e-05
289315317,,3,,POINT (-76.98383219999999 -12.152146),289315317,0.0
289315319,,3,,POINT (-76.9838328 -12.1549182),289315319,0.0
289316757,,4,,POINT (-76.98606599999999 -12.1476125),442759994,9.863244902389555e-05
289317011,,3,,POINT (-76.99162440000001 -12.1417145),289317011,0.0
289317016,traffic_signals,4,,POINT (-76.9968277 -12.1346856),289317016,0.0
