osmid,street_count,highway,ref,geometry,NN,NN_dist
258066781,3,,,POINT (-76.77104610000001 -12.3845526),1932465989,0.0013260334912839407
258066783,3,,,POINT (-76.769768 -12.3857826),1932465989,0.0005883045554854947
495301294,3,,,POINT (-76.771372 -12.3864141),495301294,0.0
495301299,3,,,POINT (-76.7735136 -12.3845667),495301299,0.0
495302182,4,,,POINT (-76.7716393 -12.3861772),495302182,0.0
495302188,3,,,POINT (-76.7705675 -12.385295),1932465989,0.00044313918806461434
495302399,3,,,POINT (-76.7706764 -12.3851872),1932465989,0.0005922262489933803
495302418,4,,,POINT (-76.7717332 -12.386094),495302418,0.0
495303074,4,,,POINT (-76.77619749999999 -12.3865292),495303074,0.0
495319277,4,,,POINT (-76.7744187 -12.3884377),495319277,0.0
495319504,3,,,POINT (-76.7769586 -12.390032),1831352570,0.0012450182327943414
495319539,4,,,POINT (-76.77202370000001 -12.3864177),495302418,0.0004349390072226312
495319674,3,,,POINT (-76.77198919999999 -12.3863285),495302418,0.0003471689070124874
495319770,3,,,POINT (-76.7718524 -12.3863657),495302182,0.0002845063443905591
495319953,3,,,POINT (-76.772938 -12.3900234),495319277,0.0021695430348358177
495320271,3,,,POINT (-76.7746131 -12.3922525),495319277,0.0038197500441770824
495320275,3,,,POINT (-76.7752402 -12.3931422),495319277,0.0047756865998505125
495320360,3,,,POINT (-76.78062439999999 -12.3906374),495326614,0.0031558088566864644
495320365,4,,,POINT (-76.77833390000001 -12.388507),495326614,0.00042038269469783443
495321885,3,,,POINT (-76.7791689 -12.3907769),1831352570,0.0021735892942375493
495321903,3,,,POINT (-76.7816972 -12.3903039),495326614,0.003941308910747748
495321914,3,,,POINT (-76.7817769 -12.3899091),495326614,0.0038861648189373516
495321923,3,,,POINT (-76.7813122 -12.3892644),495326614,0.00329507586862365
495321938,3,,,POINT (-76.7813395 -12.3888305),495326614,0.0032916360248334505
495321957,3,,,POINT (-76.7816018 -12.387343),495326614,0.003846723751454286
495321960,3,,,POINT (-76.7816923 -12.3870773),495326614,0.00403752401850374
495321963,3,,,POINT (-76.7820042 -12.3864637),495326614,0.004602324591985087
495321967,3,,,POINT (-76.7824751 -12.3859235),495326614,0.005287858772693799
495321972,3,,,POINT (-76.7832313 -12.3851421),495326614,0.006352839094446876
495322701,4,,,POINT (-76.78068589999999 -12.3869995),495326614,0.0032024127404116586
495322926,4,,,POINT (-76.7807463 -12.386824),495326614,0.0033534820366297046
495323377,3,,,POINT (-76.7806095 -12.3868698),495326614,0.0032165177832505303
495323387,3,,,POINT (-76.77999 -12.3868812),495326614,0.0027407520172352787
495323405,3,,,POINT (-76.77965519999999 -12.387101),495326614,0.0023497983104872073
495324467,4,,,POINT (-76.78261120000001 -12.3844782),495326614,0.006295427586749789
495324478,4,,,POINT (-76.7817017 -12.3852202),495326614,0.005125774131774932
495324526,3,,,POINT (-76.781018 -12.3860128),495326614,0.004083427396195237
495324537,4,,,POINT (-76.78045299999999 -12.3876711),495326614,0.002663314102758488
495324545,3,,,POINT (-76.7800852 -12.3885776),495326614,0.00205109666763695
495324556,3,,,POINT (-76.78068260000001 -12.3894453),495326614,0.0027090212494566904
495325369,3,,,POINT (-76.77941199999999 -12.3873468),495326614,0.0020041640900817998
495325520,3,,,POINT (-76.7813675 -12.3879758),495326614,0.0034240573374266247
495325860,3,,,POINT (-76.7800431 -12.3875434),495326614,0.0023660185819187737
495325879,4,,,POINT (-76.7787663 -12.3889092),495326614,0.0007245366588346266
495325900,3,,,POINT (-76.7779103 -12.3898488),1831352570,0.0007584221054278039
495325955,3,,,POINT (-76.7791064 -12.3892255),495326614,0.0011352754775815954
495326325,3,,,POINT (-76.779233 -12.3898687),495326614,0.0015857285297298206
495326382,4,,,POINT (-76.7784865 -12.389211),495326614,0.0005908525789021053
495326614,4,,,POINT (-76.7780479 -12.3888151),495326614,0.0
495327262,4,,,POINT (-76.777992 -12.3960304),1831352570,0.0069326910474950465
495327309,3,,,POINT (-76.7767092 -12.3944684),1831352570,0.005474347029553882
495327385,3,,,POINT (-76.77668079999999 -12.3933003),1831352570,0.004342241113757241
495327486,3,,,POINT (-76.77879540000001 -12.3907613),1831352570,0.00194375111833408
495327682,3,,,POINT (-76.77650389999999 -12.3975001),1831352570,0.008496437941867814
495327696,3,,,POINT (-76.77749439999999 -12.3965443),1831352570,0.007449170464555905
495327729,3,,,POINT (-76.77832739999999 -12.3957181),1831352570,0.006639492228326208
495328322,3,,,POINT (-76.7759949 -12.3947404),1831352570,0.005916886526711593
495329881,3,,,POINT (-76.7768257 -12.3906502),1831352570,0.0018223328043973869
495329925,3,,,POINT (-76.77658169999999 -12.3912111),1831352570,0.002429258524735607
495329951,3,,,POINT (-76.7747626 -12.3943071),495319277,0.0058794662657423195
495329957,3,,,POINT (-76.7747854 -12.3947423),495319277,0.006315255343214591
495330379,3,,,POINT (-76.77746860000001 -12.3894349),1831352570,0.00046014320596159884
495330808,3,,,POINT (-76.7811214 -12.3891556),495326614,0.003092303752867053
495330845,4,,,POINT (-76.7798043 -12.3898747),495326614,0.0020512662235718606
495331620,3,,,POINT (-76.7776523 -12.3919094),1831352570,0.002811733139897457
1273450855,3,,,POINT (-76.76945190000001 -12.3865593),1932465989,0.0012552330978719047
1273453475,1,,,POINT (-76.77904150000001 -12.3947785),1831352570,0.00581507261691749
1273453956,3,,,POINT (-76.7762992 -12.3857161),495303074,0.0008194354764109004
1273461149,3,,,POINT (-76.7747293 -12.3919707),495319277,0.003546626757920471
1273464171,3,,,POINT (-76.77643980000001 -12.3882315),1273862552,0.0011550851613601415
1273466791,3,,,POINT (-76.7751092 -12.3908725),495319277,0.0025308183044233973
1273485420,3,,,POINT (-76.77766509999999 -12.3833895),495303074,0.003465770599736134
1273486482,3,,,POINT (-76.7643539 -12.391592),4416489417,0.000876127348048437
1273487874,3,,,POINT (-76.7710435 -12.3874444),6415479631,0.0010676035453298432
1273494303,3,,,POINT (-76.7739969 -12.3843555),7061240102,0.0002350275728540351
1273495257,3,,,POINT (-76.7746398 -12.388202),495319277,0.0003231713168003948
1273501095,4,,,POINT (-76.77247010000001 -12.3877276),1273710196,0.0007237170303312696
1273523868,4,,,POINT (-76.7758135 -12.3956229),1831352570,0.006813560057707128
1273587054,3,,,POINT (-76.7750346 -12.3854915),495303074,0.0015585755355426699
