osmid,ref,highway,street_count,geometry,NN,NN_dist
182472511,1A,motorway_junction,3,POINT (-76.9879059 -12.0860006),416958386,0.0029928016723432555
263108187,,,3,POINT (-77.00326010000001 -12.0879906),263108187,0.0
263108188,,,3,POINT (-77.0037088 -12.0879069),263108188,0.0
263928959,,traffic_signals,4,POINT (-77.00032760000001 -12.1116668),263928959,0.0
263928962,,,4,POINT (-77.0034342 -12.1118961),263928959,0.003115050890430261
263933832,,,4,POINT (-77.0099785 -12.0942354),263933832,0.0
263933836,,,4,POINT (-77.0096662 -12.0952938),263933832,0.0011035134117908863
263933848,,,4,POINT (-77.0106047 -12.0987806),1666723093,0.0013759715731123097
263933849,,,3,POINT (-77.0106179 -12.0989498),1666723093,0.0013958513710344788
263933850,,,3,POINT (-77.0106229 -12.0994497),1666723093,0.0015931262975715356
263933851,,,3,POINT (-77.0106147 -12.0996298),1666723093,0.0017029215630812741
263933854,,,3,POINT (-77.0104726 -12.1005752),1666723093,0.002480397585070113
263933864,,,4,POINT (-77.01135290000001 -12.1028441),5577540442,0.0030732761184092488
263935441,,,4,POINT (-77.0111526 -12.1036442),391031630,0.003623204024068931
263935444,,,3,POINT (-77.0107349 -12.1030371),5577540442,0.0036450680789241203
263935446,,,3,POINT (-77.0105461 -12.1025336),5577540442,0.003477049290707353
263935452,,,5,POINT (-77.0101142 -12.10162),4353259378,0.0034384611223580337
263935458,,,4,POINT (-77.0088492 -12.1003668),1666723093,0.003586467189316154
263935459,,,3,POINT (-77.0087522 -12.1002401),1666723093,0.003611747523017619
315561470,1B,motorway_junction,3,POINT (-76.9836011 -12.0850819),315561470,0.0
315561471,1C,motorway_junction,3,POINT (-76.9819208 -12.0850316),315561471,0.0
315561653,3B,motorway_junction,3,POINT (-76.98228279999999 -12.0852899),315562867,0.00014196823588210795
315561701,,,3,POINT (-76.9842009 -12.0841547),315561701,0.0
315561710,,,3,POINT (-76.9820981 -12.0878108),315561710,0.0
315561713,,,3,POINT (-76.9813271 -12.0890703),315561713,0.0
315562531,,,3,POINT (-76.98230770000001 -12.0850394),315562531,0.0
315562592,,,3,POINT (-76.9830966 -12.0848987),315562592,0.0
315562605,,,3,POINT (-76.9841457 -12.0844413),315562605,0.0
315562653,1E,motorway_junction,3,POINT (-76.9843406 -12.0849496),315562656,0.00019574110451630006
315562656,,,3,POINT (-76.98421690000001 -12.0851013),315562656,0.0
315562687,5B,motorway_junction,3,POINT (-76.9839922 -12.0853873),315562687,0.0
315562713,,,3,POINT (-76.9838429 -12.0855035),315562713,0.0
315562867,,,3,POINT (-76.98214249999999 -12.0852682),315562867,0.0
316069449,,,3,POINT (-77.0007489 -12.1069518),316069449,0.0
316069659,,,4,POINT (-77.0011748 -12.1052103),316069659,0.0
316071836,,traffic_signals,4,POINT (-77.0000642 -12.1116474),316071836,0.0
316072788,,,3,POINT (-76.97975599999999 -12.0999904),316072788,0.0
316073060,6B,motorway_junction,3,POINT (-76.9790594 -12.1050661),316073060,0.0
316073153,,,4,POINT (-76.9801691 -12.1101958),316073153,0.0
316073328,,,3,POINT (-76.97838830000001 -12.1097799),316073328,0.0
316624764,,,4,POINT (-77.00346260000001 -12.0882818),316624764,0.0
316625042,,,3,POINT (-77.00915449999999 -12.0998651),1666723093,0.0030865541304299785
316625044,,,4,POINT (-77.0095089 -12.0993254),1666723093,0.002565140068306643
316625051,,,3,POINT (-77.0090002 -12.0954257),263933832,0.0015407416980136935
316625114,,,3,POINT (-77.0089576 -12.0953911),263933832,0.00154203738605801
316625118,,,3,POINT (-77.0090793 -12.0946909),263933832,0.0010079885366464745
316627520,,,3,POINT (-77.00997479999999 -12.1084402),263928374,0.0039997748186606724
316627523,,,3,POINT (-77.0085121 -12.1087258),4348953340,0.00361343283319371
316627529,,,3,POINT (-77.0076552 -12.1092162),263928377,0.0030648989298180875
316627530,,,4,POINT (-77.00728290000001 -12.1121548),263928377,0.00010563881862156236
316627673,,,4,POINT (-77.00753829999999 -12.1091894),263928377,0.0030800640577752043
316627675,,,3,POINT (-77.00777650000001 -12.1087637),263928377,0.003529169762139804
316627676,,,3,POINT (-77.0081412 -12.1085853),4348953340,0.003744477547001622
316627682,,,4,POINT (-77.0102495 -12.1078458),419482719,0.0045346928319337275
326021261,,,4,POINT (-77.00395949999999 -12.1066784),4352989151,0.002947484038971188
326022171,,,3,POINT (-77.0059255 -12.1057881),316069659,0.004785708237034882
391036716,,traffic_signals,4,POINT (-76.9903303 -12.1028605),391036716,0.0
391036721,,,4,POINT (-76.99216970000001 -12.1014432),391036721,0.0
391036734,,traffic_signals,4,POINT (-76.9945542 -12.1005602),391036734,0.0
391036735,,traffic_signals,4,POINT (-76.9947054 -12.1005529),391036734,0.00015137612097503925
391036737,,,3,POINT (-76.99678110000001 -12.100557),392152315,0.0022053606009025594
391036740,,,4,POINT (-76.998521 -12.1007579),391036770,0.0031006412514204005
391036742,,,3,POINT (-76.9991557 -12.1008954),391036770,0.0024555225451982758
391036748,,,3,POINT (-77.00091329999999 -12.1010058),391036770,0.0006958430354661064
391036770,,,4,POINT (-77.0016026 -12.101101),391036770,0.0
391036814,,,4,POINT (-77.0016519 -12.1007774),391036814,0.0
391036861,,,4,POINT (-77.0018493 -12.1008068),391036861,0.0
391037794,,,3,POINT (-77.0044625 -12.101383),391036861,0.0026759709789147467
391037802,,,3,POINT (-77.00792559999999 -12.1007485),1666723093,0.004579795551125904
391037975,,,4,POINT (-76.9920735 -12.1013361),391036721,0.0001439612795181989
391037978,,,3,POINT (-76.99305990000001 -12.1007318),391036721,0.0011395376255312062
391037982,,traffic_signals,4,POINT (-76.99472419999999 -12.1004076),392152315,0.00014392932292255588
391037988,,,3,POINT (-76.9967906 -12.1003895),392152315,0.0022103324817706288
391037994,,,4,POINT (-76.9985525 -12.1006062),391036770,0.0030899736325695143
391038001,,,3,POINT (-77.0008813 -12.1006311),391036814,0.000784364742956679
391038008,,,4,POINT (-77.0062909 -12.100864),391036861,0.004441968302446019
391038143,,,4,POINT (-77.00273660000001 -12.0945156),391038143,0.0
391038145,,,4,POINT (-77.0025845 -12.0945173),391038145,0.0
391038146,,,4,POINT (-77.00264439999999 -12.09406),391038146,0.0
391038147,,,4,POINT (-77.0027968 -12.0940535),391038147,0.0
391038273,,,3,POINT (-77.00777359999999 -12.094988),392153976,0.002310529145029928
391038274,,,3,POINT (-77.00711509999999 -12.0948626),392153976,0.002819138308073019
391038275,,,4,POINT (-77.0059333 -12.0946073),391038147,0.003185015963849926
391038286,,,3,POINT (-77.0001697 -12.0942188),391038145,0.0024331792556210106
391038288,,,4,POINT (-76.9991666 -12.0939388),391038145,0.00346651159813656
391038292,,,3,POINT (-76.9970024 -12.0932074),391038491,0.0013584344849790447
391038294,,,4,POINT (-76.99579780000001 -12.0931421),391038295,0.00015450000000782893
391038295,,,4,POINT (-76.9956433 -12.0931421),391038295,0.0
391038300,,,4,POINT (-76.99271899999999 -12.0940349),392152321,0.002819255981643075
391038310,,,4,POINT (-76.9892231 -12.0961131),417249925,0.005957155614043375
391038311,,,4,POINT (-76.988581 -12.096307),391036721,0.006265725666678305
391038353,,,3,POINT (-76.9860958 -12.0965483),4459619573,0.006008883240676607
391038354,,,3,POINT (-76.9854632 -12.0965148),4459619573,0.005379909305001566
391038357,,,3,POINT (-76.9845282 -12.0967845),4459619573,0.004528587417733091
391038368,,,4,POINT (-76.9810056 -12.0975408),4031954815,0.0021104837360184934
391038423,,,3,POINT (-76.983999 -12.0967628),4459619573,0.004015216189699613
391038425,,,3,POINT (-76.98456040000001 -12.0965496),4459619573,0.00450199103176686
391038430,,,3,POINT (-76.9863165 -12.096368),4459619573,0.006200485466484445
391038434,,traffic_signals,4,POINT (-76.9885144 -12.0961065),391036721,0.006468507167813077
391038435,,,4,POINT (-76.9892231 -12.0958613),417249925,0.00602255791918446
391038437,,,3,POINT (-76.98971520000001 -12.0957338),392152320,0.005557596243870395
391038445,,,3,POINT (-76.99231949999999 -12.0938617),392152321,0.0032082429895561432
