osmid,street_count,highway,ref,geometry,NN,NN_dist
289316629,4,,,POINT (-76.9587171 -12.1594553),289316629,0.0
289316704,3,,,POINT (-76.9828261 -12.1499083),289316704,0.0
289317004,3,,,POINT (-76.9821113 -12.1500211),289317004,0.0
289317063,3,,,POINT (-76.9818856 -12.1503031),289317063,0.0
289317491,3,,,POINT (-76.9799362 -12.1505263),289317491,0.0
289317998,3,,,POINT (-76.9826604 -12.1497902),289317998,0.0
310955535,3,,,POINT (-76.9787405 -12.1674643),310955827,0.0002664711053747842
310955629,4,traffic_signals,,POINT (-76.97830260000001 -12.166909),310955629,0.0
310955637,4,traffic_signals,,POINT (-76.9692718 -12.1646939),310955637,0.0
310955672,3,traffic_signals,,POINT (-76.96917139999999 -12.1646062),310955672,0.0
310955676,4,,,POINT (-76.97263220000001 -12.1652032),310955676,0.0
310955677,4,,,POINT (-76.9727187 -12.1652226),310955676,8.864880145309184e-05
310955681,4,traffic_signals,,POINT (-76.9781547 -12.1665902),310955681,0.0
310955683,4,traffic_signals,,POINT (-76.97833749999999 -12.166778),310955683,0.0
310955684,3,,,POINT (-76.978509 -12.167022),4289567096,0.00022522044756156421
310955728,3,,,POINT (-76.97941489999999 -12.1678577),310955827,0.0006678038709019685
310955732,3,,,POINT (-76.9801472 -12.1672883),4197871327,0.0007967374096841713
310955747,3,motorway_junction,12D,POINT (-76.9798629 -12.1682004),310955827,0.0011995392198666495
310955776,3,,,POINT (-76.9792977 -12.1684825),310955827,0.0009251338551809567
310955827,3,,,POINT (-76.9787594 -12.1677301),310955827,0.0
310955852,3,motorway_junction,12C,POINT (-76.9794239 -12.1703613),310955852,0.0
317338711,3,,,POINT (-76.9680054 -12.1603747),1573127196,0.0014081097471425135
317338712,4,,,POINT (-76.96803989999999 -12.1604562),1573127196,0.0013198722513935591
317338714,3,traffic_signals,,POINT (-76.96855069999999 -12.1616712),1573127196,0.00010198431251815002
317338715,3,,,POINT (-76.9686561 -12.1619486),1573127196,0.00031238450666459
317338728,4,,,POINT (-76.9690959 -12.1670741),317338835,0.0023806718232467295
317338729,3,,,POINT (-76.9689947 -12.1675272),317338829,0.0022925027742597614
317338730,4,,,POINT (-76.9684128 -12.1697421),317338829,8.925385145276692e-05
317338731,4,,,POINT (-76.96838649999999 -12.1698284),317338828,8.734763876931496e-05
317338740,4,,,POINT (-76.9640285 -12.1842942),317338740,0.0
317338757,5,,,POINT (-76.96564119999999 -12.1801432),317338757,0.0
317338828,4,,,POINT (-76.9683021 -12.1698059),317338828,0.0
317338829,4,,,POINT (-76.9683263 -12.1697201),317338829,0.0
317338830,3,,,POINT (-76.9688914 -12.167519),317338829,0.002272483051641566
317338831,4,,,POINT (-76.96900770000001 -12.167057),317338835,0.002368346684925008
317338833,3,,,POINT (-76.9691552 -12.1661188),317338835,0.0014241090442789059
317338834,3,,,POINT (-76.96918839999999 -12.1656294),317338835,0.0009345414330028881
317338835,3,traffic_signals,,POINT (-76.9691796 -12.1646949),317338835,0.0
317338842,4,,,POINT (-76.9679548 -12.1604906),1573127196,0.0013172366719745527
317338843,3,,,POINT (-76.9679203 -12.1604091),1573127196,0.001405733776356102
317338868,3,traffic_signals,,POINT (-76.97260900000001 -12.1652904),317338868,0.0
317338928,4,traffic_signals,,POINT (-76.97322870000001 -12.1584482),317338928,0.0
317338929,4,,,POINT (-76.9731523 -12.1578844),317338929,0.0
317338935,4,,,POINT (-76.971875 -12.1543079),317338935,0.0
317338936,4,traffic_signals,,POINT (-76.97183800000001 -12.1542043),317338936,0.0
317338950,4,traffic_signals,,POINT (-76.971926 -12.1541691),317338950,0.0
317339043,4,,,POINT (-76.97195929999999 -12.1542728),317338935,9.131538752896335e-05
317339045,4,,,POINT (-76.97230399999999 -12.1551341),1781236643,0.0008646758699093876
317339048,4,,,POINT (-76.97295819999999 -12.1567524),317339048,0.0
317339057,3,,,POINT (-76.9729624 -12.1634606),2761193087,0.0004886320599396687
317339059,4,,,POINT (-76.9728898 -12.1640483),317339059,0.0
317339063,3,,,POINT (-76.97269470000001 -12.1653137),317338868,8.881092275143079e-05
410467828,3,,,POINT (-76.98312110000001 -12.1502184),410467828,0.0
410467829,3,motorway_junction,10D,POINT (-76.98277040000001 -12.1491228),410467829,0.0
410488975,3,,,POINT (-76.9823488 -12.147528),410488975,0.0
410490460,3,motorway_junction,10C,POINT (-76.98343629999999 -12.1513163),410490460,0.0
410490511,3,motorway_junction,11,POINT (-76.9837618 -12.1536839),1738600459,0.00012805143497690113
414231301,3,,,POINT (-76.9822029 -12.1579932),4374585997,0.0008379894808391548
414231304,3,,,POINT (-76.9814933 -12.1574617),4199787081,0.00028396571975899764
442760518,3,,,POINT (-76.9808048 -12.1679001),4197871327,0.000529257687709567
472559114,3,,,POINT (-76.97453849999999 -12.1421718),1273716536,0.00043436954313089235
472559123,4,,,POINT (-76.9737305 -12.1437745),472559123,0.0
472559136,4,,,POINT (-76.9677337 -12.1501972),472559136,0.0
472559137,3,,,POINT (-76.9669471 -12.1508439),4203559435,0.00027283694764291557
472559968,4,,,POINT (-76.97342930000001 -12.1435198),472559968,0.0
472559977,3,,,POINT (-76.97492870000001 -12.1407234),472559977,0.0
1273449195,3,,,POINT (-76.96855720000001 -12.1688254),317338829,0.0009240145561636594
1273449407,3,,,POINT (-76.9566076 -12.1377445),1273695873,0.0023941030909292132
1273449424,3,,,POINT (-76.96117529999999 -12.1456768),1752613906,0.004058186898114761
1273449554,4,,,POINT (-76.9661024 -12.1704401),1573383152,0.000947227243062685
1273450466,4,,,POINT (-76.95659089999999 -12.1902115),1273675776,0.0012065757373645265
1273451101,3,,,POINT (-76.96115090000001 -12.1739767),1273663365,0.0012901419495501315
1273453161,4,,,POINT (-76.9705922 -12.1391543),1273453161,0.0
1273453647,3,,,POINT (-76.96652090000001 -12.1419761),1273453647,0.0
1273454024,3,,,POINT (-76.96389000000001 -12.1554515),6986230249,0.0019517332322843315
