osmid,highway,street_count,ref,geometry,NN,NN_dist
31035249,traffic_signals,3,,POINT (-77.04370950000001 -12.0374095),31035249,0.0
31035282,,3,,POINT (-77.04431390000001 -12.0365029),31035282,0.0
31035304,motorway_junction,4,10B,POINT (-77.04453650000001 -12.0361043),31035304,0.0
31035305,,3,,POINT (-77.0449411 -12.0360804),31035305,0.0
31035344,,3,,POINT (-77.0438989 -12.0349947),31035344,0.0
31035346,,3,,POINT (-77.04591310000001 -12.0356994),31035346,0.0
31035457,,4,,POINT (-77.04409800000001 -12.0376028),31035457,0.0
31035569,,4,,POINT (-77.05012050000001 -12.0233656),31035569,0.0
31035619,,3,,POINT (-77.053406 -12.0336034),1379446656,0.0007250006689695132
31035623,motorway_junction,3,10C,POINT (-77.0471069 -12.035778),31035623,0.0
31035641,,4,,POINT (-77.05730320000001 -12.0294423),31035641,0.0
31035689,,3,,POINT (-77.05762249999999 -12.0279689),3736716043,0.00022385446165285416
31035691,,3,,POINT (-77.05801080000001 -12.0276466),31035691,0.0
31035704,,3,,POINT (-77.057047 -12.0280312),31035704,0.0
31035745,,3,,POINT (-77.0589567 -12.0291642),31035745,0.0
31035746,,3,,POINT (-77.0589885 -12.029207),31035746,0.0
31035750,,3,,POINT (-77.0588691 -12.0293169),31035746,0.00016227868005574072
31036025,,4,,POINT (-77.0521079 -12.0246849),31036025,0.0
31036029,,3,,POINT (-77.0599362 -12.0297883),31036029,0.0
31036685,,3,,POINT (-77.0739159 -12.0266063),31036685,0.0
31036719,,3,,POINT (-77.0600472 -12.0307392),31036719,0.0
31036727,,3,,POINT (-77.0563306 -12.0312236),31036727,0.0
31039646,,4,,POINT (-77.060937 -12.0088322),31039646,0.0
31040052,,3,,POINT (-77.0623032 -12.0085351),2469993506,0.0001993951353433617
31040883,,3,,POINT (-77.0530007 -12.0120672),827125844,0.0006034159842102051
31040884,,3,,POINT (-77.0522357 -12.0155051),3672842947,0.0003935998602648809
31040887,,3,,POINT (-77.050714 -12.0224515),2887169621,0.0010609315764961342
31040888,,3,,POINT (-77.0505132 -12.0228923),31035569,0.0006150009593432655
31044239,,4,,POINT (-77.08255680000001 -12.00655),31044239,0.0
31044245,,3,,POINT (-77.0899896 -12.0113997),3736732158,0.00024099072595952427
31044286,,4,,POINT (-77.0825206 -12.0067035),31044239,0.00015771077959574382
31044325,,4,,POINT (-77.0799947 -12.0128881),31044325,0.0
31044331,,4,,POINT (-77.0802183 -12.0125094),31044331,0.0
31044893,,4,,POINT (-77.0847042 -11.9960728),31044893,0.0
31044958,,4,,POINT (-77.0847476 -11.996232),31044958,0.0
31044994,,4,,POINT (-77.0853372 -11.9961922),31044994,0.0
31044995,,3,,POINT (-77.085399 -11.9963405),1359115529,0.0001508260587671926
31069321,,3,,POINT (-77.08478359999999 -11.9965553),31069321,0.0
31069507,,4,,POINT (-77.08659280000001 -12.0210593),560581367,0.00011524864423989452
31069782,,4,,POINT (-77.1048162 -11.9951532),31069807,9.986360698277462e-05
31069790,traffic_signals,4,,POINT (-77.1069521 -11.9906805),31069790,0.0
31069792,,4,,POINT (-77.1071051 -11.9908355),31069792,0.0
31069793,,4,,POINT (-77.10702120000001 -11.9909117),31069792,0.00011333865183102152
31069807,,3,,POINT (-77.1049127 -11.9951789),31069807,0.0
31069811,,3,,POINT (-77.1029704 -11.9984267),31069811,0.0
