osmid,street_count,highway,geometry,NN,NN_dist
197681818,4,,POINT (-77.0758455 -12.0905283),197681818,0.0
197681820,4,,POINT (-77.07657930000001 -12.0925731),197681820,0.0
197681822,4,,POINT (-77.0769367 -12.0935368),197681822,0.0
197681823,3,,POINT (-77.0773215 -12.0944951),197681823,0.0
257943466,3,,POINT (-77.0852434 -12.0907689),257943466,0.0
257943470,3,,POINT (-77.0874602 -12.0898009),607235626,0.001423747625108425
257943471,3,,POINT (-77.0878354 -12.0897273),607235614,0.0015136757545821406
257943482,3,,POINT (-77.0935035 -12.0869617),607233018,0.0013497866498053137
257943483,5,traffic_signals,POINT (-77.09539460000001 -12.0860982),7792325685,0.0017645385118976716
257943488,4,,POINT (-77.0994245 -12.0763946),608319992,0.0005109148069906798
257946384,4,traffic_signals,POINT (-77.0842682 -12.0897611),257946384,0.0
257946389,3,,POINT (-77.08859030000001 -12.0877139),257946393,0.0013146056519018911
257946393,4,,POINT (-77.0880272 -12.086526),257946393,0.0
257946397,4,traffic_signals,POINT (-77.09592739999999 -12.0829187),257946397,0.0
257946400,3,,POINT (-77.097742 -12.0752241),257946401,0.0005255932743103194
257946401,3,,POINT (-77.0982145 -12.0749939),257946401,0.0
301455186,3,,POINT (-77.082075 -12.0780973),301455186,0.0
301455189,3,,POINT (-77.09035830000001 -12.0779303),607236164,0.001565100089450512
301455974,4,traffic_signals,POINT (-77.097088 -12.0625195),301455974,0.0
301457497,4,traffic_signals,POINT (-77.1025775 -12.0729014),608442019,0.00012065836067409809
309580914,3,,POINT (-77.1100232 -12.077438),309580914,0.0
309580951,3,,POINT (-77.102937 -12.0798365),608319852,0.0010640770319767824
309580953,3,,POINT (-77.1076047 -12.0772998),309580953,0.0
309581255,4,,POINT (-77.109525 -12.0794971),474872809,0.00153734482794424
309581430,4,,POINT (-77.0857508 -12.0816311),317338176,0.0007512187431166003
309581432,4,,POINT (-77.08618389999999 -12.0826194),309581432,0.0
309581436,4,,POINT (-77.08741120000001 -12.0852468),309581436,0.0
309581490,4,,POINT (-77.084861 -12.0907139),309581490,0.0
316802214,3,,POINT (-77.08132999999999 -12.0787986),316802453,0.0004937244980791764
316802235,4,,POINT (-77.0777313 -12.0684224),316802235,0.0
316802240,3,,POINT (-77.0788793 -12.0612188),316802240,0.0
316802428,3,,POINT (-77.07910440000001 -12.0611001),316802428,0.0
316802429,4,,POINT (-77.0788464 -12.062133),316802429,0.0
316802435,3,,POINT (-77.0780396 -12.0701703),4332507087,0.00028023499067389077
316802448,3,,POINT (-77.0814309 -12.0774376),462979629,0.00012305043680933
316802453,3,,POINT (-77.0818228 -12.0787684),316802453,0.0
316802454,3,,POINT (-77.08177070000001 -12.078931),316802453,0.00017074299399808318
316802651,3,,POINT (-77.0856369 -12.0906985),316802651,0.0
316802673,4,,POINT (-77.0844597 -12.0881824),316802673,0.0
316802674,4,,POINT (-77.0838251 -12.0868897),316802674,0.0
316802709,4,,POINT (-77.0836865 -12.0869546),316802709,0.0
316802714,4,,POINT (-77.08257140000001 -12.0835999),316802714,0.0
316802715,4,,POINT (-77.08226260000001 -12.0819258),316802715,0.0
316802716,3,,POINT (-77.0820526 -12.080838),316802715,0.0011078848496144664
316802800,4,,POINT (-77.0823954 -12.0819048),316802800,0.0
316802801,4,,POINT (-77.0827041 -12.0835587),316802801,0.0
316802802,3,,POINT (-77.08295870000001 -12.0846813),548738351,0.0010400512487376947
316808124,4,,POINT (-77.0854448 -12.0916181),257943466,0.0008727557504837189
317337182,3,,POINT (-77.1074947 -12.0773546),317337182,0.0
317337259,3,,POINT (-77.1072526 -12.0768976),317337182,0.0005171667139358128
317337261,3,,POINT (-77.10674299999999 -12.0758642),317337261,0.0
317337267,4,,POINT (-77.1052043 -12.0723125),317337267,0.0
317337272,4,,POINT (-77.1041481 -12.0689015),317337272,0.0
317337277,4,,POINT (-77.1039463 -12.0671179),317337277,0.0
317337473,4,,POINT (-77.10429739999999 -12.0647188),317337473,0.0
317337476,3,,POINT (-77.1007482 -12.0643469),4332629094,0.001400877314399184
317337478,3,,POINT (-77.0972977 -12.0643594),4332869889,0.0017938611345385176
317337486,3,,POINT (-77.0972926 -12.0642488),4332869889,0.0016895852568011706
