osmid,street_count,ref,highway,geometry,NN,NN_dist
108018055,4,,,POINT (-77.0270455 -12.1028717),108018055,0.0
108018057,4,,,POINT (-77.02552059999999 -12.1027107),1273549606,0.0014794913213781085
108025624,3,4,motorway_junction,POINT (-77.02674519999999 -12.1070413),262572362,0.00047552524644546963
114612757,3,,,POINT (-77.02407410000001 -12.1197405),114612787,0.00015751358671095393
114612822,4,,traffic_signals,POINT (-77.0256387 -12.1190775),114612822,0.0
262572481,4,,,POINT (-77.0257956 -12.1083839),262572481,0.0
262572482,4,,,POINT (-77.0243193 -12.1078982),262572753,0.0001367557311410696
262572753,4,,,POINT (-77.0242935 -12.1077639),262572753,0.0
262572934,4,,,POINT (-77.0257088 -12.1123707),262572934,0.0
262572937,3,,,POINT (-77.02615900000001 -12.1095906),262573476,0.00033235019181726983
262572971,3,,,POINT (-77.02711119999999 -12.1044192),262572307,0.0006036456328032399
262572974,4,,,POINT (-77.0255123 -12.1133934),262572974,0.0
262572975,3,,,POINT (-77.02552710000001 -12.1131961),262572975,0.0
262573050,4,,,POINT (-77.0252863 -12.1123415),262573050,0.0
262573051,4,,,POINT (-77.0250241 -12.1113054),262573575,0.0007640497496870964
262573052,4,,,POINT (-77.0247628 -12.1102576),262573567,0.0011500358690004768
262573053,3,,,POINT (-77.024654 -12.1098116),262573569,0.0011240928297896208
262573054,4,,,POINT (-77.0244953 -12.1092409),262573478,0.0008464292587068928
262573055,4,,,POINT (-77.0241942 -12.1078627),262572753,0.00014007829953435622
262573076,4,,,POINT (-77.02464740000001 -12.1092157),262573478,0.000997007522544654
262573077,4,,,POINT (-77.0249008 -12.1102677),262573567,0.0010116845209867235
262573078,4,,,POINT (-77.0251667 -12.1113164),262573575,0.0006210691587841817
262573079,3,,,POINT (-77.025419 -12.1123507),262573079,0.0
262573215,3,3,motorway_junction,POINT (-77.026048 -12.1172857),262574070,0.00023600563553028903
262573406,3,,,POINT (-77.0257534 -12.1146515),262573104,0.0009000468543384136
262573425,3,,,POINT (-77.02553829999999 -12.1140343),262573427,0.000515090487195595
262573426,3,,,POINT (-77.02551099999999 -12.1137945),262573427,0.0002742081326277579
262573427,4,,,POINT (-77.0255033 -12.1135204),262573427,0.0
262573448,4,,traffic_signals,POINT (-77.018553 -12.1056306),262573448,0.0
262573449,4,,traffic_signals,POINT (-77.0186423 -12.1057687),4876522724,9.97695344235357e-05
262573450,3,,,POINT (-77.01964150000001 -12.1061526),4876522724,0.001170138320887566
262573451,4,,,POINT (-77.02067460000001 -12.1065195),4876522724,0.0022662309789651296
262573452,4,,,POINT (-77.02278149999999 -12.1073263),262573453,0.0007849688528851102
262573453,3,,,POINT (-77.02351779999999 -12.1075984),262573453,0.0
262573467,4,,traffic_signals,POINT (-77.0186958 -12.1056606),262573448,0.00014591723682204905
262573468,4,,,POINT (-77.0228086 -12.1071932),262573453,0.0008167935357144264
262573469,4,,,POINT (-77.02417699999999 -12.1077135),262573469,0.0
262573476,3,,,POINT (-77.0260286 -12.1092849),262573476,0.0
262573477,3,,,POINT (-77.024163 -12.1092238),262573478,0.0005137941319249946
262573478,4,,,POINT (-77.023651 -12.1091809),262573478,0.0
262573479,4,,,POINT (-77.02263379999999 -12.1091124),262573478,0.0010195038450215843
262573480,3,,,POINT (-77.0215754 -12.109044),262573478,0.0020801098456548904
262573481,4,,,POINT (-77.02051760000001 -12.1089714),262573483,0.0020305800476741807
262573482,4,,,POINT (-77.0194527 -12.1089052),262573483,0.0009636389884185982
262573483,4,,,POINT (-77.0184914 -12.1088381),262573483,0.0
262573567,4,,,POINT (-77.0259109 -12.1103243),262573567,0.0
262573568,4,,,POINT (-77.0246286 -12.1102488),262573569,0.0010376946419774367
262573569,4,,,POINT (-77.02359300000001 -12.1101829),262573569,0.0
262573570,4,,,POINT (-77.02255649999999 -12.110116),262573569,0.001038656757560025
262573571,4,,,POINT (-77.02150330000001 -12.110048),262573569,0.0020940496889987866
262573572,4,,,POINT (-77.0204457 -12.1099807),262573574,0.0019750715683127945
262573573,4,,,POINT (-77.0193841 -12.1099111),262573574,0.0009111927238409312
262573574,4,,,POINT (-77.01847480000001 -12.1098524),262573574,0.0
262573575,3,,,POINT (-77.02578699999999 -12.1113473),262573575,0.0
262573576,4,,,POINT (-77.0245635 -12.1112667),262573598,0.0010196959939120485
262573577,4,,,POINT (-77.0235249 -12.1112105),262573577,0.0
262573578,4,,,POINT (-77.0224692 -12.1111307),262573577,0.001058711731298561
262573579,4,,,POINT (-77.0214228 -12.1110704),262573577,0.002106763494084766
262573580,4,,,POINT (-77.0203453 -12.1110116),262573582,0.001910728635885669
262573581,4,,,POINT (-77.01929819999999 -12.1109277),262573582,0.0008603049343013367
262573582,4,,,POINT (-77.0184399 -12.110869),262573582,0.0
262573598,4,,,POINT (-77.0244841 -12.1122833),262573598,0.0
262573599,4,,,POINT (-77.02345339999999 -12.1122104),262573599,0.0
262573600,4,,,POINT (-77.02239350000001 -12.1121476),262573599,0.0010617588473720088
262573601,4,,,POINT (-77.02135319999999 -12.1120688),262573759,0.0015630341039189002
262573602,4,,,POINT (-77.0202852 -12.1120103),262573604,0.0018735958609110883
262573603,4,,,POINT (-77.0192381 -12.1119431),262573604,0.0008243435327561514
262573604,4,,,POINT (-77.0184156 -12.111888),262573604,0.0
262573613,4,,traffic_signals,POINT (-77.02337199999999 -12.1132485),262573613,0.0
262573614,3,,,POINT (-77.0240977 -12.1102155),262573569,0.0005057517671678022
262573642,4,,,POINT (-77.0223292 -12.1131726),262573759,0.0001289730592013666
262573650,4,,,POINT (-77.0202189 -12.1130184),4266807051,0.001778211354152017
262573651,3,,,POINT (-77.0205741 -12.1079495),4876522723,0.0020661694896663084
262573652,3,,,POINT (-77.02064129999999 -12.1069666),4876522723,0.0023004443679398314
262573659,4,,,POINT (-77.0195057 -12.1078837),4876522723,0.0009957866839825661
262573660,4,,,POINT (-77.0195642 -12.1068995),4876522723,0.0014086756085114468
262573666,4,,traffic_signals,POINT (-77.01856770000001 -12.1078362),4876522723,5.661068804450695e-05
262573758,4,,traffic_signals,POINT (-77.0233526 -12.1133714),262573758,0.0
262573759,4,,,POINT (-77.0223151 -12.1133008),262573759,0.0
262573760,3,,,POINT (-77.0212758 -12.1130958),262573759,0.0010593250162269719
262573998,3,,,POINT (-77.01824569999999 -12.1193186),262573997,0.00012483605248470308
262573999,4,,,POINT (-77.0182628 -12.11872),262573999,0.0
262574000,4,,,POINT (-77.01826749999999 -12.1185979),262574000,0.0
262574001,3,,,POINT (-77.0182595 -12.1185192),262574000,7.910556238237787e-05
262574003,4,,,POINT (-77.01830579999999 -12.1170605),262574003,0.0
262574004,4,,,POINT (-77.01831970000001 -12.1162155),262574004,0.0
262574005,4,,,POINT (-77.0183447 -12.1154662),262574005,0.0
262574006,4,,,POINT (-77.018354 -12.114772),262574006,0.0
262574007,4,,,POINT (-77.018371 -12.1140655),262574007,0.0
262574014,4,,,POINT (-77.0190264 -12.114108),262574007,0.0006567765297261888
262574015,4,,,POINT (-77.0200648 -12.1141795),262574007,0.0016976320095927328
262574016,4,,,POINT (-77.0211209 -12.114238),262573759,0.0015180439651087058
262574018,4,,,POINT (-77.0232044 -12.114397),262573758,0.0010362521893824044
262574019,4,,,POINT (-77.0242391 -12.1144699),4351422459,0.0011650957600113933
262574020,3,,,POINT (-77.025273 -12.1145249),262573427,0.0010305621475664214
262574026,4,,,POINT (-77.0189175 -12.1148065),262574006,0.0005645551345955285
262574027,4,,,POINT (-77.01996 -12.1148866),262574006,0.0016100835878875908
262574028,4,,,POINT (-77.02099370000001 -12.1149524),262573759,0.002115154963587397
262574029,4,,,POINT (-77.0220446 -12.1150206),262573759,0.001740942931287445
262574030,4,,,POINT (-77.0230972 -12.1150919),262573758,0.0017393531585040267
262574031,4,,,POINT (-77.0241254 -12.1151803),4351422459,0.0018845132262729294
262574032,4,,,POINT (-77.02517659999999 -12.1151431),262573104,0.001652309976976299
262574048,4,,,POINT (-77.0188014 -12.115494),262574005,0.00045754533108838377
262574049,4,,,POINT (-77.0198371 -12.1155746),262574005,0.0014963316210021207
262574050,4,,,POINT (-77.02088190000001 -12.1156508),262574005,0.0025439066413747765
262574051,4,,,POINT (-77.0219306 -12.1157255),262573759,0.002454997014254714
262574052,4,,,POINT (-77.02298879999999 -12.1157945),262573758,0.0024502579558079505
262574053,4,,,POINT (-77.024021 -12.1158619),262574069,0.002032034040067536
262574054,4,,,POINT (-77.0250735 -12.1159287),262574069,0.0010992294255510473
262574062,4,,,POINT (-77.01867660000001 -12.1162351),262574004,0.00035743778479615384
262574063,4,,,POINT (-77.01972360000001 -12.1163148),262574004,0.0014074074392297334
262574064,4,,,POINT (-77.020774 -12.1163845),262574004,0.0024601116824208786
