osmid,street_count,highway,geometry,NN,NN_dist
266954463,3,,POINT (-76.9754276 -12.2212368),266954463,0.0
266954485,3,,POINT (-76.94298329999999 -12.2426179),5474383225,0.005022352270599307
289311515,3,,POINT (-76.9757898 -12.2193117),9251675010,0.000543994053275237
289313689,3,,POINT (-76.9744395 -12.2054486),3790347906,0.0009806022690184218
289313690,3,,POINT (-76.9756697 -12.2122254),1273718055,0.0037547994420476837
472560569,3,,POINT (-76.9123736 -12.2285931),472560569,0.0
943248214,4,,POINT (-76.9492394 -12.2207006),3757448190,0.00015180451244816768
943248221,4,,POINT (-76.9318552 -12.2103407),943248221,0.0
943248268,4,,POINT (-76.9538549 -12.2130224),943248268,0.0
943248669,3,,POINT (-76.9596478 -12.2232528),2465762611,0.0014821336815536068
943248671,3,,POINT (-76.95677499999999 -12.2247883),4711675544,9.999544989350714e-05
943248828,4,traffic_signals,POINT (-76.95223 -12.2157063),943248828,0.0
943248930,3,,POINT (-76.9356274 -12.2060321),1405168771,0.00015795746263543175
943248946,3,,POINT (-76.9330071 -12.2040594),5465442390,0.00023849461209968375
943248952,4,traffic_signals,POINT (-76.9483784 -12.2130049),1404104189,0.00010420215929605119
1273449138,3,,POINT (-76.93052659999999 -12.2246028),1404083873,0.0005368331677516226
1273449689,3,,POINT (-76.9323143 -12.2288865),1273595109,0.0009089768423909224
1273449976,3,,POINT (-76.9223472 -12.2384201),4908333610,0.0006993426127510789
1273450969,3,,POINT (-76.9470573 -12.2052171),3749287642,0.00109384665287543
1273451353,3,,POINT (-76.92969429999999 -12.2214055),4149786022,0.0016371882634466884
1273454052,3,,POINT (-76.9513183 -12.1963374),4149608113,0.0016383556695674702
1273454600,3,,POINT (-76.9214976 -12.2404318),1655168864,0.0013455923676938446
1273455155,3,,POINT (-76.9397769 -12.2064083),4230756008,0.0016801421963605703
1273455159,4,,POINT (-76.9143431 -12.2285674),5115330755,0.0011870832237071893
1273456078,3,,POINT (-76.9619699 -12.2111991),1405093915,0.0017267347219509421
1273456961,3,,POINT (-76.9487823 -12.2023575),1674117149,0.0009606169111523693
1273458557,3,,POINT (-76.94873250000001 -12.2105652),1404104179,0.001161927299789964
1273458569,3,,POINT (-76.922247 -12.2432522),1711041657,0.0020582552441365787
1273461229,4,,POINT (-76.9160971 -12.2336135),4059107790,0.0019966130446354403
1273462403,3,,POINT (-76.9504599 -12.1995614),4519916254,0.001344107867696064
1273462827,3,,POINT (-76.92878760000001 -12.2283819),4382765230,0.0010631640748264616
1273462838,4,,POINT (-76.9227752 -12.2377058),1713628922,0.0006176846120780006
1273462902,3,,POINT (-76.9433788 -12.2095476),4149688949,0.00125574907127132
1273462906,3,,POINT (-76.92233229999999 -12.2440781),1711041657,0.0018059753182149154
1273463089,3,,POINT (-76.931332 -12.2213183),1709508305,0.00046059063168611756
1273463163,4,,POINT (-76.96391010000001 -12.2250184),5057311281,0.004698581833922951
1273463267,3,,POINT (-76.94971320000001 -12.2089399),4149643667,0.001701218013658733
1273463343,4,,POINT (-76.9289551 -12.2226428),1663845147,0.0009105676141786737
1273464172,3,,POINT (-76.9452706 -12.2154367),4152172839,0.0018724230958772612
1273464498,3,,POINT (-76.945746 -12.1973572),4149605382,0.0007028843219185454
1273466347,3,,POINT (-76.94747820000001 -12.1935728),4367117704,0.0010763122409399176
1273467095,3,,POINT (-76.9377576 -12.2350936),1710982529,0.0023060192540404765
1273467169,3,,POINT (-76.9464167 -12.2027437),1273467169,0.0
1273467297,3,,POINT (-76.917323 -12.2387688),4809794213,0.0028301430105215353
1273467372,3,,POINT (-76.9452775 -12.1917742),1657677560,0.0010010573859678988
1273467376,4,,POINT (-76.921465 -12.2332433),1273631782,0.002837441981792392
1273468872,3,,POINT (-76.94937590000001 -12.2077059),1405158389,0.0020345707188436373
1273469568,3,,POINT (-76.9340938 -12.2250155),1709508413,0.0018367866098110103
1273469578,3,,POINT (-76.93613790000001 -12.2262077),1709508413,0.0005296583804785446
1273470546,3,,POINT (-76.96412840000001 -12.2157403),1273888415,0.0029001841269085155
1273470828,3,,POINT (-76.91707839999999 -12.2292348),5079272336,0.0024903517602916083
1273470841,3,,POINT (-76.93794939999999 -12.2122436),1404136232,0.0005137813153469153
1273470967,3,,POINT (-76.94016929999999 -12.1924108),1273875798,0.0016424061373512525
1273471266,4,,POINT (-76.9388558 -12.2366252),5182750647,0.001376158108643976
1273471550,3,,POINT (-76.9396143 -12.2057905),1405181716,0.0016409674524513996
1273472091,3,,POINT (-76.942258 -12.2013912),1572825444,0.0014418083367779943
1273472458,4,,POINT (-76.944399 -12.2159802),4152129036,0.002339195186384364
1273474002,3,,POINT (-76.914328 -12.2323999),1754073068,0.002446339447010948
1273474808,3,,POINT (-76.95941910000001 -12.196864),1273798148,0.000487470717064831
1273475438,3,,POINT (-76.9476617 -12.2006646),4149608133,0.001361698938830553
1273476445,3,,POINT (-76.9296674 -12.2241042),1404083873,0.00045655835333127686
1273480364,3,,POINT (-76.9322215 -12.2244705),4149786027,0.0019181012616655902
1273481480,3,,POINT (-76.94373760000001 -12.2107576),3952895404,0.0009092156894765403
1273481915,4,,POINT (-76.9249591 -12.2460052),6467338714,0.000591244991524331
1273482808,3,,POINT (-76.9309561 -12.2302357),4624415038,0.0010886906080315617
1273483183,4,,POINT (-76.9390087 -12.2332974),1273964317,0.0016104015958764517
1273483513,4,,POINT (-76.94678639999999 -12.205665),4370478233,0.0010011380923806235
1273483777,3,,POINT (-76.9599 -12.1960319),1273798148,0.00047362778635147093
