osmid,street_count,highway,geometry,NN,NN_dist
289316390,3,,POINT (-76.9498878 -12.1704785),3744848123,0.00044893185451318175
289316711,3,,POINT (-76.9567955 -12.160686),289316711,0.0
472559147,4,traffic_signals,POINT (-76.9607097 -12.1558364),472559147,0.0
472559149,4,,POINT (-76.9595431 -12.1568291),472559149,0.0
472559157,4,,POINT (-76.955704 -12.1600796),472559157,0.0
472559163,5,,POINT (-76.9549821 -12.1609212),472559163,0.0
472559165,4,,POINT (-76.9546648 -12.1614152),472559165,0.0
472559166,4,,POINT (-76.9540221 -12.1622351),472559166,0.0
472559168,4,,POINT (-76.953332 -12.1630382),472559168,0.0
472559169,4,,POINT (-76.95262649999999 -12.1638404),472559939,0.0003156449270931553
472559171,4,,POINT (-76.9519164 -12.1646354),472559937,0.0002518351246380334
472559176,4,,POINT (-76.9484975 -12.1686675),472559930,0.00046939042384895363
472559177,4,,POINT (-76.9478216 -12.169462),1752784678,0.0004888195167895594
472559178,4,,POINT (-76.9471269 -12.1702456),472559181,0.0010621597667021536
472559181,4,,POINT (-76.9464605 -12.1710727),472559181,0.0
472559191,3,,POINT (-76.945021 -12.1725625),1752938029,0.0003789232112103067
472559199,3,,POINT (-76.9441247 -12.1735316),472559925,0.0002982820812661348
472559202,4,,POINT (-76.94345749999999 -12.1743319),472559202,0.0
472559215,3,,POINT (-76.9413129 -12.176128),4134658361,0.00013033161550576148
472559219,3,,POINT (-76.9399737 -12.1767977),1835738675,0.0008072962591224122
472559220,3,,POINT (-76.9397321 -12.1770862),1835738675,0.0004313465659986971
472559925,3,,POINT (-76.94391109999999 -12.1733234),472559925,0.0
472559926,4,traffic_signals,POINT (-76.94601299999999 -12.1707629),472559926,0.0
472559928,4,,POINT (-76.9467168 -12.1699742),1752784678,0.0010533823617279712
472559930,4,,POINT (-76.9481179 -12.1683914),472559930,0.0
472559936,4,,POINT (-76.9510042 -12.1652746),472559936,0.0
472559937,4,,POINT (-76.9517166 -12.1644821),472559937,0.0
472559939,4,,POINT (-76.95235289999999 -12.163683),472559939,0.0
472559941,4,,POINT (-76.95378289999999 -12.1620517),472559166,0.00030141698692197827
